AÑO;DISTRITO;Total Actividades;Campamentos;Cesión de salas de ensayo;Cesión de otros espacios para ensayo;Cine;Conciertos/Actuaciones musicales;Concursos/Certámenes;Conferencias;Congresos/Clases magistrales/Jornadas;Danza;Exposiciones;Q-date;Ludotecas;Recitales poéticos;Teatro;Autorización/Utilización de espacios;Festivales/Ciclos y Jornadas
2017;Ciudad de Madrid;15.202;38;-;-;493;1.424;72;736;-;235;802;185;620;33;1.627;8.530;407
2017;01. Centro;290;0;-;-;11;14;0;17;-;2;21;0;8;1;46;116;54
2017;02. Arganzuela;468;1;-;-;17;39;2;19;-;4;35;11;35;4;30;253;18
2017;03. Retiro;408;1;-;-;18;59;0;10;-;10;28;8;24;0;82;168;0
2017;04. Salamanca;1.072;2;-;-;33;56;0;132;-;16;48;11;0;4;67;696;7
2017;05. Chamartín;392;1;-;-;12;114;2;30;-;9;33;30;42;0;31;63;25
2017;06. Tetuán;488;0;-;-;57;85;7;15;-;51;43;11;14;0;140;48;17
2017;07. Chamberí;1.025;1;-;-;14;57;0;32;-;0;22;0;62;3;55;742;37
2017;08. Fuencarral-El Pardo;1.464;12;-;-;33;120;8;60;-;9;66;11;315;3;180;597;50
2017;09. Moncloa-Aravaca;163;0;-;-;6;46;3;41;-;1;26;0;0;3;29;0;8
2017;10. Latina;732;0;-;-;9;174;33;12;-;30;90;11;0;3;138;185;47
2017;11. Carabanchel;494;0;-;-;29;25;5;33;-;12;15;11;5;1;83;269;6
2017;12. Usera;2.908;0;-;-;19;23;1;47;-;0;42;0;12;0;34;2.688;42
2017;13. Puente de Vallecas;790;0;-;-;31;106;1;41;-;31;29;0;0;6;100;436;9
2017;14. Moratalaz;308;0;-;-;39;42;3;41;-;6;13;10;1;0;21;130;2
2017;15. Ciudad Lineal;318;0;-;-;33;65;0;5;-;18;20;11;0;0;64;97;5
2017;16. Hortaleza;1.300;0;-;-;24;99;3;40;-;4;41;0;8;0;208;872;1
2017;17. Villaverde;739;8;-;-;37;75;1;50;-;24;87;49;0;3;73;293;39
2017;18. Villa de Vallecas;167;0;-;-;15;21;1;40;-;6;12;0;0;0;36;29;7
2017;19. Vicálvaro;259;10;-;-;7;52;0;28;-;1;20;0;1;1;17;118;4
2017;20. San Blas-Canillejas;608;0;-;-;45;128;0;22;-;0;50;11;0;0;163;181;8
2017;21. Barajas;809;2;-;-;4;24;2;21;-;1;61;0;93;1;30;549;21
2020;Ciudad de Madrid;17.153;51;-;-;507;1.434;56;674;-;234;689;1;722;43;1.720;10.522;500
2020;01. Centro;401;0;-;-;10;12;3;17;-;4;11;0;0;1;58;232;53
2020;02. Arganzuela;598;3;-;-;87;66;2;17;-;5;30;0;41;0;17;308;22
2020;03. Retiro;473;2;-;-;7;31;0;32;-;4;36;1;1;0;76;253;30
2020;04. Salamanca;615;0;-;-;14;30;0;14;-;9;19;0;0;0;41;487;1
2020;05. Chamartín;362;1;-;-;15;95;2;29;-;14;25;0;31;0;34;60;56
