AÑO;DISTRITO;BARRIO;Total;España;Unión Europea (15);Unión Europea (ampliación a 28);Resto países OCDE;Otros países de Europa;Otros países de América Latina;África;Otros países de Asia y Australasia
2017;01. Centro;01. Centro;967;729;46;13;13;4;44;23;95
2017;01. Centro;011. Palacio;154;122;7;2;4;1;6;0;12
2017;01. Centro;012. Embajadores;337;235;11;3;2;0;15;16;55
2017;01. Centro;013. Cortes;74;54;7;4;2;0;2;1;4
2017;01. Centro;014. Justicia;129;101;8;0;3;0;8;2;7
2017;01. Centro;015. Universidad;237;191;11;2;2;2;11;4;14
2017;01. Centro;016. Sol;36;26;2;2;0;1;2;0;3
2017;02. Arganzuela;02. Arganzuela;1.388;1.253;18;11;3;9;54;6;33
2017;02. Arganzuela;021. Imperial;174;160;1;3;0;1;5;1;3
2017;02. Arganzuela;022. Acacias;280;261;6;0;0;1;4;0;8
2017;02. Arganzuela;023. Chopera;189;160;2;3;1;2;13;3;5
2017;02. Arganzuela;024. Legazpi;256;236;5;2;1;1;7;0;4
2017;02. Arganzuela;025. Delicias;274;248;1;1;0;3;15;0;5
2017;02. Arganzuela;026. Palos de Moguer;195;170;3;1;1;1;9;2;8
2017;02. Arganzuela;027. Atocha;20;18;0;1;0;0;1;0;0
2017;03. Retiro;03. Retiro;996;922;16;9;5;4;25;2;13
2017;03. Retiro;031. Pacífico;257;236;3;1;1;0;10;1;5
2017;03. Retiro;032. Adelfas;190;176;1;1;2;1;7;0;2
2017;03. Retiro;033. Estrella;167;164;0;0;0;1;2;0;0
2017;03. Retiro;034. Ibiza;182;161;10;3;0;1;2;0;5
2017;03. Retiro;035. Los Jerónimos;78;73;1;1;0;0;2;0;1
2017;03. Retiro;036. Niño Jesús;122;112;1;3;2;1;2;1;0
2017;04. Salamanca;04. Salamanca;1.192;1.047;43;11;20;5;46;3;17
2017;04. Salamanca;041. Recoletos;149;122;10;3;6;1;5;0;2
2017;04. Salamanca;042. Goya;234;201;11;3;5;0;5;1;8
2017;04. Salamanca;043. Fuente del Berro;158;140;7;1;2;1;4;0;3
2017;04. Salamanca;044. Guindalera;310;283;5;2;1;1;14;2;2
2017;04. Salamanca;045. Lista;187;164;5;1;3;1;12;0;1
2017;04. Salamanca;046. Castellana;154;137;5;1;3;1;6;0;1
2017;05. Chamartín;05. Chamartín;1.435;1.333;20;6;10;5;35;9;17
2017;05. Chamartín;051. El Viso;171;166;2;0;0;0;3;0;0
2017;05. Chamartín;052. Prosperidad;362;319;6;5;4;3;14;1;10
2017;05. Chamartín;053. Ciudad Jardín;174;158;3;0;2;1;5;3;2
2017;05. Chamartín;054. Hispanoamérica;309;298;1;1;1;0;3;1;4
