AÑO;DISTRITO;Autorizaciones SER
2017;Ciudad de Madrid;234.168
2017;01. Centro;15.997
2017;02. Arganzuela;32.054
2017;03. Retiro;26.079
2017;04. Salamanca;28.669
2017;05. Chamartín;41.832
2017;06. Tetuán;29.437
2017;07. Chamberí;25.232
2017;08. Fuencarral-El Pardo;24.312
2017;09. Moncloa-Aravaca;10.556
2017;10. Latina;0
2017;11. Carabanchel;0
2017;12. Usera;0
2017;13. Puente de Vallecas;0
2017;14. Moratalaz;0
2017;15. Ciudad Lineal;0
2017;16. Hortaleza;0
2017;17. Villaverde;0
2017;18. Villa de Vallecas;0
2017;19. Vicálvaro;0
2017;20. San Blas-Canillejas;0
2017;21. Barajas;0
2018;Ciudad de Madrid;238.664
2018;01. Centro;17.155
2018;02. Arganzuela;32.831
2018;03. Retiro;26.481
2018;04. Salamanca;28.902
2018;05. Chamartín;42.239
2018;06. Tetuán;29.936
2018;07. Chamberí;25.608
2018;08. Fuencarral-El Pardo;24.723
2018;09. Moncloa-Aravaca;10.789
2018;10. Latina;0
2018;11. Carabanchel;0
2018;12. Usera;0
2018;13. Puente de Vallecas;0
2018;14. Moratalaz;0
2018;15. Ciudad Lineal;0
2018;16. Hortaleza;0
2018;17. Villaverde;0
2018;18. Villa de Vallecas;0
2018;19. Vicálvaro;0
2018;20. San Blas-Canillejas;0
2018;21. Barajas;0
2019;Ciudad de Madrid;239.065
2019;01. Centro;18.242
2019;02. Arganzuela;32.974
2019;03. Retiro;26.526
2019;04. Salamanca;28.398
2019;05. Chamartín;42.097
2019;06. Tetuán;29.866
2019;07. Chamberí;25.373
2019;08. Fuencarral-El Pardo;24.776
2019;09. Moncloa-Aravaca;10.813
2019;10. Latina;0
2019;11. Carabanchel;0
2019;12. Usera;0
2019;13. Puente de Vallecas;0
2019;14. Moratalaz;0
2019;15. Ciudad Lineal;0
2019;16. Hortaleza;0
2019;17. Villaverde;0
2019;18. Villa de Vallecas;0
2019;19. Vicálvaro;0
2019;20. San Blas-Canillejas;0
2019;21. Barajas;0
2020;Ciudad de Madrid;231.120
2020;01. Centro;17.062
2020;02. Arganzuela;32.232
2020;03. Retiro;25.823
2020;04. Salamanca;27.298
2020;05. Chamartín;40.307
2020;06. Tetuán;28.834
2020;07. Chamberí;24.293
2020;08. Fuencarral-El Pardo;24.626
2020;09. Moncloa-Aravaca;10.645
2020;10. Latina;0
2020;11. Carabanchel;0
2020;12. Usera;0
2020;13. Puente de Vallecas;0
2020;14. Moratalaz;0
2020;15. Ciudad Lineal;0
2020;16. Hortaleza;0
2020;17. Villaverde;0
2020;18. Villa de Vallecas;0
2020;19. Vicálvaro;0
2020;20. San Blas-Canillejas;0
2020;21. Barajas;0
