AÑO;DISTRITO;BARRIO;Censo electoral;Abstención;Votos nulos;Votos blancos;Votos a candidaturas;PP;PSOE;Cs;MAS MADRID;VOX;PODEMOS-IU;Resto de candidaturas
2017;01. Centro;01. Centro;96,301;31,316;201;295;64,489;11,246;16,473;9,144;17,996;3,879;5,08;671
2017;01. Centro;011. Palacio;17,453;5,186;52;48;12,167;2,294;3,201;1,696;3,251;777;827;121
2017;01. Centro;012. Embajadores;30,596;10,449;59;87;20,001;2,528;5,159;2,145;6,626;1,003;2,335;205
2017;01. Centro;013. Cortes;7,518;2,352;18;40;5,108;1,038;1,281;791;1,266;318;357;57
2017;01. Centro;014. Justicia;12,511;4,058;14;39;8,4;1,958;2,078;1,575;1,689;638;358;104
2017;01. Centro;015. Universidad;23,188;7,449;48;58;15,633;2,768;4,009;2,39;4,399;886;1,024;157
2017;01. Centro;016. Sol;5,035;1,822;10;23;3,18;660;745;547;765;257;179;27
2017;02. Arganzuela;02. Arganzuela;119,762;30,415;267;374;88,706;18,506;23,034;16,673;18,333;6,212;5,15;798
2017;02. Arganzuela;021. Imperial;18,449;4,372;47;74;13,956;3,092;3,501;2,687;2,71;1,103;749;114
2017;02. Arganzuela;022. Acacias;30,202;6,876;62;91;23,173;5,004;6,206;4,372;4,6;1,525;1,271;195
2017;02. Arganzuela;023. Chopera;15,441;4,666;43;41;10,691;2,321;2,927;1,586;2,363;644;747;103
2017;02. Arganzuela;024. Legazpi;14,296;3,206;31;52;11,007;1,815;2,84;2,694;2,273;790;514;81
2017;02. Arganzuela;025. Delicias;20,775;5,388;37;58;15,292;3,172;3,888;2,95;3,111;1,132;895;144
2017;02. Arganzuela;026. Palos de Moguer;19,765;5,7;47;57;13,961;3,021;3,509;2,252;3,142;950;932;155
2017;02. Arganzuela;027. Atocha;834;207;0;1;626;81;163;132;134;68;42;6
2017;03. Retiro;03. Retiro;;;;;;;;;;;;
2017;03. Retiro;03. Retiro;95,274;22,12;182;313;72,659;22,04;15,614;15,654;9,502;6,802;2,495;552
2017;03. Retiro;031. Pacífico;27,127;6,473;51;88;20,515;5,446;4,991;4,135;3,193;1,73;871;149
2017;03. Retiro;032. Adelfas;14,641;3,445;33;60;11,103;2,65;2,669;2,504;1,82;906;446;108
2017;03. Retiro;033. Estrella;19,157;3,821;46;70;15,22;5,098;3,055;3,48;1,678;1,357;443;109
