AÑO;DISTRITO;BARRIO;Censo electoral;Abstención;Votos nulos;Votos blancos;Votos a candidaturas;PACMA;PH;P.S.O.E.;P.P.;FE de las JONS;ULEG;Ciudadanos;P-LIB;PUM+J;MAS MADRID;IU-MpM;MCE;VOX;UPyD;M.I.;P.C.P.E.;CNTG+;PCTE;PCAS-TC-PPCCAL-PACTO
2019;01. Centro;01. Centro;98.873;32.505;195;273;65.900;335;13;6.069;11.379;33;4;8.851;21;33;32.421;2.887;11;3.625;47;27;27;75;17;25
2019;01. Centro;011. Palacio;17.845;5.379;47;50;12.369;66;0;1.149;2.309;5;1;1.622;4;7;5.998;454;2;724;8;5;4;7;1;3
2019;01. Centro;012. Embajadores;31.496;10.829;56;94;20.517;107;6;2.073;2.548;7;0;2.120;6;7;11.166;1.443;4;949;11;12;10;28;6;14
2019;01. Centro;013. Cortes;7.755;2.466;16;27;5.246;24;2;449;1.071;2;0;779;2;2;2.410;188;1;300;3;1;2;6;3;1
2019;01. Centro;014. Justicia;12.838;4.225;22;37;8.554;47;1;686;1.979;6;0;1.518;1;6;3.502;183;2;594;13;4;3;9;0;0
2019;01. Centro;015. Universidad;23.738;7.683;48;56;15.951;78;3;1.428;2.784;13;2;2.296;7;6;7.932;527;2;822;11;4;6;19;5;6
2019;01. Centro;016. Sol;5.201;1.923;6;9;3.263;13;1;284;688;0;1;516;1;5;1.413;92;0;236;1;1;2;6;2;1
2019;02. Arganzuela;02. Arganzuela;120.913;30.928;280;388;89.317;357;21;9.464;18.850;33;5;16.757;23;53;35.017;2.628;12;5.772;82;33;30;89;30;61
2019;02. Arganzuela;021. Imperial;18.598;4.436;50;62;14.050;57;4;1.388;3.235;5;0;2.612;3;10;5.309;368;1;1.005;13;4;6;18;3;9
2019;02. Arganzuela;022. Acacias;30.449;6.995;68;95;23.291;89;5;2.419;5.100;5;0;4.440;4;13;9.079;667;4;1.407;19;5;4;18;3;10
2019;02. Arganzuela;023. Chopera;15.600;4.729;51;51;10.769;44;3;1.406;2.325;8;0;1.607;2;8;4.303;394;0;623;10;3;4;17;2;10
2019;02. Arganzuela;024. Legazpi;14.431;3.252;24;57;11.098;36;2;1.053;1.860;2;2;2.699;2;3;4.400;249;2;739;13;10;4;12;5;5
2019;02. Arganzuela;025. Delicias;20.971;5.478;41;63;15.389;71;1;1.618;3.211;5;1;3.010;5;8;5.911;450;4;1.048;14;4;6;6;7;9
2019;02. Arganzuela;026. Palos de Moguer;20.024;5.821;46;60;14.097;60;5;1.495;3.046;8;1;2.252;6;10;5.773;483;1;891;13;7;6;17;8;15
2019;02. Arganzuela;027. Atocha;840;217;0;0;623;0;1;85;73;0;1;137;1;1;242;17;0;59;0;0;0;1;2;3
2019;03. Retiro;03. Retiro;96.176;22.587;211;266;73.112;236;19;6.215;22.792;28;2;15.400;24;43;20.563;1.351;14;6.201;79;18;20;60;18;29
2019;03. Retiro;031. Pacífico;27.359;6.614;57;75;20.613;74;7;2.069;5.623;9;0;4.106;4;8;6.603;478;1;1.570;22;1;5;16;9;8
2019;03. Retiro;032. Adelfas;14.750;3.491;40;43;11.176;49;3;1.147;2.628;2;1;2.500;4;9;3.674;240;2;868;15;5;4;17;2;6
2019;03. Retiro;033. Estrella;19.263;3.868;52;48;15.295;43;1;1.189;5.324;7;0;3.345;6;10;3.857;235;5;1.237;14;6;2;9;1;4
2019;03. Retiro;034. Ibiza;16.936;4.557;29;51;12.299;41;6;1.029;3.794;5;1;2.559;6;9;3.502;220;4;1.086;12;4;4;10;3;4
2019;03. Retiro;035. Los Jerónimos;5.602;1.510;9;15;4.068;10;1;229;1.631;3;0;781;2;0;839;75;2;483;4;0;1;5;0;2
2019;03. Retiro;036. Niño Jesús;12.266;2.547;24;34;9.661;19;1;552;3.792;2;0;2.109;2;7;2.088;103;0;957;12;2;4;3;3;5
2019;04. Salamanca;04. Salamanca;112.709;30.186;198;343;81.982;289;17;6.040;31.356;32;9;17.580;31;45;16.702;1.038;15;8.625;68;15;15;59;15;31
