AÑO;DISTRITO;BARRIO;Puntos Aparca-bici
2017;01. Centro;01. Centro;
2017;01. Centro;01. Centro;180
2017;01. Centro;011. Palacio;38
2017;01. Centro;012. Embajadores;35
2017;01. Centro;013. Cortes;8
2017;01. Centro;014. Justicia;56
2017;01. Centro;015. Universidad;31
2017;01. Centro;016. Sol;12
2017;02. Arganzuela;02. Arganzuela;
2017;02. Arganzuela;02. Arganzuela;57
2017;02. Arganzuela;021. Imperial;17
2017;02. Arganzuela;022. Acacias;6
2017;02. Arganzuela;023. Chopera;2
2017;02. Arganzuela;024. Legazpi;9
2017;02. Arganzuela;025. Delicias;11
2017;02. Arganzuela;026. Palos de Moguer;9
2017;02. Arganzuela;027. Atocha;3
2017;03. Retiro;03. Retiro;
2017;03. Retiro;03. Retiro;51
2017;03. Retiro;031. Pacífico;11
2017;03. Retiro;032. Adelfas;5
2017;03. Retiro;033. Estrella;15
2017;03. Retiro;034. Ibiza;3
2017;03. Retiro;035. Los Jerónimos;14
2017;03. Retiro;036. Niño Jesús;3
2017;04. Salamanca;04. Salamanca;
2017;04. Salamanca;04. Salamanca;51
2017;04. Salamanca;041. Recoletos;18
2017;04. Salamanca;042. Goya;3
2017;04. Salamanca;043. Fuente del Berro;3
2017;04. Salamanca;044. Guindalera;16
2017;04. Salamanca;045. Lista;3
2017;04. Salamanca;046. Castellana;8
2017;05. Chamartín;05. Chamartín;
2017;05. Chamartín;05. Chamartín;62
2017;05. Chamartín;051. El Viso;7
2017;05. Chamartín;052. Prosperidad;9
2017;05. Chamartín;053. Ciudad Jardín;14
2017;05. Chamartín;054. Hispanoamérica;12
2017;05. Chamartín;055. Nueva España;14
2017;05. Chamartín;056. Castilla;6
2017;06. Tetuán;06. Tetuán;
2017;06. Tetuán;06. Tetuán;51
2017;06. Tetuán;061. Bellas Vistas;9
2017;06. Tetuán;062. Cuatro Caminos;9
2017;06. Tetuán;063. Castillejos;8
2017;06. Tetuán;064. Almenara;9
2017;06. Tetuán;065. Valdeacederas;12
2017;06. Tetuán;066. Berruguete;4
2017;07. Chamberí;07. Chamberí;
2017;07. Chamberí;07. Chamberí;75
2017;07. Chamberí;071. Gaztambide;7
2017;07. Chamberí;072. Arapiles;10
2017;07. Chamberí;073. Trafalgar;12
2017;07. Chamberí;074. Almagro;10
2017;07. Chamberí;075. Ríos Rosas;14
2017;07. Chamberí;076. Vallehermoso;22
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;78
2017;08. Fuencarral-El Pardo;081. El Pardo;2
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;1
2017;08. Fuencarral-El Pardo;083. Peñagrande;10
