AÑO;DISTRITO;BARRIO;Num nuevos vecinos
2017;01. Centro;01. Centro;
2017;01. Centro;01. Centro;8.846
2017;01. Centro;011. Palacio;1.370
2017;01. Centro;012. Embajadores;3.429
2017;01. Centro;013. Cortes;665
2017;01. Centro;014. Justicia;1.006
2017;01. Centro;015. Universidad;1.988
2017;01. Centro;016. Sol;388
2017;02. Arganzuela;02. Arganzuela;
2017;02. Arganzuela;02. Arganzuela;8.022
2017;02. Arganzuela;021. Imperial;941
2017;02. Arganzuela;022. Acacias;1.596
2017;02. Arganzuela;023. Chopera;1.254
2017;02. Arganzuela;024. Legazpi;1.071
2017;02. Arganzuela;025. Delicias;1.551
2017;02. Arganzuela;026. Palos de Moguer;1.561
2017;02. Arganzuela;027. Atocha;48
2017;03. Retiro;03. Retiro;
2017;03. Retiro;03. Retiro;5.796
2017;03. Retiro;031. Pacífico;1.561
2017;03. Retiro;032. Adelfas;1.061
2017;03. Retiro;033. Estrella;948
2017;03. Retiro;034. Ibiza;1.160
2017;03. Retiro;035. Los Jerónimos;317
2017;03. Retiro;036. Niño Jesús;749
2017;04. Salamanca;04. Salamanca;
2017;04. Salamanca;04. Salamanca;7.741
2017;04. Salamanca;041. Recoletos;923
2017;04. Salamanca;042. Goya;1.450
2017;04. Salamanca;043. Fuente del Berro;1.123
2017;04. Salamanca;044. Guindalera;2.234
2017;04. Salamanca;045. Lista;1.111
2017;04. Salamanca;046. Castellana;900
2017;05. Chamartín;05. Chamartín;
2017;05. Chamartín;05. Chamartín;8.871
2017;05. Chamartín;051. El Viso;1.030
2017;05. Chamartín;052. Prosperidad;2.074
2017;05. Chamartín;053. Ciudad Jardín;1.114
2017;05. Chamartín;054. Hispanoamérica;1.903
2017;05. Chamartín;055. Nueva España;1.806
2017;05. Chamartín;056. Castilla;944
2017;06. Tetuán;06. Tetuán;
2017;06. Tetuán;06. Tetuán;11.597
2017;06. Tetuán;061. Bellas Vistas;2.389
2017;06. Tetuán;062. Cuatro Caminos;2.236
2017;06. Tetuán;063. Castillejos;1.368
2017;06. Tetuán;064. Almenara;1.476
2017;06. Tetuán;065. Valdeacederas;2.041
2017;06. Tetuán;066. Berruguete;2.087
2017;07. Chamberí;07. Chamberí;
2017;07. Chamberí;07. Chamberí;7.392
2017;07. Chamberí;071. Gaztambide;1.203
2017;07. Chamberí;072. Arapiles;1.356
2017;07. Chamberí;073. Trafalgar;1.338
2017;07. Chamberí;074. Almagro;1.064
2017;07. Chamberí;075. Ríos Rosas;1.452
2017;07. Chamberí;076. Vallehermoso;979
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;13.966
2017;08. Fuencarral-El Pardo;081. El Pardo;167
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;128
2017;08. Fuencarral-El Pardo;083. Peñagrande;1.970
2017;08. Fuencarral-El Pardo;084. Pilar;2.578
2017;08. Fuencarral-El Pardo;085. La Paz;1.248
2017;08. Fuencarral-El Pardo;086. Valverde;4.139
2017;08. Fuencarral-El Pardo;087. Mirasierra;2.332
2017;08. Fuencarral-El Pardo;088. El Goloso;1.404
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;6.147
2017;09. Moncloa-Aravaca;091. Casa de Campo;571
2017;09. Moncloa-Aravaca;092. Argüelles;1.166
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;715
2017;09. Moncloa-Aravaca;094. Valdezarza;1.558
2017;09. Moncloa-Aravaca;095. Valdemarín;481
2017;09. Moncloa-Aravaca;096. El Plantío;74
2017;09. Moncloa-Aravaca;097. Aravaca;1.582
2017;10. Latina;10. Latina;
2017;10. Latina;10. Latina;13.155
2017;10. Latina;101. Los Cármenes;943
2017;10. Latina;102. Puerta del Ángel;2.651
2017;10. Latina;103. Lucero;2.015
2017;10. Latina;104. Aluche;3.553
2017;10. Latina;105. Campamento;1.157
2017;10. Latina;106. Cuatro Vientos;391
2017;10. Latina;107. Águilas;2.445
2017;11. Carabanchel;11. Carabanchel;
2017;11. Carabanchel;11. Carabanchel;17.438
2017;11. Carabanchel;111. Comillas;1.362
2017;11. Carabanchel;112. Opañel;2.298
2017;11. Carabanchel;113. San Isidro;2.847
2017;11. Carabanchel;114. Vista Alegre;3.357
2017;11. Carabanchel;115. Puerta Bonita;2.679
2017;11. Carabanchel;116. Buenavista;2.800
2017;11. Carabanchel;117. Abrantes;2.095
2017;12. Usera;12. Usera;
2017;12. Usera;12. Usera;10.229
2017;12. Usera;121. Orcasitas;1.119
2017;12. Usera;122. Orcasur;866
2017;12. Usera;123. San Fermín;1.533
2017;12. Usera;124. Almendrales;1.792
2017;12. Usera;125. Moscardó;2.048
2017;12. Usera;126. Zofío;1.113
2017;12. Usera;127. Pradolongo;1.758
2017;13. Puente de Vallecas;13. Puente de Vallecas;
2017;13. Puente de Vallecas;13. Puente de Vallecas;16.961
2017;13. Puente de Vallecas;131. Entrevías;2.343
2017;13. Puente de Vallecas;132. San Diego;4.249
2017;13. Puente de Vallecas;133. Palomeras Bajas;2.415
2017;13. Puente de Vallecas;134. Palomeras Sureste;2.382
2017;13. Puente de Vallecas;135. Portazgo;1.894
2017;13. Puente de Vallecas;136. Numancia;3.678
2017;14. Moratalaz;14. Moratalaz;
2017;14. Moratalaz;14. Moratalaz;4.315
2017;14. Moratalaz;141. Pavones;397
2017;14. Moratalaz;142. Horcajo;251
2017;14. Moratalaz;143. Marroquina;1.018
2017;14. Moratalaz;144. Media Legua;748
2017;14. Moratalaz;145. Fontarrón;1.080
2017;14. Moratalaz;146. Vinateros;821
2017;15. Ciudad Lineal;15. Ciudad Lineal;
2017;15. Ciudad Lineal;15. Ciudad Lineal;12.263
2017;15. Ciudad Lineal;151. Ventas;2.894
2017;15. Ciudad Lineal;152. Pueblo Nuevo;3.684
2017;15. Ciudad Lineal;153. Quintana;1.816
2017;15. Ciudad Lineal;154. Concepción;1.104
2017;15. Ciudad Lineal;155. San Pascual;759
2017;15. Ciudad Lineal;156. San Juan Bautista;566
2017;15. Ciudad Lineal;157. Colina;374
2017;15. Ciudad Lineal;158. Atalaya;85
2017;15. Ciudad Lineal;159. Costillares;981
2017;16. Hortaleza;16. Hortaleza;
2017;16. Hortaleza;16. Hortaleza;10.224
2017;16. Hortaleza;161. Palomas;313
2017;16. Hortaleza;162. Piovera;926
2017;16. Hortaleza;163. Canillas;1.749
2017;16. Hortaleza;164. Pinar del Rey;2.646
2017;16. Hortaleza;165. Apóstol Santiago;675
2017;16. Hortaleza;166. Valdefuentes;3.915
2017;17. Villaverde;17. Villaverde;
2017;17. Villaverde;17. Villaverde;10.507
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;3.242
2017;17. Villaverde;172. San Cristóbal;1.548
2017;17. Villaverde;173. Butarque;1.634
2017;17. Villaverde;174. Los Rosales;2.364
2017;17. Villaverde;175. Ángeles;1.719
2017;18. Villa de Vallecas;18. Villa de Vallecas;
2017;18. Villa de Vallecas;18. Villa de Vallecas;7.889
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;2.681
2017;18. Villa de Vallecas;182. Santa Eugenia;1.009
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;4.199
2017;19. Vicálvaro;19. Vicálvaro;
2017;19. Vicálvaro;19. Vicálvaro;3.536
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;2.083
2017;19. Vicálvaro;192. Valdebernardo;530
2017;19. Vicálvaro;193. Valderribas;596
2017;19. Vicálvaro;194. El Cañaveral;327
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;8.898
2017;20. San Blas-Canillejas;201. Simancas;1.997
2017;20. San Blas-Canillejas;202. Hellín;540
2017;20. San Blas-Canillejas;203. Amposta;621
2017;20. San Blas-Canillejas;204. Arcos;1.340
2017;20. San Blas-Canillejas;205. Rosas;1.135
2017;20. San Blas-Canillejas;206. Rejas;1.228
2017;20. San Blas-Canillejas;207. Canillejas;1.607
2017;20. San Blas-Canillejas;208. El Salvador;430
2017;21. Barajas;21. Barajas;
2017;21. Barajas;21. Barajas;2.804
2017;21. Barajas;211. Alameda de Osuna;772
2017;21. Barajas;212. Aeropuerto;82
2017;21. Barajas;213. Casco Histórico de Barajas;508
2017;21. Barajas;214. Timón;984
2017;21. Barajas;215. Corralejos;458
2019;01. Centro;01. Centro;
2019;01. Centro;01. Centro;9.307
2019;01. Centro;011. Palacio;1.441
2019;01. Centro;012. Embajadores;3.346
2019;01. Centro;013. Cortes;638
2019;01. Centro;014. Justicia;1.219
2019;01. Centro;015. Universidad;2.200
2019;01. Centro;016. Sol;463
2019;02. Arganzuela;02. Arganzuela;
2019;02. Arganzuela;02. Arganzuela;7.515
2019;02. Arganzuela;021. Imperial;883
2019;02. Arganzuela;022. Acacias;1.524
2019;02. Arganzuela;023. Chopera;1.183
2019;02. Arganzuela;024. Legazpi;1.082
2019;02. Arganzuela;025. Delicias;1.438
2019;02. Arganzuela;026. Palos de Moguer;1.369
2019;02. Arganzuela;027. Atocha;36
2019;03. Retiro;03. Retiro;
2019;03. Retiro;03. Retiro;5.195
2019;03. Retiro;031. Pacífico;1.526
2019;03. Retiro;032. Adelfas;818
2019;03. Retiro;033. Estrella;812
2019;03. Retiro;034. Ibiza;1.091
2019;03. Retiro;035. Los Jerónimos;294
2019;03. Retiro;036. Niño Jesús;654
2019;04. Salamanca;04. Salamanca;
2019;04. Salamanca;04. Salamanca;7.484
2019;04. Salamanca;041. Recoletos;712
2019;04. Salamanca;042. Goya;1.515
2019;04. Salamanca;043. Fuente del Berro;1.184
2019;04. Salamanca;044. Guindalera;2.183
2019;04. Salamanca;045. Lista;1.023
2019;04. Salamanca;046. Castellana;867
2019;05. Chamartín;05. Chamartín;
2019;05. Chamartín;05. Chamartín;8.318
2019;05. Chamartín;051. El Viso;981
2019;05. Chamartín;052. Prosperidad;1.911
2019;05. Chamartín;053. Ciudad Jardín;1.113
2019;05. Chamartín;054. Hispanoamérica;1.782
2019;05. Chamartín;055. Nueva España;1.575
2019;05. Chamartín;056. Castilla;956
2019;06. Tetuán;06. Tetuán;
2019;06. Tetuán;06. Tetuán;10.979
2019;06. Tetuán;061. Bellas Vistas;2.205
2019;06. Tetuán;062. Cuatro Caminos;2.107
2019;06. Tetuán;063. Castillejos;1.294
2019;06. Tetuán;064. Almenara;1.372
2019;06. Tetuán;065. Valdeacederas;2.097
2019;06. Tetuán;066. Berruguete;1.904
2019;07. Chamberí;07. Chamberí;
2019;07. Chamberí;07. Chamberí;7.213
2019;07. Chamberí;071. Gaztambide;1.114
2019;07. Chamberí;072. Arapiles;1.310
2019;07. Chamberí;073. Trafalgar;1.408
2019;07. Chamberí;074. Almagro;1.023
2019;07. Chamberí;075. Ríos Rosas;1.401
2019;07. Chamberí;076. Vallehermoso;957
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;13.043
2019;08. Fuencarral-El Pardo;081. El Pardo;126
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;136
2019;08. Fuencarral-El Pardo;083. Peñagrande;2.065
2019;08. Fuencarral-El Pardo;084. Pilar;2.511
2019;08. Fuencarral-El Pardo;085. La Paz;1.240
2019;08. Fuencarral-El Pardo;086. Valverde;3.910
2019;08. Fuencarral-El Pardo;087. Mirasierra;1.866
2019;08. Fuencarral-El Pardo;088. El Goloso;1.189
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;6.231
2019;09. Moncloa-Aravaca;091. Casa de Campo;601
2019;09. Moncloa-Aravaca;092. Argüelles;1.186
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;759
2019;09. Moncloa-Aravaca;094. Valdezarza;1.548
2019;09. Moncloa-Aravaca;095. Valdemarín;551
2019;09. Moncloa-Aravaca;096. El Plantío;119
2019;09. Moncloa-Aravaca;097. Aravaca;1.467
2019;10. Latina;10. Latina;
2019;10. Latina;10. Latina;12.333
2019;10. Latina;101. Los Cármenes;1.012
2019;10. Latina;102. Puerta del Ángel;2.411
2019;10. Latina;103. Lucero;1.977
2019;10. Latina;104. Aluche;3.376
2019;10. Latina;105. Campamento;1.017
2019;10. Latina;106. Cuatro Vientos;273
2019;10. Latina;107. Águilas;2.267
2019;11. Carabanchel;11. Carabanchel;
2019;11. Carabanchel;11. Carabanchel;16.419
2019;11. Carabanchel;111. Comillas;1.443
2019;11. Carabanchel;112. Opañel;2.071
