AÑO;DISTRITO;BARRIO;Num vecinos dejan el barrio
2017;01. Centro;01. Centro;
2017;01. Centro;01. Centro;11.616
2017;01. Centro;011. Palacio;1.705
2017;01. Centro;012. Embajadores;4.332
2017;01. Centro;013. Cortes;857
2017;01. Centro;014. Justicia;1.366
2017;01. Centro;015. Universidad;2.689
2017;01. Centro;016. Sol;667
2017;02. Arganzuela;02. Arganzuela;
2017;02. Arganzuela;02. Arganzuela;8.808
2017;02. Arganzuela;021. Imperial;1.018
2017;02. Arganzuela;022. Acacias;1.730
2017;02. Arganzuela;023. Chopera;1.420
2017;02. Arganzuela;024. Legazpi;1.008
2017;02. Arganzuela;025. Delicias;1.709
2017;02. Arganzuela;026. Palos de Moguer;1.885
2017;02. Arganzuela;027. Atocha;38
2017;03. Retiro;03. Retiro;
2017;03. Retiro;03. Retiro;6.201
2017;03. Retiro;031. Pacífico;1.838
2017;03. Retiro;032. Adelfas;1.059
2017;03. Retiro;033. Estrella;940
2017;03. Retiro;034. Ibiza;1.271
2017;03. Retiro;035. Los Jerónimos;375
2017;03. Retiro;036. Niño Jesús;718
2017;04. Salamanca;04. Salamanca;
2017;04. Salamanca;04. Salamanca;9.129
2017;04. Salamanca;041. Recoletos;1.143
2017;04. Salamanca;042. Goya;1.877
2017;04. Salamanca;043. Fuente del Berro;1.218
2017;04. Salamanca;044. Guindalera;2.314
2017;04. Salamanca;045. Lista;1.295
2017;04. Salamanca;046. Castellana;1.282
2017;05. Chamartín;05. Chamartín;
2017;05. Chamartín;05. Chamartín;9.354
2017;05. Chamartín;051. El Viso;1.222
2017;05. Chamartín;052. Prosperidad;2.253
2017;05. Chamartín;053. Ciudad Jardín;1.205
2017;05. Chamartín;054. Hispanoamérica;1.949
2017;05. Chamartín;055. Nueva España;1.738
2017;05. Chamartín;056. Castilla;987
2017;06. Tetuán;06. Tetuán;
2017;06. Tetuán;06. Tetuán;12.381
2017;06. Tetuán;061. Bellas Vistas;2.559
2017;06. Tetuán;062. Cuatro Caminos;2.512
2017;06. Tetuán;063. Castillejos;1.495
2017;06. Tetuán;064. Almenara;1.403
2017;06. Tetuán;065. Valdeacederas;2.131
2017;06. Tetuán;066. Berruguete;2.281
2017;07. Chamberí;07. Chamberí;
2017;07. Chamberí;07. Chamberí;8.711
2017;07. Chamberí;071. Gaztambide;1.358
2017;07. Chamberí;072. Arapiles;1.546
2017;07. Chamberí;073. Trafalgar;1.680
2017;07. Chamberí;074. Almagro;1.366
2017;07. Chamberí;075. Ríos Rosas;1.777
2017;07. Chamberí;076. Vallehermoso;984
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;12.770
2017;08. Fuencarral-El Pardo;081. El Pardo;139
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;114
2017;08. Fuencarral-El Pardo;083. Peñagrande;2.072
2017;08. Fuencarral-El Pardo;084. Pilar;2.599
2017;08. Fuencarral-El Pardo;085. La Paz;1.297
2017;08. Fuencarral-El Pardo;086. Valverde;3.783
2017;08. Fuencarral-El Pardo;087. Mirasierra;1.575
2017;08. Fuencarral-El Pardo;088. El Goloso;1.191
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;6.177
2017;09. Moncloa-Aravaca;091. Casa de Campo;583
2017;09. Moncloa-Aravaca;092. Argüelles;1.443
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;809
2017;09. Moncloa-Aravaca;094. Valdezarza;1.562
