AÑO;DISTRITO;BARRIO;Censo electoral;Abstención;Votos nulos;Votos blancos;Votos a candidaturas;PACMA;Ciudadanos;PSOE;PH;PCTE;PCPE;PUM+J;PACT;VOX;PODEMOS-IUEQUO;PP;RECORTES CERO-GV-PCAS-TC;PODEMOS-IU;MÁS PAÍS-EQUO
2017;01. Centro;01. Centro;95.862;23.085;417;424;71.936;1.016;11.286;20.860;52;28;34;83;426;6.638;19.919;11.442;152;-;-
2017;01. Centro;011. Palacio;17.342;3.881;72;95;13.294;195;1.989;3.845;15;9;6;15;82;1.311;3.458;2.332;37;-;-
2017;01. Centro;012. Embajadores;30.552;7.748;135;129;22.540;330;2.712;6.611;17;11;15;29;146;1.660;8.216;2.740;53;-;-
2017;01. Centro;013. Cortes;7.511;1.774;29;32;5.676;76;987;1.615;2;1;3;3;30;567;1.362;1.022;8;-;-
2017;01. Centro;014. Justicia;12.413;2.942;45;54;9.372;132;1.957;2.656;6;1;2;15;39;1.097;1.590;1.864;13;-;-
2017;01. Centro;015. Universidad;23.030;5.364;108;96;17.462;237;2.995;5.166;12;6;5;15;115;1.577;4.504;2.792;38;-;-
2017;01. Centro;016. Sol;5.014;1.376;28;18;3.592;46;646;967;0;0;3;6;14;426;789;692;3;-;-
2017;02. Arganzuela;02. Arganzuela;119.637;20.655;592;609;97.781;1.096;19.419;26.771;65;42;46;125;573;10.885;19.972;18.621;166;-;-
2017;02. Arganzuela;021. Imperial;18.437;2.895;91;94;15.357;175;3.017;4.032;8;5;3;17;86;1.947;2.940;3.103;24;-;-
2017;02. Arganzuela;022. Acacias;30.173;4.729;139;170;25.135;292;5.008;6.983;14;6;12;29;180;2.622;4.956;4.992;41;-;-
2017;02. Arganzuela;023. Chopera;15.425;3.239;81;61;12.044;140;1.955;3.503;7;7;5;23;80;1.184;2.759;2.363;18;-;-
2017;02. Arganzuela;024. Legazpi;14.279;1.959;65;104;12.151;126;3.150;3.274;9;6;8;14;65;1.404;2.226;1.851;18;-;-
2017;02. Arganzuela;025. Delicias;20.723;3.584;100;93;16.946;169;3.459;4.599;11;9;10;17;78;1.981;3.409;3.182;22;-;-
2017;02. Arganzuela;026. Palos de Moguer;19.764;4.110;110;84;15.460;191;2.678;4.218;14;8;8;24;82;1.655;3.501;3.045;36;-;-
2017;02. Arganzuela;027. Atocha;836;139;6;3;688;3;152;162;2;1;0;1;2;92;181;85;7;-;-
2017;03. Retiro;03. Retiro;95.267;15.069;393;501;79.304;702;17.238;17.310;42;30;19;102;302;11.705;10.004;21.762;88;-;-
2017;03. Retiro;031. Pacífico;27.142;4.407;137;143;22.455;246;4.601;5.619;11;7;7;23;113;2.891;3.367;5.544;26;-;-
2017;03. Retiro;032. Adelfas;14.630;2.334;59;85;12.152;117;2.813;3.055;7;7;3;11;45;1.598;1.892;2.582;22;-;-
2017;03. Retiro;033. Estrella;19.145;2.540;86;98;16.421;109;3.742;3.283;6;5;2;28;43;2.498;1.781;4.910;14;-;-
2017;03. Retiro;034. Ibiza;16.696;3.110;56;92;13.438;132;2.829;2.932;16;6;4;14;63;2.015;1.693;3.718;16;-;-
2017;03. Retiro;035. Los Jerónimos;5.525;1.026;14;20;4.465;33;860;716;0;1;0;2;13;891;407;1.538;4;-;-
2017;03. Retiro;036. Niño Jesús;12.129;1.652;41;63;10.373;65;2.393;1.705;2;4;3;24;25;1.812;864;3.470;6;-;-
2017;04. Salamanca;04. Salamanca;111.276;19.855;489;516;90.416;679;19.742;15.613;49;22;29;110;235;16.468;8.064;29.294;111;-;-
2017;04. Salamanca;041. Recoletos;11.430;2.027;42;42;9.319;40;1.812;932;2;3;0;6;8;2.200;370;3.938;8;-;-
2017;04. Salamanca;042. Goya;22.586;4.341;105;102;18.038;154;4.109;3.158;8;1;7;21;43;3.354;1.443;5.716;24;-;-
2017;04. Salamanca;043. Fuente del Berro;16.362;2.947;80;74;13.261;132;3.043;3.096;8;3;5;22;47;1.759;1.814;3.312;20;-;-
2017;04. Salamanca;044. Guindalera;32.517;5.593;166;178;26.580;208;6.034;5.350;22;10;15;39;93;4.257;3.035;7.480;37;-;-
2017;04. Salamanca;045. Lista;15.881;2.858;64;70;12.889;100;2.889;2.131;5;2;0;9;34;2.448;996;4.264;11;-;-
2017;04. Salamanca;046. Castellana;12.500;2.089;32;50;10.329;45;1.855;946;4;3;2;13;10;2.450;406;4.584;11;-;-
2017;05. Chamartín;05. Chamartín;112.276;18.010;449;590;93.227;709;21.653;15.644;44;35;8;117;236;16.668;7.929;30.053;131;-;-
