AÑO;DISTRITO;BARRIO;Ingenieros y licenciados. Personal de alta dirección;Ingenieros técnicos, peritos y ayudantes titulados;Jefes administrativos y de taller;Ayudantes no titulados;Oficiales administrativos;Subalternos;Auxiliares administrativos;Oficiales de primera y segunda;Oficiales de tercera y especialistas;Peones;Trabajadores menores de 18 años;No consta
2017;01. Centro;01. Centro;;;;;;;;;;;;
2017;01. Centro;01. Centro;11.119;3.681;3.312;1.846;6.244;2.776;5.865;3.442;2.569;2.615;2;1.793
2017;01. Centro;011. Palacio;1.933;694;621;311;1.052;441;975;459;350;318;0;245
2017;01. Centro;012. Embajadores;3.167;1.298;1.024;654;2.042;1.166;2.164;1.386;1.098;1.277;1;592
2017;01. Centro;013. Cortes;999;259;288;138;492;166;423;252;156;141;0;108
2017;01. Centro;014. Justicia;1.664;360;435;195;756;279;602;349;223;235;0;232
2017;01. Centro;015. Universidad;2.794;915;757;455;1.549;593;1.395;798;609;540;0;525
2017;01. Centro;016. Sol;562;155;186;93;353;131;306;198;133;104;1;91
2017;02. Arganzuela;02. Arganzuela;;;;;;;;;;;;
2017;02. Arganzuela;02. Arganzuela;14.992;6.407;4.399;2.488;7.787;2.404;6.639;3.308;2.201;2.578;1;10.597
2017;02. Arganzuela;021. Imperial;2.261;944;686;370;1.207;345;990;438;249;265;0;1.444
2017;02. Arganzuela;022. Acacias;3.764;1.648;1.094;582;1.884;494;1.499;633;401;418;0;2.380
2017;02. Arganzuela;023. Chopera;1.155;618;416;303;999;426;950;621;449;563;0;1.432
2017;02. Arganzuela;024. Legazpi;2.732;1.026;817;348;1.120;192;745;322;192;209;1;1.381
2017;02. Arganzuela;025. Delicias;2.769;1.173;800;424;1.347;442;1.179;598;403;534;0;1.943
2017;02. Arganzuela;026. Palos de Moguer;2.250;952;552;413;1.168;479;1.202;662;485;563;0;1.957
2017;02. Arganzuela;027. Atocha;61;46;34;48;62;26;73;34;22;26;0;60
2017;03. Retiro;03. Retiro;;;;;;;;;;;;
2017;03. Retiro;03. Retiro;12.966;4.165;3.062;1.433;5.061;1.771;4.310;1.506;973;1.145;0;1.360
2017;03. Retiro;031. Pacífico;3.266;1.275;904;468;1.610;524;1.422;539;364;419;0;470
2017;03. Retiro;032. Adelfas;1.995;773;548;297;971;261;789;289;205;227;0;165
2017;03. Retiro;033. Estrella;2.691;876;618;241;895;247;746;219;122;150;0;172
2017;03. Retiro;034. Ibiza;2.291;632;508;236;895;399;745;296;181;227;0;282
2017;03. Retiro;035. Los Jerónimos;720;173;142;74;208;124;202;54;33;42;0;103
2017;03. Retiro;036. Niño Jesús;2.003;436;342;117;482;216;406;109;68;80;0;168
2017;04. Salamanca;04. Salamanca;;;;;;;;;;;;
2017;04. Salamanca;04. Salamanca;15.829;3.910;3.452;1.458;5.843;2.491;5.128;1.637;1.105;1.317;1;2.647
2017;04. Salamanca;041. Recoletos;1.773;223;307;104;408;297;396;87;54;83;0;378
2017;04. Salamanca;042. Goya;3.418;776;671;290;1.170;513;1.021;369;225;230;1;470
2017;04. Salamanca;043. Fuente del Berro;2.040;698;562;254;1.010;344;879;358;220;310;0;328
2017;04. Salamanca;044. Guindalera;4.352;1.424;1.126;500;1.892;682;1.717;514;379;411;0;623
2017;04. Salamanca;045. Lista;2.328;523;460;198;799;364;743;209;154;169;0;366
2017;04. Salamanca;046. Castellana;1.918;266;326;112;564;291;372;100;73;114;0;482
2017;05. Chamartín;05. Chamartín;;;;;;;;;;;;
2017;05. Chamartín;05. Chamartín;17.547;3.857;3.521;1.578;5.550;2.028;4.737;1.457;1.036;1.168;1;2.554
2017;05. Chamartín;051. El Viso;2.158;263;300;130;467;238;445;81;71;90;0;549
2017;05. Chamartín;052. Prosperidad;3.931;1.229;1.020;525;1.709;577;1.490;533;364;382;0;556
2017;05. Chamartín;053. Ciudad Jardín;1.881;559;468;228;820;290;712;305;245;278;0;345
2017;05. Chamartín;054. Hispanoamérica;4.052;771;746;307;1.090;435;887;219;156;179;0;431
2017;05. Chamartín;055. Nueva España;3.390;509;571;213;769;281;602;134;88;125;1;474
2017;05. Chamartín;056. Castilla;2.135;526;416;175;695;207;601;185;112;114;0;199
2017;06. Tetuán;06. Tetuán;;;;;;;;;;;;
2017;06. Tetuán;06. Tetuán;10.825;4.068;3.214;1.874;6.823;3.095;6.893;4.655;3.502;4.456;2;5.704
2017;06. Tetuán;061. Bellas Vistas;1.650;753;511;333;1.147;603;1.260;920;800;939;0;1.344
2017;06. Tetuán;062. Cuatro Caminos;3.514;955;747;388;1.409;555;1.255;653;507;569;0;931
2017;06. Tetuán;063. Castillejos;2.086;562;501;201;865;318;736;352;256;300;0;473
2017;06. Tetuán;064. Almenara;1.112;502;382;264;1.017;488;1.094;764;528;831;1;657
2017;06. Tetuán;065. Valdeacederas;1.253;630;565;360;1.287;596;1.314;1.071;729;945;1;1.118
2017;06. Tetuán;066. Berruguete;1.210;666;508;328;1.098;535;1.234;895;682;872;0;1.181
2017;07. Chamberí;07. Chamberí;;;;;;;;;;;;
2017;07. Chamberí;07. Chamberí;16.222;3.865;3.285;1.469;5.371;2.400;4.741;1.691;1.213;1.364;1;2.515
2017;07. Chamberí;071. Gaztambide;2.496;712;475;244;795;413;809;266;191;206;0;369
2017;07. Chamberí;072. Arapiles;2.659;721;594;293;1.049;472;903;350;262;293;0;419
2017;07. Chamberí;073. Trafalgar;2.986;727;667;328;1.145;377;923;384;257;284;1;404
2017;07. Chamberí;074. Almagro;2.267;376;442;149;625;353;583;186;145;163;0;530
2017;07. Chamberí;075. Ríos Rosas;3.366;795;696;274;1.076;467;913;333;249;284;0;480
2017;07. Chamberí;076. Vallehermoso;2.448;534;411;181;681;318;610;172;109;133;0;313
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;;;;;;;;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;23.060;8.191;6.402;3.468;11.023;3.667;10.036;4.831;2.944;4.064;2;3.408
2017;08. Fuencarral-El Pardo;081. El Pardo;114;68;67;82;146;100;163;86;73;117;0;13
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;363;37;57;20;62;19;78;13;7;15;0;100
2017;08. Fuencarral-El Pardo;083. Peñagrande;3.421;1.515;1.086;624;2.048;689;2.034;985;587;841;0;651
2017;08. Fuencarral-El Pardo;084. Pilar;2.347;1.343;938;655;2.156;1.210;2.392;1.421;912;1.191;0;1.005
2017;08. Fuencarral-El Pardo;085. La Paz;3.728;1.289;860;376;1.489;344;1.217;384;196;264;1;237
2017;08. Fuencarral-El Pardo;086. Valverde;6.396;2.185;1.858;978;3.048;937;2.648;1.456;903;1.324;1;979
