AÑO;DISTRITO;     0 a 4 años;     5 a 9 años;     10 a 14 años;     15 a 19 años;     20 a 24 años;     25 a 29 años;     30 a 34 años;     35 a 39 años;     40 a 44 años;     45 a 49 años;     50 a 54 años;     55 a 59 años;     60 a 64 años;     65 a 69 años;     70 a 74 años;     75 a 79 años;     80 a 84 años;     85 a 89 años;     90 a 94 años;     95 a 99 años;     100 y más años;     No consta
2021;Ciudad de Madrid;69;11;14;25;32;44;67;114;214;349;559;858;1.015;1.386;1.875;2.493;4.461;5.882;4.987;2.106;502;0
2019;Ciudad de Madrid;63;7;12;29;31;47;70;97;179;348;549;836;1.046;1.292;1.794;2.383;4.231;5.937;4.932;2.179;461;0
2020;Ciudad de Madrid;53;8;7;20;34;32;64;83;160;303;559;827;1.126;1.240;1.790;2.413;3.891;5.857;4.852;2.388;466;0
2018;Ciudad de Madrid;56;6;17;21;30;53;74;150;188;378;672;1.074;1.426;1.741;2.628;3.929;5.848;8.708;7.391;3.240;606;0
2021;01. Centro;37;7;10;16;17;25;42;70;126;202;338;520;626;843;1.132;1.455;2.397;2.610;1.725;543;85;0
2020;01. Centro;40;5;7;15;21;33;46;65;110;229;339;531;632;821;1.081;1.394;2.252;2.680;1.749;568;67;0
2019;01. Centro;29;5;5;13;22;22;40;53;91;173;346;506;681;776;1.057;1.435;2.020;2.678;1.712;625;72;0
2018;01. Centro;1;0;0;1;2;2;3;3;12;21;32;39;49;75;91;109;163;230;270;115;34;0
2021;02. Arganzuela;32;4;4;9;15;19;25;44;88;147;221;338;389;543;743;1.038;2.064;3.272;3.262;1.563;417;0
2020;02. Arganzuela;23;2;5;14;10;14;24;32;69;119;210;305;414;471;713;989;1.979;3.257;3.183;1.611;394;0
2019;02. Arganzuela;24;3;2;7;12;10;24;30;69;130;213;321;445;464;733;978;1.871;3.179;3.140;1.763;394;0
2018;02. Arganzuela;4;0;0;3;0;3;3;2;4;13;33;43;76;76;131;168;256;384;363;175;27;0
2021;03. Retiro;3;0;1;0;0;3;1;7;12;17;29;43;58;58;72;90;137;205;195;92;25;0
2020;03. Retiro;1;0;0;0;2;4;4;9;11;15;27;37;65;54;65;73;135;188;181;85;18;0
2019;03. Retiro;3;0;0;0;1;4;4;6;10;16;25;42;67;61;57;83;114;196;160;79;16;0
2018;03. Retiro;1;0;0;3;1;1;0;5;8;8;19;25;49;76;103;152;244;362;358;170;42;0
2021;04. Salamanca;1;0;1;0;0;1;0;5;10;11;18;30;42;33;44;57;68;89;60;24;3;0
2020;04. Salamanca;1;0;0;0;2;3;3;6;8;10;21;28;45;36;34;46;74;86;47;15;1;0
2019;04. Salamanca;1;0;0;0;1;4;2;3;3;11;15;23;43;39;34;46;54;74;54;16;4;0
2018;04. Salamanca;0;1;0;0;0;4;1;4;3;11;12;35;61;104;134;176;240;394;447;255;55;0
2021;05. Chamartín;2;0;0;0;0;2;1;2;2;6;11;13;16;25;28;33;69;116;135;68;22;0
2020;05. Chamartín;0;0;0;0;0;1;1;3;3;5;6;9;20;18;31;27;61;102;134;70;17;0
2019;05. Chamartín;2;0;0;0;0;0;2;3;7;5;10;19;24;22;23;37;60;122;106;63;12;0
2018;05. Chamartín;5;0;1;0;1;2;2;5;6;20;22;41;57;90;127;158;284;439;374;220;45;0
2021;06. Tetuán;2;0;1;1;1;4;3;8;9;17;30;46;46;60;91;85;190;291;238;127;24;0
2020;06. Tetuán;0;1;1;2;2;1;2;1;6;13;21;33;46;79;63;103;168;273;240;145;26;0
2019;06. Tetuán;1;0;1;2;1;0;2;4;5;8;21;33;45;58;61;107;158;245;238;133;30;0
2018;06. Tetuán;5;0;0;0;2;2;3;10;12;26;32;48;87;93;124;175;273;499;407;159;27;0
2021;07. Chamberí;2;0;1;0;1;1;2;6;4;7;22;24;25;36;50;43;100;113;70;35;4;0
2020;07. Chamberí;0;1;0;1;1;0;2;0;3;7;13;23;24;48;33;65;82;110;69;34;5;0
2019;07. Chamberí;1;0;1;2;1;0;0;3;1;3;11;19;32;35;43;68;81;93;71;26;6;0
2018;07. Chamberí;3;0;1;0;2;3;3;4;9;13;16;34;62;70;94;169;231;384;408;230;49;0
2021;08. Fuencarral-El Pardo;0;0;0;1;0;3;1;2;5;10;8;22;21;24;41;42;90;178;168;92;20;0
2020;08. Fuencarral-El Pardo;0;0;1;1;1;1;0;1;3;6;8;10;22;31;30;38;86;163;171;111;21;0
2019;08. Fuencarral-El Pardo;0;0;0;0;0;0;2;1;4;5;10;14;13;23;18;39;77;152;167;107;24;0
2018;08. Fuencarral-El Pardo;1;1;2;1;3;6;9;10;20;25;35;69;91;109;215;314;451;562;489;197;43;0
2021;09. Moncloa-Aravaca;1;2;0;0;1;0;0;2;4;16;14;22;31;58;87;109;159;263;252;136;33;0
2020;09. Moncloa-Aravaca;1;1;1;1;0;0;4;1;5;11;15;23;49;44;75;98;185;245;255;93;34;0
2019;09. Moncloa-Aravaca;1;0;0;0;1;1;3;4;1;10;21;27;44;50;70;101;137;233;246;129;27;0
2018;09. Moncloa-Aravaca;6;0;1;0;1;0;5;6;7;10;25;35;50;61;96;154;192;313;323;175;25;0
2021;10. Latina;0;0;0;0;0;0;0;1;3;9;7;12;20;26;45;62;85;114;98;37;2;0
2020;10. Latina;1;0;0;1;0;0;2;0;2;7;9;12;29;27;38;44;98;103;92;22;6;0
2019;10. Latina;0;0;0;0;1;1;2;2;1;5;9;13;26;31;39;66;75;108;76;34;4;0
2018;10. Latina;2;0;0;3;2;1;9;19;16;32;54;97;100;111;226;379;563;764;530;229;42;0
2021;11. Carabanchel;1;2;0;0;1;0;0;1;1;7;7;10;11;32;42;47;74;149;154;99;31;0
2020;11. Carabanchel;0;1;1;0;0;0;2;1;3;4;6;11;20;17;37;54;87;142;163;71;28;0
2019;11. Carabanchel;1;0;0;0;0;0;1;2;0;5;12;14;18;19;31;35;62;125;170;95;23;0
2018;11. Carabanchel;6;1;2;1;3;7;4;12;12;19;66;84;121;148;204;319;467;687;604;255;35;0
2021;12. Usera;0;0;0;3;0;0;4;7;8;10;18;32;50;65;111;123;227;307;317;153;57;0
2020;12. Usera;5;1;0;0;0;3;5;3;4;4;24;28;38;54;103;121;216;307;302;163;46;0
2019;12. Usera;3;0;1;0;0;1;4;4;3;10;25;28;45;58;86;98;195;322;313;189;42;0
2018;12. Usera;3;0;1;0;1;1;3;7;9;19;31;58;63;84;107;136;223;395;277;116;20;0
2021;13. Puente de Vallecas;0;0;0;2;0;0;4;4;5;4;9;18;25;36;56;70;115;127;104;30;19;0
2020;13. Puente de Vallecas;2;1;0;0;0;2;2;2;3;2;12;20;18;29;52;68;94;120;107;40;6;0
2019;13. Puente de Vallecas;2;0;1;0;0;0;4;3;3;6;18;13;22;32;48;52;89;143;103;49;5;0
2018;13. Puente de Vallecas;6;1;1;3;2;6;10;18;13;39;71;114;143;142;191;284;428;608;520;156;23;0
2021;14. Moratalaz;0;0;0;1;0;0;0;3;3;6;9;14;25;29;55;53;112;180;213;123;38;0
2020;14. Moratalaz;3;0;0;0;0;1;3;1;1;2;12;8;20;25;51;53;122;187;195;123;40;0
2019;14. Moratalaz;1;0;0;0;0;1;0;1;0;4;7;15;23;26;38;46;106;179;210;140;37;0
2018;14. Moratalaz;0;0;0;1;0;4;2;5;9;13;25;37;39;40;100;158;230;367;250;87;24;0
2021;15. Ciudad Lineal;5;0;0;1;1;1;0;7;4;14;23;35;45;54;77;111;223;307;301;148;35;0
2020;15. Ciudad Lineal;2;0;0;0;0;0;2;2;5;13;17;33;49;60;87;110;186;307;295;142;40;0
2019;15. Ciudad Lineal;3;0;2;0;1;2;5;1;3;5;14;27;50;64;72;102;161;289;263;157;21;0
2018;15. Ciudad Lineal;3;1;1;1;3;2;6;12;10;22;40;85;90;101;187;293;404;645;566;228;44;0
2021;16. Hortaleza;3;0;0;1;1;0;0;6;0;10;16;19;25;35;39;59;121;134;100;44;6;0
2020;16. Hortaleza;1;0;0;0;0;0;1;1;3;9;7;21;24;39;53;62;101;129;107;33;5;0
2019;16. Hortaleza;1;0;1;0;1;2;1;1;3;1;8;17;28;36;37;61;76;136;99;37;4;0
2018;16. Hortaleza;1;1;2;2;2;4;4;5;9;14;26;48;63;78;131;249;290;401;315;140;21;0
2021;17. Villaverde;2;0;0;0;0;1;0;1;4;4;7;16;20;19;38;52;102;173;201;104;29;0
2020;17. Villaverde;1;0;0;0;0;0;1;1;2;4;10;12;25;21;34;48;85;178;188;109;35;0
2019;17. Villaverde;2;0;1;0;0;0;4;0;0;4;6;10;22;28;35;41;85;153;164;120;17;0
2018;17. Villaverde;5;0;2;0;2;2;0;8;9;18;31;57;59;76;98;179;307;383;239;79;14;0
2021;18. Villa de Vallecas;4;0;1;1;3;3;8;5;8;12;30;49;48;81;79;118;209;335;294;136;24;0
2020;18. Villa de Vallecas;4;0;0;1;0;4;3;4;9;22;30;51;49;70;78;109;190;298;302;136;22;0
2019;18. Villa de Vallecas;2;0;1;0;2;3;6;3;16;12;24;46;58;51;64;116;167;299;269;140;21;0
