AÑO;DISTRITO;BARRIO;Temporal;Indefinido
2017;01. Centro;01. Centro;;
2017;01. Centro;01. Centro;10.897;31.747
2017;01. Centro;011. Palacio;1.692;5.182
2017;01. Centro;012. Embajadores;4.341;10.679
2017;01. Centro;013. Cortes;746;2.441
2017;01. Centro;014. Justicia;1.057;3.978
2017;01. Centro;015. Universidad;2.476;7.862
2017;01. Centro;016. Sol;584;1.605
2017;02. Arganzuela;02. Arganzuela;;
2017;02. Arganzuela;02. Arganzuela;11.738;38.655
2017;02. Arganzuela;021. Imperial;1.633;5.522
2017;02. Arganzuela;022. Acacias;2.777;8.547
2017;02. Arganzuela;023. Chopera;1.746;4.805
2017;02. Arganzuela;024. Legazpi;1.246;5.858
2017;02. Arganzuela;025. Delicias;2.085;7.238
2017;02. Arganzuela;026. Palos de Moguer;2.180;6.399
2017;02. Arganzuela;027. Atocha;71;285
2017;03. Retiro;03. Retiro;;
2017;03. Retiro;03. Retiro;7.198;27.084
2017;03. Retiro;031. Pacífico;2.379;7.821
2017;03. Retiro;032. Adelfas;1.211;4.738
2017;03. Retiro;033. Estrella;1.275;5.015
2017;03. Retiro;034. Ibiza;1.257;4.910
2017;03. Retiro;035. Los Jerónimos;325;1.360
2017;03. Retiro;036. Niño Jesús;751;3.240
2017;04. Salamanca;04. Salamanca;;
2017;04. Salamanca;04. Salamanca;7.709;33.811
2017;04. Salamanca;041. Recoletos;507;3.334
2017;04. Salamanca;042. Goya;1.604;6.857
2017;04. Salamanca;043. Fuente del Berro;1.385;5.093
2017;04. Salamanca;044. Guindalera;2.479;10.052
2017;04. Salamanca;045. Lista;1.121;4.742
2017;04. Salamanca;046. Castellana;613;3.733
2017;05. Chamartín;05. Chamartín;;
2017;05. Chamartín;05. Chamartín;7.293;34.574
2017;05. Chamartín;051. El Viso;632;3.861
2017;05. Chamartín;052. Prosperidad;2.291;9.089
2017;05. Chamartín;053. Ciudad Jardín;1.178;4.561
2017;05. Chamartín;054. Hispanoamérica;1.359;7.237
2017;05. Chamartín;055. Nueva España;912;5.795
2017;05. Chamartín;056. Castilla;921;4.031
2017;06. Tetuán;06. Tetuán;;
2017;06. Tetuán;06. Tetuán;12.034;40.234
2017;06. Tetuán;061. Bellas Vistas;2.397;7.303
2017;06. Tetuán;062. Cuatro Caminos;2.153;8.613
2017;06. Tetuán;063. Castillejos;1.211;5.029
2017;06. Tetuán;064. Almenara;1.857;5.452
2017;06. Tetuán;065. Valdeacederas;2.287;7.192
2017;06. Tetuán;066. Berruguete;2.129;6.645
2017;07. Chamberí;07. Chamberí;;
2017;07. Chamberí;07. Chamberí;8.241;32.478
2017;07. Chamberí;071. Gaztambide;1.499;4.800
2017;07. Chamberí;072. Arapiles;1.593;5.798
2017;07. Chamberí;073. Trafalgar;1.653;6.235
2017;07. Chamberí;074. Almagro;844;4.624
2017;07. Chamberí;075. Ríos Rosas;1.593;6.734
2017;07. Chamberí;076. Vallehermoso;1.059;4.286
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;15.129;59.998
2017;08. Fuencarral-El Pardo;081. El Pardo;221;705
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;117;594
2017;08. Fuencarral-El Pardo;083. Peñagrande;3.008;10.278
2017;08. Fuencarral-El Pardo;084. Pilar;3.601;11.061
2017;08. Fuencarral-El Pardo;085. La Paz;2.141;7.070
2017;08. Fuencarral-El Pardo;086. Valverde;3.836;17.683
2017;08. Fuencarral-El Pardo;087. Mirasierra;1.473;7.485
2017;08. Fuencarral-El Pardo;088. El Goloso;732;5.122
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;6.536;25.798
2017;09. Moncloa-Aravaca;091. Casa de Campo;800;2.811
2017;09. Moncloa-Aravaca;092. Argüelles;1.396;5.198
