AÑO;DISTRITO;BARRIO;Hombre Españoles 0 a 15 años;Hombre Españoles 16 a 64 años;Hombre Españoles 65 y más años;Hombre Españoles No consta;Mujeres Españolas 0 a 15 años;Mujeres Españolas 16 a 64 años;Mujeres Españolas 65 y más años;Mujeres Españolas No consta;Hombre Extranjero 0 a 15 años;Hombre Extranjero 16 a 64 años;Hombre Extranjero 65 y más años;Hombre Extranjero No consta;Mujeres Extranjera 0 a 15 años;Mujeres Extranjera 16 a 64 años;Mujeres Extranjera 65 y más años;Mujeres Extranjera No consta
2017;01. Centro;01. Centro;;;;;;;;;;;;;;;;
2017;01. Centro;01. Centro;4.599;38.007;7.841;0;4.532;35.496;12.743;0;1.125;14.338;409;0;971;11.769;520;0
2017;01. Centro;011. Palacio;822;6.596;1.585;0;855;6.300;2.502;0;136;1.758;80;0;129;1.659;92;0
2017;01. Centro;012. Embajadores;1.578;12.380;2.325;0;1.522;11.711;3.838;0;516;6.124;108;0;424;3.955;148;0
2017;01. Centro;013. Cortes;343;3.069;702;0;294;2.819;991;0;58;1.058;35;0;70;1.043;49;0
2017;01. Centro;014. Justicia;598;4.953;968;0;610;4.410;1.629;0;121;1.639;55;0;107;1.422;66;0
2017;01. Centro;015. Universidad;1.044;8.919;1.802;0;1.045;8.534;3.078;0;253;2.926;96;0;196;2.876;128;0
2017;01. Centro;016. Sol;214;2.090;459;0;206;1.722;705;0;41;833;35;0;45;814;37;0
2017;02. Arganzuela;02. Arganzuela;;;;;;;;;;;;;;;;
2017;02. Arganzuela;02. Arganzuela;9.289;43.886;10.994;0;9.087;47.529;17.561;0;686;5.971;212;0;661;6.703;327;0
2017;02. Arganzuela;021. Imperial;1.341;6.672;1.833;0;1.321;7.160;2.874;0;60;596;29;0;71;727;35;0
2017;02. Arganzuela;022. Acacias;1.956;10.554;3.246;0;1.906;11.918;4.766;0;108;1.017;45;0;102;1.078;55;0
2017;02. Arganzuela;023. Chopera;921;5.225;1.589;0;948;5.643;2.903;0;139;1.015;30;0;124;1.190;72;0
2017;02. Arganzuela;024. Legazpi;1.933;6.201;687;0;1.809;6.436;868;0;63;541;21;0;85;581;27;0
2017;02. Arganzuela;025. Delicias;1.865;7.766;1.738;0;1.855;8.462;2.782;0;170;1.156;41;0;144;1.437;57;0
2017;02. Arganzuela;026. Palos de Moguer;1.142;7.109;1.857;0;1.131;7.534;3.299;0;145;1.620;45;0;131;1.653;81;0
2017;02. Arganzuela;027. Atocha;131;359;44;0;117;376;69;0;1;26;1;0;4;37;0;0
2017;03. Retiro;03. Retiro;;;;;;;;;;;;;;;;
2017;03. Retiro;03. Retiro;7.145;31.633;11.557;0;7.076;34.860;18.331;0;396;2.926;206;0;393;4.205;283;0
2017;03. Retiro;031. Pacífico;1.652;9.112;3.039;0;1.772;10.158;5.070;0;133;1.012;52;0;118;1.404;79;0
2017;03. Retiro;032. Adelfas;1.199;5.207;1.488;0;1.190;5.818;2.259;0;53;456;24;0;69;556;26;0
2017;03. Retiro;033. Estrella;1.545;5.988;2.910;0;1.426;6.410;4.100;0;44;279;30;0;30;436;40;0
2017;03. Retiro;034. Ibiza;1.226;5.452;1.826;0;1.233;6.198;3.411;0;92;744;44;0;111;1.070;65;0
