AÑO;DISTRITO;BARRIO;Num actividades
2017;01. Centro;01. Centro;
2017;01. Centro;01. Centro;235
2017;01. Centro;011. Palacio;44
2017;01. Centro;012. Embajadores;61
2017;01. Centro;013. Cortes;25
2017;01. Centro;014. Justicia;28
2017;01. Centro;015. Universidad;69
2017;01. Centro;016. Sol;8
2017;02. Arganzuela;02. Arganzuela;
2017;02. Arganzuela;02. Arganzuela;221
2017;02. Arganzuela;021. Imperial;30
2017;02. Arganzuela;022. Acacias;76
2017;02. Arganzuela;023. Chopera;16
2017;02. Arganzuela;024. Legazpi;25
2017;02. Arganzuela;025. Delicias;32
2017;02. Arganzuela;026. Palos de Moguer;40
2017;02. Arganzuela;027. Atocha;2
2017;03. Retiro;03. Retiro;
2017;03. Retiro;03. Retiro;147
2017;03. Retiro;031. Pacífico;40
2017;03. Retiro;032. Adelfas;20
2017;03. Retiro;033. Estrella;15
2017;03. Retiro;034. Ibiza;15
2017;03. Retiro;035. Los Jerónimos;10
2017;03. Retiro;036. Niño Jesús;47
2017;04. Salamanca;04. Salamanca;
2017;04. Salamanca;04. Salamanca;199
2017;04. Salamanca;041. Recoletos;14
2017;04. Salamanca;042. Goya;40
2017;04. Salamanca;043. Fuente del Berro;35
2017;04. Salamanca;044. Guindalera;73
2017;04. Salamanca;045. Lista;25
2017;04. Salamanca;046. Castellana;12
2017;05. Chamartín;05. Chamartín;
2017;05. Chamartín;05. Chamartín;288
2017;05. Chamartín;051. El Viso;78
2017;05. Chamartín;052. Prosperidad;46
2017;05. Chamartín;053. Ciudad Jardín;41
2017;05. Chamartín;054. Hispanoamérica;51
2017;05. Chamartín;055. Nueva España;49
2017;05. Chamartín;056. Castilla;23
2017;06. Tetuán;06. Tetuán;
2017;06. Tetuán;06. Tetuán;168
2017;06. Tetuán;061. Bellas Vistas;37
2017;06. Tetuán;062. Cuatro Caminos;39
2017;06. Tetuán;063. Castillejos;19
2017;06. Tetuán;064. Almenara;33
2017;06. Tetuán;065. Valdeacederas;20
2017;06. Tetuán;066. Berruguete;20
2017;07. Chamberí;07. Chamberí;
2017;07. Chamberí;07. Chamberí;261
2017;07. Chamberí;071. Gaztambide;43
2017;07. Chamberí;072. Arapiles;47
2017;07. Chamberí;073. Trafalgar;44
2017;07. Chamberí;074. Almagro;36
2017;07. Chamberí;075. Ríos Rosas;42
2017;07. Chamberí;076. Vallehermoso;49
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;325
2017;08. Fuencarral-El Pardo;081. El Pardo;5
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;0
2017;08. Fuencarral-El Pardo;083. Peñagrande;50
2017;08. Fuencarral-El Pardo;084. Pilar;63
2017;08. Fuencarral-El Pardo;085. La Paz;30
2017;08. Fuencarral-El Pardo;086. Valverde;80
2017;08. Fuencarral-El Pardo;087. Mirasierra;29
2017;08. Fuencarral-El Pardo;088. El Goloso;68
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;286
2017;09. Moncloa-Aravaca;091. Casa de Campo;22
2017;09. Moncloa-Aravaca;092. Argüelles;48
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;113
2017;09. Moncloa-Aravaca;094. Valdezarza;33
2017;09. Moncloa-Aravaca;095. Valdemarín;12
2017;09. Moncloa-Aravaca;096. El Plantío;9
2017;09. Moncloa-Aravaca;097. Aravaca;49
2017;10. Latina;10. Latina;
2017;10. Latina;10. Latina;235
2017;10. Latina;101. Los Cármenes;13
2017;10. Latina;102. Puerta del Ángel;52
2017;10. Latina;103. Lucero;36
2017;10. Latina;104. Aluche;72
2017;10. Latina;105. Campamento;17
2017;10. Latina;106. Cuatro Vientos;9
2017;10. Latina;107. Águilas;36
2017;11. Carabanchel;11. Carabanchel;
2017;11. Carabanchel;11. Carabanchel;250
2017;11. Carabanchel;111. Comillas;17
2017;11. Carabanchel;112. Opañel;33
2017;11. Carabanchel;113. San Isidro;29
2017;11. Carabanchel;114. Vista Alegre;58
2017;11. Carabanchel;115. Puerta Bonita;38
2017;11. Carabanchel;116. Buenavista;50
2017;11. Carabanchel;117. Abrantes;25
2017;12. Usera;12. Usera;
2017;12. Usera;12. Usera;134
2017;12. Usera;121. Orcasitas;25
2017;12. Usera;122. Orcasur;20
2017;12. Usera;123. San Fermín;10
2017;12. Usera;124. Almendrales;19
2017;12. Usera;125. Moscardó;25
2017;12. Usera;126. Zofío;12
