AÑO;DISTRITO;BARRIO;Pais origen España;Origen Resto países de Europa;Pais origen América del Norte;Pais origen América Central;Pais origen América del Sur;Pais origen África;Pais origen Asia;Pais origen Oceanía
2017;01. Centro;01. Centro;;;;;;;;
2017;01. Centro;01. Centro;4.660;332;131;25;137;35;62;10
2017;01. Centro;011. Palacio;718;44;22;3;17;6;12;3
2017;01. Centro;012. Embajadores;1.628;106;27;9;45;15;17;2
2017;01. Centro;013. Cortes;392;38;12;4;7;4;7;1
2017;01. Centro;014. Justicia;543;61;25;0;18;5;2;0
2017;01. Centro;015. Universidad;1.098;73;41;3;41;5;20;2
2017;01. Centro;016. Sol;281;10;4;6;9;0;4;2
2017;02. Arganzuela;02. Arganzuela;;;;;;;;
2017;02. Arganzuela;02. Arganzuela;4.003;240;73;36;111;10;28;3
2017;02. Arganzuela;021. Imperial;553;19;7;8;12;1;0;0
2017;02. Arganzuela;022. Acacias;784;58;30;1;16;5;7;0
2017;02. Arganzuela;023. Chopera;607;21;8;4;22;1;5;2
2017;02. Arganzuela;024. Legazpi;478;36;3;2;10;0;1;1
2017;02. Arganzuela;025. Delicias;763;56;8;5;30;2;7;0
2017;02. Arganzuela;026. Palos de Moguer;786;48;17;16;21;1;7;0
2017;02. Arganzuela;027. Atocha;32;2;0;0;0;0;1;0
2017;03. Retiro;03. Retiro;;;;;;;;
2017;03. Retiro;03. Retiro;2.506;186;82;38;74;11;35;14
2017;03. Retiro;031. Pacífico;749;52;13;19;19;0;9;5
2017;03. Retiro;032. Adelfas;418;29;16;2;12;2;4;1
2017;03. Retiro;033. Estrella;355;25;12;5;11;1;12;1
2017;03. Retiro;034. Ibiza;527;36;17;9;19;6;2;5
2017;03. Retiro;035. Los Jerónimos;201;29;6;1;2;2;5;0
2017;03. Retiro;036. Niño Jesús;256;15;18;2;11;0;3;2
2017;04. Salamanca;04. Salamanca;;;;;;;;
2017;04. Salamanca;04. Salamanca;3.396;304;183;53;212;28;57;9
2017;04. Salamanca;041. Recoletos;352;55;32;9;26;5;6;2
2017;04. Salamanca;042. Goya;753;62;33;7;51;7;13;2
2017;04. Salamanca;043. Fuente del Berro;513;41;12;8;23;3;9;0
2017;04. Salamanca;044. Guindalera;905;69;51;14;49;2;9;1
2017;04. Salamanca;045. Lista;504;37;35;10;28;8;12;3
2017;04. Salamanca;046. Castellana;369;40;20;5;35;3;8;1
2017;05. Chamartín;05. Chamartín;;;;;;;;
2017;05. Chamartín;05. Chamartín;3.349;267;113;35;122;17;56;4
2017;05. Chamartín;051. El Viso;346;32;16;1;18;6;9;0
2017;05. Chamartín;052. Prosperidad;930;45;25;9;28;5;2;0
2017;05. Chamartín;053. Ciudad Jardín;490;24;12;16;22;0;6;0
2017;05. Chamartín;054. Hispanoamérica;604;58;28;4;22;2;17;1
2017;05. Chamartín;055. Nueva España;527;72;19;1;17;3;10;3
2017;05. Chamartín;056. Castilla;452;36;13;4;15;1;12;0
2017;06. Tetuán;06. Tetuán;;;;;;;;
2017;06. Tetuán;06. Tetuán;5.020;273;89;70;206;27;42;13
2017;06. Tetuán;061. Bellas Vistas;844;66;22;25;48;3;6;0
2017;06. Tetuán;062. Cuatro Caminos;1.009;69;27;9;28;10;13;4
2017;06. Tetuán;063. Castillejos;663;39;10;5;22;2;6;4
2017;06. Tetuán;064. Almenara;695;24;7;9;24;3;4;2
2017;06. Tetuán;065. Valdeacederas;990;34;12;13;36;4;3;3
2017;06. Tetuán;066. Berruguete;819;41;11;9;48;5;10;0
2017;07. Chamberí;07. Chamberí;;;;;;;;
2017;07. Chamberí;07. Chamberí;3.598;288;133;18;145;8;55;4
2017;07. Chamberí;071. Gaztambide;616;58;22;3;21;1;12;0
2017;07. Chamberí;072. Arapiles;719;44;17;4;25;1;5;2
2017;07. Chamberí;073. Trafalgar;670;47;29;2;24;0;12;0
2017;07. Chamberí;074. Almagro;452;47;20;4;29;3;9;0
2017;07. Chamberí;075. Ríos Rosas;684;47;27;3;33;2;12;0
2017;07. Chamberí;076. Vallehermoso;457;45;18;2;13;1;5;2
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;;;;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;6.286;363;145;51;144;18;68;16
2017;08. Fuencarral-El Pardo;081. El Pardo;129;3;0;0;2;0;1;0
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;46;10;6;1;3;0;1;0
2017;08. Fuencarral-El Pardo;083. Peñagrande;1.040;60;16;4;27;2;6;2
2017;08. Fuencarral-El Pardo;084. Pilar;1.217;48;14;10;45;2;11;0
2017;08. Fuencarral-El Pardo;085. La Paz;642;58;25;8;8;3;15;3
2017;08. Fuencarral-El Pardo;086. Valverde;2.105;93;43;25;38;8;12;4
2017;08. Fuencarral-El Pardo;087. Mirasierra;535;61;29;3;14;2;13;7
2017;08. Fuencarral-El Pardo;088. El Goloso;572;30;12;0;7;1;9;0
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;;;;;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;3.210;210;104;27;90;18;50;20
2017;09. Moncloa-Aravaca;091. Casa de Campo;297;11;8;5;5;0;4;4
2017;09. Moncloa-Aravaca;092. Argüelles;753;49;23;4;16;4;16;6
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;351;35;22;3;11;5;9;4
2017;09. Moncloa-Aravaca;094. Valdezarza;667;30;16;13;25;4;7;1
2017;09. Moncloa-Aravaca;095. Valdemarín;194;14;5;0;4;1;2;1
2017;09. Moncloa-Aravaca;096. El Plantío;74;7;3;1;1;0;0;0
2017;09. Moncloa-Aravaca;097. Aravaca;874;64;27;1;28;4;12;4
2017;10. Latina;10. Latina;;;;;;;;
2017;10. Latina;10. Latina;6.561;253;62;45;230;13;32;5
2017;10. Latina;101. Los Cármenes;488;15;10;3;7;0;3;0
2017;10. Latina;102. Puerta del Ángel;1.236;53;16;8;56;4;8;1
2017;10. Latina;103. Lucero;916;31;9;6;39;4;7;0
2017;10. Latina;104. Aluche;1.746;82;19;14;65;0;10;1
2017;10. Latina;105. Campamento;664;34;3;7;17;0;2;2
2017;10. Latina;106. Cuatro Vientos;211;2;0;1;6;0;0;0
2017;10. Latina;107. Águilas;1.300;36;5;6;40;5;2;1
2017;11. Carabanchel;11. Carabanchel;;;;;;;;
2017;11. Carabanchel;11. Carabanchel;7.686;273;79;61;298;19;18;1
2017;11. Carabanchel;111. Comillas;771;28;6;7;18;0;4;0
2017;11. Carabanchel;112. Opañel;938;34;10;7;52;4;3;0
2017;11. Carabanchel;113. San Isidro;1.173;43;23;10;57;6;3;0
2017;11. Carabanchel;114. Vista Alegre;1.340;48;8;13;63;4;6;0
2017;11. Carabanchel;115. Puerta Bonita;1.114;45;6;11;48;4;2;0
2017;11. Carabanchel;116. Buenavista;1.435;54;23;6;24;0;0;1
2017;11. Carabanchel;117. Abrantes;915;21;3;7;36;1;0;0
2017;12. Usera;12. Usera;;;;;;;;
2017;12. Usera;12. Usera;4.391;118;41;37;153;16;17;3
2017;12. Usera;121. Orcasitas;517;14;1;3;7;0;0;0
2017;12. Usera;122. Orcasur;426;16;7;2;16;0;2;0
2017;12. Usera;123. San Fermín;615;10;4;2;13;6;2;0
2017;12. Usera;124. Almendrales;765;17;12;14;25;2;6;2
2017;12. Usera;125. Moscardó;905;34;7;9;46;1;6;0
2017;12. Usera;126. Zofío;426;11;7;1;17;3;1;1
2017;12. Usera;127. Pradolongo;737;16;3;6;29;4;0;0
2017;13. Puente de Vallecas;13. Puente de Vallecas;;;;;;;;
2017;13. Puente de Vallecas;13. Puente de Vallecas;6.904;235;59;86;242;29;21;1
2017;13. Puente de Vallecas;131. Entrevías;879;17;4;6;33;3;3;1
2017;13. Puente de Vallecas;132. San Diego;1.679;62;24;31;68;12;5;0
2017;13. Puente de Vallecas;133. Palomeras Bajas;987;41;12;9;27;1;3;0
2017;13. Puente de Vallecas;134. Palomeras Sureste;1.177;40;9;12;33;4;4;0
2017;13. Puente de Vallecas;135. Portazgo;806;18;2;7;21;0;1;0
2017;13. Puente de Vallecas;136. Numancia;1.376;57;8;21;60;9;5;0
2017;14. Moratalaz;14. Moratalaz;;;;;;;;
2017;14. Moratalaz;14. Moratalaz;2.019;77;19;20;70;4;7;0
2017;14. Moratalaz;141. Pavones;219;5;1;1;6;1;1;0
2017;14. Moratalaz;142. Horcajo;114;6;0;0;3;0;0;0
