AÑO;DISTRITO;BARRIO;Actividades de creación, artísticas y espectáculos;Actividades de bibliotecas, archivos, museos y otras actividades culturales;Actividades de juegos de azar y apuestas;Actividades deportivas, recreativas y de entretenimiento
2017;01. Centro;01. Centro;;;;
2017;01. Centro;01. Centro;84;38;73;127
2017;01. Centro;011. Palacio;10;5;5;30
2017;01. Centro;012. Embajadores;21;7;20;14
2017;01. Centro;013. Cortes;10;10;8;19
2017;01. Centro;014. Justicia;8;8;13;19
2017;01. Centro;015. Universidad;28;4;10;28
2017;01. Centro;016. Sol;7;4;17;17
2017;02. Arganzuela;02. Arganzuela;;;;
2017;02. Arganzuela;02. Arganzuela;22;10;44;68
2017;02. Arganzuela;021. Imperial;3;1;5;15
2017;02. Arganzuela;022. Acacias;5;2;8;22
2017;02. Arganzuela;023. Chopera;7;3;6;7
2017;02. Arganzuela;024. Legazpi;0;1;1;8
2017;02. Arganzuela;025. Delicias;2;2;7;5
2017;02. Arganzuela;026. Palos de Moguer;5;1;14;10
2017;02. Arganzuela;027. Atocha;0;0;3;1
2017;03. Retiro;03. Retiro;;;;
2017;03. Retiro;03. Retiro;3;11;22;45
2017;03. Retiro;031. Pacífico;1;0;7;16
2017;03. Retiro;032. Adelfas;0;1;3;7
2017;03. Retiro;033. Estrella;0;0;2;7
2017;03. Retiro;034. Ibiza;0;0;6;5
2017;03. Retiro;035. Los Jerónimos;1;10;1;4
2017;03. Retiro;036. Niño Jesús;1;0;3;6
2017;04. Salamanca;04. Salamanca;;;;
2017;04. Salamanca;04. Salamanca;20;10;43;98
2017;04. Salamanca;041. Recoletos;2;3;3;14
2017;04. Salamanca;042. Goya;1;2;17;16
2017;04. Salamanca;043. Fuente del Berro;4;1;5;16
2017;04. Salamanca;044. Guindalera;11;2;7;22
2017;04. Salamanca;045. Lista;2;0;6;14
2017;04. Salamanca;046. Castellana;0;2;5;16
2017;05. Chamartín;05. Chamartín;;;;
2017;05. Chamartín;05. Chamartín;12;8;37;94
2017;05. Chamartín;051. El Viso;0;2;3;20
2017;05. Chamartín;052. Prosperidad;2;0;8;10
2017;05. Chamartín;053. Ciudad Jardín;7;3;6;12
2017;05. Chamartín;054. Hispanoamérica;1;1;9;29
2017;05. Chamartín;055. Nueva España;2;0;5;12
2017;05. Chamartín;056. Castilla;0;2;6;11
2017;06. Tetuán;06. Tetuán;;;;
2017;06. Tetuán;06. Tetuán;12;6;66;88
2017;06. Tetuán;061. Bellas Vistas;4;2;15;6
2017;06. Tetuán;062. Cuatro Caminos;4;2;17;38
2017;06. Tetuán;063. Castillejos;1;0;15;18
2017;06. Tetuán;064. Almenara;0;1;5;9
2017;06. Tetuán;065. Valdeacederas;0;0;9;8
2017;06. Tetuán;066. Berruguete;3;1;5;9
2017;07. Chamberí;07. Chamberí;;;;
2017;07. Chamberí;07. Chamberí;18;9;47;73
2017;07. Chamberí;071. Gaztambide;2;1;10;16
2017;07. Chamberí;072. Arapiles;5;1;12;9
2017;07. Chamberí;073. Trafalgar;7;1;10;18
2017;07. Chamberí;074. Almagro;3;1;5;9
2017;07. Chamberí;075. Ríos Rosas;0;5;4;11
2017;07. Chamberí;076. Vallehermoso;1;0;6;10
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;9;16;37;108
2017;08. Fuencarral-El Pardo;081. El Pardo;1;4;1;9
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;0;0;0;3
2017;08. Fuencarral-El Pardo;083. Peñagrande;2;1;5;12
2017;08. Fuencarral-El Pardo;084. Pilar;4;3;14;14
2017;08. Fuencarral-El Pardo;085. La Paz;0;2;4;9
2017;08. Fuencarral-El Pardo;086. Valverde;2;1;10;31
2017;08. Fuencarral-El Pardo;087. Mirasierra;0;0;2;13
2017;08. Fuencarral-El Pardo;088. El Goloso;0;5;1;17
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;4;16;23;95
2017;09. Moncloa-Aravaca;091. Casa de Campo;4;4;2;16
2017;09. Moncloa-Aravaca;092. Argüelles;0;4;9;16
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;0;5;1;38
2017;09. Moncloa-Aravaca;094. Valdezarza;0;2;6;8
2017;09. Moncloa-Aravaca;095. Valdemarín;0;0;0;2
2017;09. Moncloa-Aravaca;096. El Plantío;0;0;1;2
2017;09. Moncloa-Aravaca;097. Aravaca;0;1;4;13
2017;10. Latina;10. Latina;;;;
2017;10. Latina;10. Latina;18;16;54;74
2017;10. Latina;101. Los Cármenes;4;0;3;12
2017;10. Latina;102. Puerta del Ángel;5;1;14;10
2017;10. Latina;103. Lucero;3;4;7;11
2017;10. Latina;104. Aluche;4;4;20;21
2017;10. Latina;105. Campamento;0;1;4;3
2017;10. Latina;106. Cuatro Vientos;0;2;0;1
2017;10. Latina;107. Águilas;2;4;6;16
2017;11. Carabanchel;11. Carabanchel;;;;
2017;11. Carabanchel;11. Carabanchel;18;14;77;86
2017;11. Carabanchel;111. Comillas;6;0;7;11
2017;11. Carabanchel;112. Opañel;1;4;12;10
2017;11. Carabanchel;113. San Isidro;1;1;11;15
2017;11. Carabanchel;114. Vista Alegre;4;1;22;20
2017;11. Carabanchel;115. Puerta Bonita;2;4;9;7
2017;11. Carabanchel;116. Buenavista;3;3;8;17
2017;11. Carabanchel;117. Abrantes;1;1;8;6
2017;12. Usera;12. Usera;;;;
2017;12. Usera;12. Usera;1;9;45;37
2017;12. Usera;121. Orcasitas;0;2;5;6
2017;12. Usera;122. Orcasur;0;1;2;2
2017;12. Usera;123. San Fermín;0;1;5;5
2017;12. Usera;124. Almendrales;1;1;8;8
2017;12. Usera;125. Moscardó;0;2;11;9
2017;12. Usera;126. Zofío;0;0;3;5
2017;12. Usera;127. Pradolongo;0;2;11;2
2017;13. Puente de Vallecas;13. Puente de Vallecas;;;;
2017;13. Puente de Vallecas;13. Puente de Vallecas;2;9;66;71
2017;13. Puente de Vallecas;131. Entrevías;0;3;5;12
2017;13. Puente de Vallecas;132. San Diego;0;1;19;18
2017;13. Puente de Vallecas;133. Palomeras Bajas;1;1;6;15
2017;13. Puente de Vallecas;134. Palomeras Sureste;1;2;6;6
2017;13. Puente de Vallecas;135. Portazgo;0;0;12;6
2017;13. Puente de Vallecas;136. Numancia;0;2;18;14
2017;14. Moratalaz;14. Moratalaz;;;;
2017;14. Moratalaz;14. Moratalaz;2;4;19;34
2017;14. Moratalaz;141. Pavones;0;0;1;5
2017;14. Moratalaz;142. Horcajo;0;0;1;0
2017;14. Moratalaz;143. Marroquina;1;0;9;13
2017;14. Moratalaz;144. Media Legua;1;2;4;12
2017;14. Moratalaz;145. Fontarrón;0;1;2;4
2017;14. Moratalaz;146. Vinateros;0;1;2;0
2017;15. Ciudad Lineal;15. Ciudad Lineal;;;;
2017;15. Ciudad Lineal;15. Ciudad Lineal;12;8;58;102
2017;15. Ciudad Lineal;151. Ventas;3;4;11;16
2017;15. Ciudad Lineal;152. Pueblo Nuevo;1;2;14;29
2017;15. Ciudad Lineal;153. Quintana;1;0;14;11
2017;15. Ciudad Lineal;154. Concepción;4;0;7;18
2017;15. Ciudad Lineal;155. San Pascual;2;0;3;6
2017;15. Ciudad Lineal;156. San Juan Bautista;0;2;4;5
2017;15. Ciudad Lineal;157. Colina;1;0;1;5
2017;15. Ciudad Lineal;158. Atalaya;0;0;1;2
2017;15. Ciudad Lineal;159. Costillares;0;0;3;10
2017;16. Hortaleza;16. Hortaleza;;;;
2017;16. Hortaleza;16. Hortaleza;6;8;25;83
2017;16. Hortaleza;161. Palomas;0;0;0;6
2017;16. Hortaleza;162. Piovera;0;0;0;13
2017;16. Hortaleza;163. Canillas;1;2;8;28
2017;16. Hortaleza;164. Pinar del Rey;3;4;16;17
2017;16. Hortaleza;165. Apóstol Santiago;0;1;1;4
2017;16. Hortaleza;166. Valdefuentes;2;1;0;15
2017;17. Villaverde;17. Villaverde;;;;
2017;17. Villaverde;17. Villaverde;3;11;32;54
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;2;5;12;26
2017;17. Villaverde;172. San Cristóbal;0;2;4;4
2017;17. Villaverde;173. Butarque;0;1;2;3
2017;17. Villaverde;174. Los Rosales;1;3;10;13
2017;17. Villaverde;175. Ángeles;0;0;4;8
2017;18. Villa de Vallecas;18. Villa de Vallecas;;;;
2017;18. Villa de Vallecas;18. Villa de Vallecas;2;9;18;42
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;2;3;10;21
2017;18. Villa de Vallecas;182. Santa Eugenia;0;6;4;10
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;0;0;4;11
2017;19. Vicálvaro;19. Vicálvaro;;;;
2017;19. Vicálvaro;19. Vicálvaro;0;7;15;22
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;0;4;9;15
2017;19. Vicálvaro;192. Valdebernardo;0;3;6;7
2017;19. Vicálvaro;193. Valderribas;0;0;0;0
2017;19. Vicálvaro;194. El Cañaveral;0;0;0;0
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;2;10;32;69
2017;20. San Blas-Canillejas;201. Simancas;1;0;7;15
2017;20. San Blas-Canillejas;202. Hellín;0;0;0;1
2017;20. San Blas-Canillejas;203. Amposta;0;1;3;1
2017;20. San Blas-Canillejas;204. Arcos;0;1;3;4
2017;20. San Blas-Canillejas;205. Rosas;0;1;6;13
2017;20. San Blas-Canillejas;206. Rejas;0;2;4;16
2017;20. San Blas-Canillejas;207. Canillejas;1;5;8;11
2017;20. San Blas-Canillejas;208. El Salvador;0;0;1;8
2017;21. Barajas;21. Barajas;;;;
2017;21. Barajas;21. Barajas;2;4;6;28
2017;21. Barajas;211. Alameda de Osuna;2;2;1;10
2017;21. Barajas;212. Aeropuerto;0;0;0;3
2017;21. Barajas;213. Casco Histórico de Barajas;0;0;3;4
2017;21. Barajas;214. Timón;0;0;1;6
2017;21. Barajas;215. Corralejos;0;2;1;5
2018;01. Centro;01. Centro;;;;
2018;01. Centro;01. Centro;85;37;75;126
2018;01. Centro;011. Palacio;10;4;5;28
2018;01. Centro;012. Embajadores;21;7;20;14
2018;01. Centro;013. Cortes;10;10;8;19
2018;01. Centro;014. Justicia;8;8;14;18
2018;01. Centro;015. Universidad;29;4;10;28
2018;01. Centro;016. Sol;7;4;18;19
2018;02. Arganzuela;02. Arganzuela;;;;
2018;02. Arganzuela;02. Arganzuela;22;10;47;68
2018;02. Arganzuela;021. Imperial;2;1;7;14
2018;02. Arganzuela;022. Acacias;6;2;8;22
2018;02. Arganzuela;023. Chopera;7;3;6;7
2018;02. Arganzuela;024. Legazpi;0;1;1;9
2018;02. Arganzuela;025. Delicias;2;2;7;5
2018;02. Arganzuela;026. Palos de Moguer;5;1;15;10
2018;02. Arganzuela;027. Atocha;0;0;3;1
2018;03. Retiro;03. Retiro;;;;
2018;03. Retiro;03. Retiro;2;11;23;48
2018;03. Retiro;031. Pacífico;1;0;7;17
2018;03. Retiro;032. Adelfas;0;1;3;7
2018;03. Retiro;033. Estrella;0;0;2;6
2018;03. Retiro;034. Ibiza;0;0;6;5
2018;03. Retiro;035. Los Jerónimos;1;10;1;6
2018;03. Retiro;036. Niño Jesús;0;0;4;7
2018;04. Salamanca;04. Salamanca;;;;
2018;04. Salamanca;04. Salamanca;21;10;43;100
2018;04. Salamanca;041. Recoletos;2;3;3;15
2018;04. Salamanca;042. Goya;2;2;17;16
2018;04. Salamanca;043. Fuente del Berro;4;1;4;15
2018;04. Salamanca;044. Guindalera;11;2;8;24
2018;04. Salamanca;045. Lista;2;0;6;13
2018;04. Salamanca;046. Castellana;0;2;5;17
2018;05. Chamartín;05. Chamartín;;;;
