AÑO;DISTRITO;   Esperanza de vida Menos de 1 año;   Esperanza de vida  1 a 4 años;    Esperanza de vida 5 a 9 años;    Esperanza de vida 10 a 14 años;     Esperanza de vida 15 a 19 años;    Esperanza de vida 20 a 24 años;     Esperanza de vida 25 a 29 años;    Esperanza de vida 30 a 34 años;   Esperanza de vida  35 a 39 años;    Esperanza de vida 40 a 44 años;     Esperanza de vida 45 a 49 años;  Esperanza de vida   50 a 54 años;     Esperanza de vida 55 a 59 años;Esperanza de vida     60 a 64 años;    Esperanza de vida 65 a 69 años;    Esperanza de vida 70 a 74 años;  Esperanza de vida   75 a 79 años;     Esperanza de vida 80 a 84 años;  Esperanza de vida   85 a 89 años;    Esperanza de vida 90 a 94 años;   Esperanza de vida  95 y más años
2019;Ciudad de Madrid;84,8;84;80;75;70,1;65,1;60,2;55,2;50,3;45,4;40,6;35,9;31,3;26,8;22,6;18,5;14,6;10,9;7,7;5,1;3,2
2019;01. Centro;83,7;83;79;74;69,1;64,1;59,1;54,1;49,2;44,3;39,5;34,7;30,2;25,9;21,9;17,9;14,2;10,7;7,6;5;3,2
2019;02. Arganzuela;84,8;83,9;79,9;74,9;70;65;60,1;55,2;50,3;45,4;40,5;35,8;31,2;26,8;22,4;18,2;14,4;10,5;7,4;5,2;3,2
2019;03. Retiro;85,8;84,9;80,9;76,1;71,1;66,1;61,2;56,2;51,2;46,2;41,3;36,7;32;27,4;22,9;18,6;14,7;11;7,6;5;3
2019;04. Salamanca;85,4;84,4;80,4;75,4;70,4;65,6;60,6;55,6;50,7;45,8;41;36,2;31,5;27;22,7;18,5;14,7;11,1;8;5,3;3,3
2019;05. Chamartín;85,5;84,8;80,8;75,8;70,8;65,9;60,9;55,9;50,9;46,1;41,2;36,4;31,8;27,4;23;18,7;14,6;10,8;7,7;5,1;3,1
2019;06. Tetuán;84,2;83,3;79,4;74,4;69,5;64,5;59,7;54,7;49,9;45;40,1;35,3;30,7;26,4;22,1;18,3;14,3;10,7;7,5;5;3
2019;07. Chamberí;85,2;84,3;80,3;75,3;70,3;65,4;60,5;55,5;50,5;45,7;40,8;36;31,4;26,9;22,6;18,7;14,8;11,2;8,2;5,5;3,4
2019;08. Fuencarral-El Pardo;85,1;84,3;80,4;75,4;70,4;65,4;60,5;55,6;50,6;45,7;40,9;36,2;31,6;27,1;22,8;18,7;14,6;10,9;7,7;5,1;3,2
2019;09. Moncloa-Aravaca;84,7;84;80,2;75,2;70,2;65,4;60,4;55,4;50,5;45,6;40,8;36,2;31,5;27,1;22,7;18,7;14,5;10,7;7,6;4,9;2,9
2019;10. Latina;84,6;83,8;79,9;74,9;70;65,2;60,2;55,3;50,4;45,6;40,7;36;31,4;27;22,9;18,9;15;11,3;8;5,3;3,1
2019;11. Carabanchel;85;84,1;80,1;75,1;70,2;65,3;60,3;55,3;50,4;45,5;40,7;35,9;31,2;26,8;22,4;18,2;14,4;10,7;7,6;4,9;3,2
2019;12. Usera;84,1;83,2;79,2;74,3;69,3;64,3;59,3;54,5;49,6;44,7;39,9;35,2;30,6;26,3;22,1;18,2;14,4;10,9;7,6;5,1;3,2
2019;13. Puente de Vallecas;83,3;82,6;78,8;73,9;68,9;64;59,1;54,1;49,2;44,4;39,7;34,9;30,4;26,1;21,9;18,1;14,3;10,8;7,7;5,1;3,2
2019;14. Moratalaz;85,5;84,7;80,7;75,7;70,7;66;61;56;51,1;46,2;41,5;36,8;32,2;27,6;23,4;19,3;15,2;11,4;8,1;5,5;3,6
2019;15. Ciudad Lineal;85,2;84,2;80,2;75,2;70,3;65,3;60,4;55,6;50,7;45,7;40,9;36,1;31,5;27,1;22,9;18,7;14,8;11,1;7,8;5,3;3,4
2019;16. Hortaleza;85,1;84,1;80,1;75,1;70,1;65,1;60,2;55,3;50,4;45,5;40,7;35,9;31,2;26,7;22,4;18,3;14,2;10,5;7,1;4,7;3,4
2019;17. Villaverde;84,8;84,1;80,2;75,2;70,2;65,2;60,2;55,3;50,4;45,5;40,6;36;31,4;27;22,7;18,6;14,6;10,9;7,7;5,3;3,1
2019;18. Villa de Vallecas;84,1;83,2;79,2;74,2;69,2;64,3;59,4;54,4;49,5;44,6;39,7;34,9;30,2;25,7;21,3;17,6;13,7;10;6,8;4,1;3
2019;19. Vicálvaro;84,2;83,2;79,2;74,3;69,4;64,5;59,8;54,8;50,1;45,1;40,3;35,6;31;26,6;22,4;18,2;14,4;10,8;7,4;4,6;2,9
2019;20. San Blas-Canillejas;84,1;83,2;79,2;74,3;69,3;64,3;59,4;54,5;49,5;44,6;39,8;35;30,4;26,1;21,9;17,9;14,2;10,5;7,7;5,1;3
2019;21. Barajas;86,5;85,5;81,5;76,5;71,5;66,5;61,5;56,5;51,6;46,7;41,8;36,8;32,3;27,7;23,3;19,1;14,9;10,7;7,4;4,9;3
2020;Ciudad de Madrid;85,2;84,3;80,4;75,4;70,4;65,5;60,6;55,6;50,7;45,8;41;36,2;31,6;27,2;22,9;18,8;14,8;11,1;7,9;5,3;3,3
2020;01. Centro;84,5;83,6;79,6;74,6;69,6;64,6;59,7;54,8;49,8;45;40,2;35,4;30,8;26,4;22,5;18,5;14,6;10,9;8;5,3;3,3
