AÑO;DISTRITO;BARRIO;Densidad (Habitantes/Ha.);Edad promedio;Edad mediana;Proporción de juventud;Proporción de envejecimiento;Proporción de sobreenvejecimiento;Índice de envejecimiento;Índice de juventud;Índice de dependencia;Índice de estructura de la población activa;Índice de Reemplazo de la población activa;Razón de progresividad demográfica;Proporción de extranjeros;Proporción de nacidos fuera de España;Proporción de inmigrantes extranjeros
2017;01. Centro;01. Centro;;;;;;;;;;;;;;;
2017;01. Centro;01. Centro;253,15;44,09;42,16;8,48;16,25;35,52;191,60;52,19;32,87;97,76;36,16;113,65;22,01;30,77;12,05
2017;01. Centro;011. Palacio;153,17;45,69;44,47;8,63;18,92;34,05;219,31;45,60;38,01;82,93;32,56;111,39;17,12;24,59;7,72
2017;01. Centro;012. Embajadores;431,74;42,93;40,86;9,05;14,38;37,08;158,85;62,95;30,61;104,48;40,20;107,16;25,26;33,85;16,36
2017;01. Centro;013. Cortes;177,93;45,14;43,60;7,26;16,87;34,10;232,29;43,05;31,82;89,09;29,34;145,27;21,96;30,76;9,27
2017;01. Centro;014. Justicia;224,20;44,18;42,46;8,66;16,40;35,84;189,28;52,83;33,44;96,12;41,32;122,04;20,57;29,37;9,69
2017;01. Centro;015. Universidad;325,91;44,06;41,79;8,21;16,52;35,99;201,10;49,73;32,86;103,49;36,18;112,17;20,96;30,42;11,23
2017;01. Centro;016. Sol;161,71;44,73;42,76;7,03;17,16;31,88;244,27;40,94;31,91;98,36;26,70;121,85;25,07;35,72;11,79
2017;02. Arganzuela;02. Arganzuela;;;;;;;;;;;;;;;
2017;02. Arganzuela;02. Arganzuela;236,62;44,35;44,11;12,90;19,03;34,64;147,51;67,79;46,90;79,42;48,44;110,06;9,52;16,13;6,28
2017;02. Arganzuela;021. Imperial;234,78;45,79;46,24;12,29;21;35,55;170,82;58,54;49,91;71,61;46,53;101,41;6,68;11,42;3,68
2017;02. Arganzuela;022. Acacias;342,37;46,12;46,70;11,08;22,07;30,95;199,21;50,20;49,59;79,94;42,95;109,01;6,54;11,07;3,80
2017;02. Arganzuela;023. Chopera;348,70;46,54;45,47;10,77;23,20;39,42;215,48;46,41;51,45;85,96;40,26;137,73;12,98;22,95;10,04
2017;02. Arganzuela;024. Legazpi;136,11;37,83;39,87;20,21;8,33;26,76;41,21;242,67;39,92;72,55;81,51;106,67;6,85;11,75;3,97
