AÑO;DISTRITO;BARRIO;Precio Vivienda
2017;01. Centro;01. Centro;
2017;01. Centro;01. Centro;4.599
2017;01. Centro;011. Palacio;4.474
2017;01. Centro;012. Embajadores;4.017
2017;01. Centro;013. Cortes;4.842
2017;01. Centro;014. Justicia;5.252
2017;01. Centro;015. Universidad;4.639
2017;01. Centro;016. Sol;5.027
2017;02. Arganzuela;02. Arganzuela;
2017;02. Arganzuela;02. Arganzuela;3.529
2017;02. Arganzuela;021. Imperial;3.382
2017;02. Arganzuela;022. Acacias;3.724
2017;02. Arganzuela;023. Chopera;3.340
2017;02. Arganzuela;024. Legazpi;-
2017;02. Arganzuela;025. Delicias;3.566
2017;02. Arganzuela;026. Palos de Moguer;3.565
2017;02. Arganzuela;027. Atocha;-
2017;03. Retiro;03. Retiro;
2017;03. Retiro;03. Retiro;4.353
2017;03. Retiro;031. Pacífico;3.555
2017;03. Retiro;032. Adelfas;3.621
2017;03. Retiro;033. Estrella;3.662
2017;03. Retiro;034. Ibiza;4.884
2017;03. Retiro;035. Los Jerónimos;6.106
2017;03. Retiro;036. Niño Jesús;3.983
2017;04. Salamanca;04. Salamanca;
2017;04. Salamanca;04. Salamanca;5.479
2017;04. Salamanca;041. Recoletos;7.054
2017;04. Salamanca;042. Goya;5.385
2017;04. Salamanca;043. Fuente del Berro;3.793
2017;04. Salamanca;044. Guindalera;3.640
2017;04. Salamanca;045. Lista;4.835
2017;04. Salamanca;046. Castellana;6.448
2017;05. Chamartín;05. Chamartín;
2017;05. Chamartín;05. Chamartín;4.564
2017;05. Chamartín;051. El Viso;5.241
2017;05. Chamartín;052. Prosperidad;3.730
2017;05. Chamartín;053. Ciudad Jardín;3.924
2017;05. Chamartín;054. Hispanoamérica;4.473
2017;05. Chamartín;055. Nueva España;4.929
2017;05. Chamartín;056. Castilla;3.590
2017;06. Tetuán;06. Tetuán;
2017;06. Tetuán;06. Tetuán;3.151
2017;06. Tetuán;061. Bellas Vistas;2.753
2017;06. Tetuán;062. Cuatro Caminos;3.841
2017;06. Tetuán;063. Castillejos;3.745
2017;06. Tetuán;064. Almenara;2.729
