AÑO;DISTRITO;BARRIO;Servicios de alojamiento;Servicios de comidas y bebidas
2017;01. Centro;01. Centro;;
2017;01. Centro;01. Centro;194;2.984
2017;01. Centro;011. Palacio;28;569
2017;01. Centro;012. Embajadores;24;488
2017;01. Centro;013. Cortes;44;397
2017;01. Centro;014. Justicia;24;496
2017;01. Centro;015. Universidad;33;611
2017;01. Centro;016. Sol;41;423
2017;02. Arganzuela;02. Arganzuela;;
2017;02. Arganzuela;02. Arganzuela;12;833
2017;02. Arganzuela;021. Imperial;4;107
2017;02. Arganzuela;022. Acacias;1;167
2017;02. Arganzuela;023. Chopera;1;101
2017;02. Arganzuela;024. Legazpi;0;86
2017;02. Arganzuela;025. Delicias;1;132
2017;02. Arganzuela;026. Palos de Moguer;5;203
2017;02. Arganzuela;027. Atocha;0;37
2017;03. Retiro;03. Retiro;;
2017;03. Retiro;03. Retiro;13;630
2017;03. Retiro;031. Pacífico;0;163
2017;03. Retiro;032. Adelfas;3;59
2017;03. Retiro;033. Estrella;1;50
2017;03. Retiro;034. Ibiza;0;189
2017;03. Retiro;035. Los Jerónimos;8;86
2017;03. Retiro;036. Niño Jesús;1;83
2017;04. Salamanca;04. Salamanca;;
2017;04. Salamanca;04. Salamanca;48;1.284
2017;04. Salamanca;041. Recoletos;16;253
2017;04. Salamanca;042. Goya;4;307
2017;04. Salamanca;043. Fuente del Berro;1;116
2017;04. Salamanca;044. Guindalera;9;204
2017;04. Salamanca;045. Lista;6;196
2017;04. Salamanca;046. Castellana;12;208
2017;05. Chamartín;05. Chamartín;;
2017;05. Chamartín;05. Chamartín;30;1.034
2017;05. Chamartín;051. El Viso;4;162
2017;05. Chamartín;052. Prosperidad;4;215
2017;05. Chamartín;053. Ciudad Jardín;3;158
2017;05. Chamartín;054. Hispanoamérica;6;244
2017;05. Chamartín;055. Nueva España;6;159
2017;05. Chamartín;056. Castilla;7;96
2017;06. Tetuán;06. Tetuán;;
2017;06. Tetuán;06. Tetuán;38;1.027
2017;06. Tetuán;061. Bellas Vistas;6;134
2017;06. Tetuán;062. Cuatro Caminos;14;356
2017;06. Tetuán;063. Castillejos;13;227
2017;06. Tetuán;064. Almenara;3;110
2017;06. Tetuán;065. Valdeacederas;1;92
2017;06. Tetuán;066. Berruguete;1;108
2017;07. Chamberí;07. Chamberí;;
2017;07. Chamberí;07. Chamberí;50;1.360
2017;07. Chamberí;071. Gaztambide;5;243
2017;07. Chamberí;072. Arapiles;5;197
2017;07. Chamberí;073. Trafalgar;11;287
2017;07. Chamberí;074. Almagro;6;230
2017;07. Chamberí;075. Ríos Rosas;8;262
2017;07. Chamberí;076. Vallehermoso;15;141
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;16;963
2017;08. Fuencarral-El Pardo;081. El Pardo;0;41
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;1;2
2017;08. Fuencarral-El Pardo;083. Peñagrande;0;123
2017;08. Fuencarral-El Pardo;084. Pilar;0;237
2017;08. Fuencarral-El Pardo;085. La Paz;2;101
2017;08. Fuencarral-El Pardo;086. Valverde;8;290
2017;08. Fuencarral-El Pardo;087. Mirasierra;2;67
2017;08. Fuencarral-El Pardo;088. El Goloso;3;102
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;63;819
2017;09. Moncloa-Aravaca;091. Casa de Campo;4;144
2017;09. Moncloa-Aravaca;092. Argüelles;18;243
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;31;175
2017;09. Moncloa-Aravaca;094. Valdezarza;0;84
2017;09. Moncloa-Aravaca;095. Valdemarín;6;43
2017;09. Moncloa-Aravaca;096. El Plantío;2;41
2017;09. Moncloa-Aravaca;097. Aravaca;2;89
2017;10. Latina;10. Latina;;
2017;10. Latina;10. Latina;4;933
2017;10. Latina;101. Los Cármenes;0;59
2017;10. Latina;102. Puerta del Ángel;3;197
2017;10. Latina;103. Lucero;0;138
2017;10. Latina;104. Aluche;1;298
2017;10. Latina;105. Campamento;0;57
2017;10. Latina;106. Cuatro Vientos;0;13
2017;10. Latina;107. Águilas;0;171
2017;11. Carabanchel;11. Carabanchel;;
2017;11. Carabanchel;11. Carabanchel;10;1.131
2017;11. Carabanchel;111. Comillas;2;108
2017;11. Carabanchel;112. Opañel;0;162
2017;11. Carabanchel;113. San Isidro;1;150
2017;11. Carabanchel;114. Vista Alegre;4;296
2017;11. Carabanchel;115. Puerta Bonita;2;114
2017;11. Carabanchel;116. Buenavista;0;191
2017;11. Carabanchel;117. Abrantes;1;110
2017;12. Usera;12. Usera;;
2017;12. Usera;12. Usera;5;626
2017;12. Usera;121. Orcasitas;0;63
2017;12. Usera;122. Orcasur;0;42
2017;12. Usera;123. San Fermín;1;73
2017;12. Usera;124. Almendrales;1;115
2017;12. Usera;125. Moscardó;2;161
2017;12. Usera;126. Zofío;0;53
2017;12. Usera;127. Pradolongo;1;119
2017;13. Puente de Vallecas;13. Puente de Vallecas;;
2017;13. Puente de Vallecas;13. Puente de Vallecas;2;971
2017;13. Puente de Vallecas;131. Entrevías;0;156
2017;13. Puente de Vallecas;132. San Diego;1;223
2017;13. Puente de Vallecas;133. Palomeras Bajas;1;119
2017;13. Puente de Vallecas;134. Palomeras Sureste;0;140
2017;13. Puente de Vallecas;135. Portazgo;0;128
2017;13. Puente de Vallecas;136. Numancia;0;205
2017;14. Moratalaz;14. Moratalaz;;
2017;14. Moratalaz;14. Moratalaz;0;289
2017;14. Moratalaz;141. Pavones;0;30
2017;14. Moratalaz;142. Horcajo;0;13
2017;14. Moratalaz;143. Marroquina;0;116
2017;14. Moratalaz;144. Media Legua;0;53
2017;14. Moratalaz;145. Fontarrón;0;42
2017;14. Moratalaz;146. Vinateros;0;35
2017;15. Ciudad Lineal;15. Ciudad Lineal;;
2017;15. Ciudad Lineal;15. Ciudad Lineal;17;1.041
2017;15. Ciudad Lineal;151. Ventas;0;195
2017;15. Ciudad Lineal;152. Pueblo Nuevo;1;276
2017;15. Ciudad Lineal;153. Quintana;2;157
2017;15. Ciudad Lineal;154. Concepción;3;142
2017;15. Ciudad Lineal;155. San Pascual;2;92
2017;15. Ciudad Lineal;156. San Juan Bautista;1;72
2017;15. Ciudad Lineal;157. Colina;3;31
2017;15. Ciudad Lineal;158. Atalaya;1;4
2017;15. Ciudad Lineal;159. Costillares;4;72
2017;16. Hortaleza;16. Hortaleza;;
2017;16. Hortaleza;16. Hortaleza;13;675
2017;16. Hortaleza;161. Palomas;2;30
2017;16. Hortaleza;162. Piovera;2;60
2017;16. Hortaleza;163. Canillas;2;198
2017;16. Hortaleza;164. Pinar del Rey;4;194
2017;16. Hortaleza;165. Apóstol Santiago;0;41
2017;16. Hortaleza;166. Valdefuentes;3;152
2017;17. Villaverde;17. Villaverde;;
2017;17. Villaverde;17. Villaverde;1;585
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;1;218
2017;17. Villaverde;172. San Cristóbal;0;56
2017;17. Villaverde;173. Butarque;0;57
2017;17. Villaverde;174. Los Rosales;0;142
2017;17. Villaverde;175. Ángeles;0;112
2017;18. Villa de Vallecas;18. Villa de Vallecas;;
2017;18. Villa de Vallecas;18. Villa de Vallecas;9;393
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;9;212
2017;18. Villa de Vallecas;182. Santa Eugenia;0;73
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;0;108
2017;19. Vicálvaro;19. Vicálvaro;;
2017;19. Vicálvaro;19. Vicálvaro;2;229
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;2;166
2017;19. Vicálvaro;192. Valdebernardo;0;44
2017;19. Vicálvaro;193. Valderribas;0;19
2017;19. Vicálvaro;194. El Cañaveral;0;0
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;28;705
2017;20. San Blas-Canillejas;201. Simancas;9;204
2017;20. San Blas-Canillejas;202. Hellín;0;12
2017;20. San Blas-Canillejas;203. Amposta;0;35
2017;20. San Blas-Canillejas;204. Arcos;0;66
2017;20. San Blas-Canillejas;205. Rosas;0;129
2017;20. San Blas-Canillejas;206. Rejas;16;75
2017;20. San Blas-Canillejas;207. Canillejas;1;141
2017;20. San Blas-Canillejas;208. El Salvador;2;43
2017;21. Barajas;21. Barajas;;
2017;21. Barajas;21. Barajas;30;339
2017;21. Barajas;211. Alameda de Osuna;6;61
2017;21. Barajas;212. Aeropuerto;2;93
2017;21. Barajas;213. Casco Histórico de Barajas;14;70
2017;21. Barajas;214. Timón;4;46
2017;21. Barajas;215. Corralejos;4;69
2018;01. Centro;01. Centro;;
2018;01. Centro;01. Centro;206;2.997
2018;01. Centro;011. Palacio;30;560
2018;01. Centro;012. Embajadores;27;498
2018;01. Centro;013. Cortes;44;398
2018;01. Centro;014. Justicia;28;496
2018;01. Centro;015. Universidad;34;612
2018;01. Centro;016. Sol;43;433
2018;02. Arganzuela;02. Arganzuela;;
2018;02. Arganzuela;02. Arganzuela;14;852
2018;02. Arganzuela;021. Imperial;5;107
2018;02. Arganzuela;022. Acacias;1;170
2018;02. Arganzuela;023. Chopera;2;106
2018;02. Arganzuela;024. Legazpi;0;89
2018;02. Arganzuela;025. Delicias;1;135
2018;02. Arganzuela;026. Palos de Moguer;5;205
2018;02. Arganzuela;027. Atocha;0;40
2018;03. Retiro;03. Retiro;;
2018;03. Retiro;03. Retiro;12;617
2018;03. Retiro;031. Pacífico;0;159
2018;03. Retiro;032. Adelfas;3;57
2018;03. Retiro;033. Estrella;1;48
2018;03. Retiro;034. Ibiza;0;189
2018;03. Retiro;035. Los Jerónimos;8;83
2018;03. Retiro;036. Niño Jesús;0;81
2018;04. Salamanca;04. Salamanca;;
2018;04. Salamanca;04. Salamanca;51;1.324
2018;04. Salamanca;041. Recoletos;16;267
2018;04. Salamanca;042. Goya;6;318
2018;04. Salamanca;043. Fuente del Berro;0;122
2018;04. Salamanca;044. Guindalera;10;202
2018;04. Salamanca;045. Lista;7;200
2018;04. Salamanca;046. Castellana;12;215
2018;05. Chamartín;05. Chamartín;;
2018;05. Chamartín;05. Chamartín;29;1.056
2018;05. Chamartín;051. El Viso;4;170
