AÑO;DISTRITO;Total Población;% de 0 a 15 años;% de 16 a 64 años;% de 65 años y más;% de 80 años y más;Razón de juventud;Razón de reemplazamiento;Razón de progresividad;Edad promedio;Desviación típica;Crecimiento vegetativo / Tasa de natalidad;Crecimiento vegetativo / Tasa de mortalidad;Crecimiento vegetativo;Crecimiento migratorio / Tasa de inmigración;Crecimiento migratorio / Tasa de emigración;Crecimiento migratorio / Migración neta
2017;Ciudad de Madrid;3.182.175;14,49;65,05;20,46;7,39;70,82;63,68;98,23;43,98;-;9,31;8,25;1,06;46,92;28,41;18,51
2017;01. Centro;131.928;8,70;74,97;16,33;5,97;53,26;37,79;115,59;44,01;-;7,34;7,96;-,62;84,46;39,45;45,01
2017;02. Arganzuela;151.965;13,11;68,16;18,72;6,66;70,05;49,97;110,24;44,16;-;9,49;7,49;2;43,53;27,32;16,21
2017;03. Retiro;118.516;12,56;62,17;25,26;8,77;49,74;43,36;107,74;46,84;-;8,25;9,65;-1,40;38,48;23,51;14,97
2017;04. Salamanca;143.800;11,55;64,47;23,98;9,24;48,18;46,70;114,27;46,27;-;8,91;9,88;-,97;64,39;28,38;36,02
2017;05. Chamartín;143.424;13,79;63,05;23,16;8,51;59,54;51,90;108,04;45,34;-;9,75;9,25;0,50;47,32;26,43;20,89
2017;06. Tetuán;153.789;12,17;68,01;19,82;7,91;61,43;54,91;111,25;44,25;-;9,83;8,69;1,14;63,04;32,84;30,20
2017;07. Chamberí;137.401;11,11;64,65;24,24;9,34;45,83;43,12;110,82;46,49;-;8,69;10,45;-1,77;58,79;30,60;28,18
2017;08. Fuencarral-El Pardo;238.756;17,79;61,57;20,63;6,07;86,24;59,33;101,33;42,67;-;11,91;7,25;4,65;39,64;26,16;13,47
2017;09. Moncloa-Aravaca;116.903;14,88;63,44;21,69;7,66;68,60;63,94;93,62;44,41;-;8,60;8,98;-,38;46,69;29,16;17,53
2017;10. Latina;233.808;12,68;62,08;25,24;8,68;50,22;62,63;94,85;46,44;-;7,93;8,90;-,97;41,67;27,14;14,53
2017;11. Carabanchel;243.998;15,20;64,96;19,84;7,45;76,64;71,86;90,82;43,46;-;8,99;8,48;0,51;48,40;30,36;18,04
2017;12. Usera;134.791;16,09;66,21;17,70;7,27;90,88;85,34;90,57;42,33;-;9,38;7,95;1,43;50,38;32,10;18,28
2017;13. Puente de Vallecas;227.595;14,26;67,31;18,43;7,26;77,37;77,68;94,90;43,28;-;8,85;8,68;0,17;44,33;27,97;16,36
2017;14. Moratalaz;94.197;12,33;61,78;25,90;9,64;47,60;70,27;87,88;47,11;-;6,29;9,87;-3,58;30,37;22,18;8,19
2017;15. Ciudad Lineal;212.529;13,17;63,64;23,19;8,91;56,79;62,56;97,73;45,74;-;8,08;8,79;-,72;43,73;27,42;16,31
2017;16. Hortaleza;180.462;17,60;63,70;18,70;5,66;94,14;74,04;96,62;42,19;-;10,63;6,83;3,80;41,09;26,58;14,51
2017;17. Villaverde;142.608;16,93;64,99;18,08;6,68;93,66;88,50;86,56;42,10;-;10,09;7;3,09;44,79;31,41;13,38
2017;18. Villa de Vallecas;104.421;19,47;68,32;12,21;3,60;159,41;79,77;118,87;38,35;-;15,21;4,90;10,31;37,02;27,42;9,60
2017;19. Vicálvaro;70.051;19,65;65,80;14,56;4,59;134,97;117,37;70,60;40,15;-;8,65;5,73;2,92;31,58;24,28;7,29
2017;20. San Blas-Canillejas;154.357;16,38;65,82;17,80;7,26;92,02;83,52;84,99;42,89;-;8,40;7,76;0,64;38,65;25,53;13,12
2017;21. Barajas;46.876;18,62;64,08;17,31;4,12;107,56;72,06;97,28;41,27;-;11,40;6,08;5,33;37,96;28,04;9,92
2020;Ciudad de Madrid;3.221.824;14,37;65,24;20,39;7,38;70,50;62,82;97,21;44,03;-;9;8,45;0,55;52,83;28,52;24,31
