AÑO;DISTRITO;BARRIO;Pais origen España;Origen Resto países de Europa;Pais origen América del Norte;Pais origen América Central;Pais origen América del Sur;Pais origen África;Pais origen Asia;Pais origen Oceanía
2017;01. Centro;01. Centro;;;;;;;;
2017;01. Centro;01. Centro;4.930;215;141;51;403;29;85;7
2017;01. Centro;011. Palacio;805;34;34;6;76;4;5;3
2017;01. Centro;012. Embajadores;1.549;68;32;9;113;9;25;1
2017;01. Centro;013. Cortes;385;21;16;7;27;4;6;0
2017;01. Centro;014. Justicia;646;27;16;6;73;6;20;1
2017;01. Centro;015. Universidad;1.274;49;28;18;92;3;14;2
2017;01. Centro;016. Sol;271;16;15;5;22;3;15;0
2017;02. Arganzuela;02. Arganzuela;;;;;;;;
2017;02. Arganzuela;02. Arganzuela;4.024;148;69;61;336;35;40;4
2017;02. Arganzuela;021. Imperial;561;30;9;4;40;5;1;1
2017;02. Arganzuela;022. Acacias;769;34;13;10;48;9;10;0
2017;02. Arganzuela;023. Chopera;536;16;7;15;69;5;6;1
2017;02. Arganzuela;024. Legazpi;446;22;4;1;30;3;14;0
2017;02. Arganzuela;025. Delicias;781;23;11;14;84;12;4;0
2017;02. Arganzuela;026. Palos de Moguer;904;21;25;15;64;1;5;2
2017;02. Arganzuela;027. Atocha;27;2;0;2;1;0;0;0
2017;03. Retiro;03. Retiro;;;;;;;;
2017;03. Retiro;03. Retiro;2.594;144;107;24;260;10;34;5
2017;03. Retiro;031. Pacífico;784;26;29;9;75;5;8;3
2017;03. Retiro;032. Adelfas;469;24;9;2;38;0;2;0
2017;03. Retiro;033. Estrella;368;25;17;3;37;1;8;0
2017;03. Retiro;034. Ibiza;502;35;17;5;77;3;7;2
2017;03. Retiro;035. Los Jerónimos;193;22;19;1;17;1;2;0
2017;03. Retiro;036. Niño Jesús;278;12;16;4;16;0;7;0
2017;04. Salamanca;04. Salamanca;;;;;;;;
2017;04. Salamanca;04. Salamanca;4.238;251;233;77;615;21;54;9
2017;04. Salamanca;041. Recoletos;484;48;51;10;75;7;8;2
2017;04. Salamanca;042. Goya;919;59;39;14;146;5;14;4
