AÑO;DISTRITO;Servicios Administrativos;Centro Servicios Sociales y Similares;Centros de carácter  cultural;Mercado;Cantones de  Limpieza;Parque de  Bomberos;Colegios y Centros  de Enseñanza;Centros  Deportivos;Aparcamiento;Solares;Otros Inmuebles demaniales no incluidos en los anteriores
2017;Ciudad de Madrid;82;158;107;25;48;10;300;108;2;92;117
2017;01. Centro;23;10;12;4;5;2;12;1;1;3;10
2017;02. Arganzuela;8;5;4;1;3;0;10;6;0;3;4
2017;03. Retiro;3;1;4;1;2;0;7;2;0;5;1
2017;04. Salamanca;3;3;4;1;1;0;4;0;0;0;2
2017;05. Chamartín;3;4;2;3;6;1;10;2;0;0;1
2017;06. Tetuán;1;10;3;3;3;1;11;3;0;1;0
2017;07. Chamberí;3;6;7;2;0;1;4;2;1;0;2
2017;08. Fuencarral-El Pardo;0;4;8;0;4;0;29;10;0;8;1
2017;09. Moncloa-Aravaca;9;9;8;0;1;1;10;4;0;2;40
2017;10. Latina;4;15;11;2;0;0;34;8;0;5;1
2017;11. Carabanchel;2;9;6;0;4;1;17;6;0;5;4
2017;12. Usera;2;5;4;3;1;1;16;7;0;5;3
2017;13. Puente de Vallecas;2;10;6;2;2;0;26;6;0;5;10
2017;14. Moratalaz;1;8;4;0;1;0;14;4;0;6;8
2017;15. Ciudad Lineal;1;6;3;0;3;1;15;8;0;4;4
2017;16. Hortaleza;6;26;5;0;3;1;22;14;0;8;3
2017;17. Villaverde;1;9;4;1;1;0;20;3;0;9;3
2017;18. Villa de Vallecas;2;7;2;2;2;0;7;3;0;10;6
2017;19. Vicálvaro;5;4;3;0;2;0;10;3;0;4;3
2017;20. San Blas-Canillejas;1;6;2;0;2;0;15;10;0;7;3
2017;21. Barajas;2;1;5;0;2;0;5;6;0;2;6
2020;Ciudad de Madrid;84;166;115;25;46;10;304;120;2;99;116
2020;01. Centro;22;12;12;4;4;2;13;1;1;4;10
2020;02. Arganzuela;8;6;4;1;3;0;10;6;0;3;3
2020;03. Retiro;3;2;4;1;2;0;7;2;0;5;1
2020;04. Salamanca;3;3;4;1;1;0;4;1;0;1;1
2020;05. Chamartín;4;4;2;3;5;0;9;3;0;1;2
2020;06. Tetuán;1;10;3;3;3;1;11;4;0;1;0
2020;07. Chamberí;3;5;8;2;0;1;4;2;1;0;2
2020;08. Fuencarral-El Pardo;0;6;8;0;3;1;29;11;0;10;1
2020;09. Moncloa-Aravaca;9;9;9;0;1;0;11;5;0;2;38
2020;10. Latina;4;14;12;2;0;1;34;8;0;6;1
2020;11. Carabanchel;3;9;6;0;4;0;19;8;0;5;4
2020;12. Usera;2;6;4;3;2;1;16;8;0;6;2
2020;13. Puente de Vallecas;2;10;6;2;2;1;26;7;0;6;10
2020;14. Moratalaz;1;8;4;0;1;0;14;5;0;6;9
2020;15. Ciudad Lineal;2;6;3;0;2;0;15;8;0;3;4
2020;16. Hortaleza;6;26;5;0;4;1;23;14;0;8;3
2020;17. Villaverde;1;11;6;1;1;1;20;4;0;9;3
2020;18. Villa de Vallecas;2;7;4;2;2;0;7;3;0;9;7
2020;19. Vicálvaro;5;5;3;0;2;0;10;3;0;5;3
