AÑO;DISTRITO;Instalaciones deportivas;Unidades deportivas;Superficie deportiva (m2)
2017;Ciudad de Madrid;553;2.189;3.671.516
2020;Ciudad de Madrid;555;2.218;3.671.516
2019;Ciudad de Madrid;575;2.261;3.671.516
2018;Ciudad de Madrid;577;2.281;3.671.516
2017;01. Centro;7;15;5.969
2020;01. Centro;7;16;5.969
2019;01. Centro;11;23;5.969
2018;01. Centro;11;24;5.969
2017;02. Arganzuela;23;65;97.665
2020;02. Arganzuela;23;65;97.665
2019;02. Arganzuela;23;65;97.665
2018;02. Arganzuela;23;65;97.665
2017;03. Retiro;14;58;98.055
2020;03. Retiro;14;59;98.055
2019;03. Retiro;14;59;98.055
2018;03. Retiro;14;59;98.055
2017;04. Salamanca;7;61;19.645
2020;04. Salamanca;7;61;19.645
2019;04. Salamanca;7;61;19.645
2018;04. Salamanca;7;61;19.645
2017;05. Chamartín;16;58;33.461
2020;05. Chamartín;16;58;33.461
2019;05. Chamartín;16;58;33.461
2018;05. Chamartín;16;58;33.461
2017;06. Tetuán;11;53;40.934
2020;06. Tetuán;11;53;40.934
2019;06. Tetuán;11;53;40.934
2018;06. Tetuán;11;53;40.934
2017;07. Chamberí;2;17;0
2020;07. Chamberí;-;-;0
2019;07. Chamberí;4;19;0
2018;07. Chamberí;4;19;0
2017;08. Fuencarral-El Pardo;45;175;289.271
2020;08. Fuencarral-El Pardo;47;197;289.271
2019;08. Fuencarral-El Pardo;50;216;289.271
2018;08. Fuencarral-El Pardo;50;216;289.271
2017;09. Moncloa-Aravaca;35;132;266.428
2020;09. Moncloa-Aravaca;35;132;266.428
2019;09. Moncloa-Aravaca;35;129;266.428
2018;09. Moncloa-Aravaca;35;132;266.428
2017;10. Latina;39;240;398.759
2020;10. Latina;39;240;398.759
2019;10. Latina;39;240;398.759
2018;10. Latina;39;240;398.759
2017;11. Carabanchel;40;139;206.426
2020;11. Carabanchel;40;139;206.426
2019;11. Carabanchel;42;137;206.426
2018;11. Carabanchel;41;136;206.426
2017;12. Usera;39;131;316.273
2020;12. Usera;39;131;316.273
2019;12. Usera;39;124;316.273
2018;12. Usera;39;137;316.273
2017;13. Puente de Vallecas;39;166;373.395
2020;13. Puente de Vallecas;39;166;373.395
2019;13. Puente de Vallecas;41;174;373.395
2018;13. Puente de Vallecas;41;175;373.395
2017;14. Moratalaz;26;130;337.843
2020;14. Moratalaz;26;130;337.843
2019;14. Moratalaz;26;130;337.843
2018;14. Moratalaz;26;132;337.843
2017;15. Ciudad Lineal;37;103;119.090
2020;15. Ciudad Lineal;37;103;119.090
2019;15. Ciudad Lineal;37;104;119.090
2018;15. Ciudad Lineal;37;104;119.090
2017;16. Hortaleza;64;178;318.388
2020;16. Hortaleza;64;177;318.388
2019;16. Hortaleza;65;182;318.388
2018;16. Hortaleza;65;182;318.388
2017;17. Villaverde;31;133;169.373
2020;17. Villaverde;30;133;169.373
2019;17. Villaverde;30;133;169.373
2018;17. Villaverde;30;133;169.373
2017;18. Villa de Vallecas;23;55;145.797
2020;18. Villa de Vallecas;26;65;145.797
2019;18. Villa de Vallecas;32;76;145.797
2018;18. Villa de Vallecas;33;77;145.797
2017;19. Vicálvaro;9;85;167.099
2020;19. Vicálvaro;9;86;167.099
2019;19. Vicálvaro;9;86;167.099
2018;19. Vicálvaro;9;86;167.099
2017;20. San Blas-Canillejas;26;126;195.327
2020;20. San Blas-Canillejas;25;124;195.327
2019;20. San Blas-Canillejas;25;124;195.327
2018;20. San Blas-Canillejas;25;124;195.327
2017;21. Barajas;19;66;72.318
2020;21. Barajas;19;66;72.318
2019;21. Barajas;19;68;72.318
2018;21. Barajas;21;68;72.318
