AÑO;DISTRITO;BARRIO;A tiempo parcial;A tiempo completo;Fijo discontinuo;No consta
2017;01. Centro;01. Centro;;;;
2017;01. Centro;01. Centro;10.349;31.746;549;2.620
2017;01. Centro;011. Palacio;1.657;5.137;80;525
2017;01. Centro;012. Embajadores;4.128;10.647;245;849
2017;01. Centro;013. Cortes;740;2.407;40;235
2017;01. Centro;014. Justicia;996;4.003;36;295
2017;01. Centro;015. Universidad;2.286;7.930;122;592
2017;01. Centro;016. Sol;542;1.621;26;124
2017;02. Arganzuela;02. Arganzuela;;;;
2017;02. Arganzuela;02. Arganzuela;10.324;39.497;572;13.408
2017;02. Arganzuela;021. Imperial;1.415;5.654;86;2.044
2017;02. Arganzuela;022. Acacias;2.159;9.032;133;3.473
2017;02. Arganzuela;023. Chopera;1.753;4.721;77;1.381
2017;02. Arganzuela;024. Legazpi;953;6.076;75;1.981
2017;02. Arganzuela;025. Delicias;1.869;7.364;90;2.289
2017;02. Arganzuela;026. Palos de Moguer;2.082;6.387;110;2.104
2017;02. Arganzuela;027. Atocha;93;262;1;136
2017;03. Retiro;03. Retiro;;;;
2017;03. Retiro;03. Retiro;6.504;27.451;327;3.470
2017;03. Retiro;031. Pacífico;2.116;7.986;98;1.061
2017;03. Retiro;032. Adelfas;1.061;4.828;60;571
2017;03. Retiro;033. Estrella;1.120;5.110;60;687
2017;03. Retiro;034. Ibiza;1.205;4.899;63;525
2017;03. Retiro;035. Los Jerónimos;298;1.380;7;190
2017;03. Retiro;036. Niño Jesús;704;3.248;39;436
2017;04. Salamanca;04. Salamanca;;;;
2017;04. Salamanca;04. Salamanca;7.322;33.890;308;3.298
2017;04. Salamanca;041. Recoletos;549;3.274;18;269
2017;04. Salamanca;042. Goya;1.453;6.953;55;693
2017;04. Salamanca;043. Fuente del Berro;1.303;5.118;57;525
2017;04. Salamanca;044. Guindalera;2.331;10.086;114;1.089
2017;04. Salamanca;045. Lista;1.062;4.758;43;450
2017;04. Salamanca;046. Castellana;624;3.701;21;272
2017;05. Chamartín;05. Chamartín;;;;
2017;05. Chamartín;05. Chamartín;6.974;34.590;303;3.167
2017;05. Chamartín;051. El Viso;585;3.888;20;299
2017;05. Chamartín;052. Prosperidad;2.136;9.161;83;936
2017;05. Chamartín;053. Ciudad Jardín;1.219;4.458;62;392
2017;05. Chamartín;054. Hispanoamérica;1.299;7.245;52;677
2017;05. Chamartín;055. Nueva España;910;5.752;45;450
2017;05. Chamartín;056. Castilla;825;4.086;41;413
2017;06. Tetuán;06. Tetuán;;;;
2017;06. Tetuán;06. Tetuán;13.455;38.313;500;2.843
2017;06. Tetuán;061. Bellas Vistas;2.884;6.735;81;560
2017;06. Tetuán;062. Cuatro Caminos;2.186;8.500;80;717
2017;06. Tetuán;063. Castillejos;1.156;5.035;49;410
2017;06. Tetuán;064. Almenara;2.057;5.148;104;331
2017;06. Tetuán;065. Valdeacederas;2.663;6.715;101;390
2017;06. Tetuán;066. Berruguete;2.509;6.180;85;435
2017;07. Chamberí;07. Chamberí;;;;
2017;07. Chamberí;07. Chamberí;7.547;32.830;342;3.418
2017;07. Chamberí;071. Gaztambide;1.243;4.999;57;677
2017;07. Chamberí;072. Arapiles;1.536;5.792;63;624
2017;07. Chamberí;073. Trafalgar;1.489;6.318;81;595
2017;07. Chamberí;074. Almagro;946;4.498;24;351
2017;07. Chamberí;075. Ríos Rosas;1.435;6.816;76;606
2017;07. Chamberí;076. Vallehermoso;898;4.406;41;565
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;14.911;59.359;857;5.969
2017;08. Fuencarral-El Pardo;081. El Pardo;230;676;20;103
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;101;605;5;60
2017;08. Fuencarral-El Pardo;083. Peñagrande;3.011;10.088;187;1.195
2017;08. Fuencarral-El Pardo;084. Pilar;3.761;10.705;196;908
2017;08. Fuencarral-El Pardo;085. La Paz;1.680;7.440;91;1.174
2017;08. Fuencarral-El Pardo;086. Valverde;4.068;17.226;225;1.194
2017;08. Fuencarral-El Pardo;087. Mirasierra;1.398;7.468;92;953
2017;08. Fuencarral-El Pardo;088. El Goloso;662;5.151;41;382
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;6.562;25.464;308;2.945
2017;09. Moncloa-Aravaca;091. Casa de Campo;737;2.830;44;442
2017;09. Moncloa-Aravaca;092. Argüelles;1.347;5.203;44;560
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;656;3.252;28;434
2017;09. Moncloa-Aravaca;094. Valdezarza;2.283;6.522;114;683
2017;09. Moncloa-Aravaca;095. Valdemarín;207;1.379;2;91
2017;09. Moncloa-Aravaca;096. El Plantío;113;576;2;49
2017;09. Moncloa-Aravaca;097. Aravaca;1.219;5.702;74;685
2017;10. Latina;10. Latina;;;;
2017;10. Latina;10. Latina;21.843;49.885;1.106;4.684
2017;10. Latina;101. Los Cármenes;1.541;3.625;66;394
2017;10. Latina;102. Puerta del Ángel;4.199;8.905;207;804
2017;10. Latina;103. Lucero;3.431;7.569;148;711
2017;10. Latina;104. Aluche;6.006;13.198;257;1.190
2017;10. Latina;105. Campamento;1.836;3.879;115;289
2017;10. Latina;106. Cuatro Vientos;381;1.654;14;166
2017;10. Latina;107. Águilas;4.448;11.053;299;1.130
2017;11. Carabanchel;11. Carabanchel;;;;
2017;11. Carabanchel;11. Carabanchel;24.644;53.954;1.057;4.313
2017;11. Carabanchel;111. Comillas;2.025;4.709;99;409
2017;11. Carabanchel;112. Opañel;3.325;6.948;120;627
2017;11. Carabanchel;113. San Isidro;3.965;8.077;162;571
2017;11. Carabanchel;114. Vista Alegre;4.796;9.150;188;654
2017;11. Carabanchel;115. Puerta Bonita;3.536;6.884;143;446
2017;11. Carabanchel;116. Buenavista;3.943;11.901;210;1.125
2017;11. Carabanchel;117. Abrantes;3.054;6.284;135;480
2017;12. Usera;12. Usera;;;;
2017;12. Usera;12. Usera;14.391;27.663;696;1.743
2017;12. Usera;121. Orcasitas;1.915;4.970;148;329
2017;12. Usera;122. Orcasur;1.301;2.837;69;162
2017;12. Usera;123. San Fermín;2.325;4.892;123;309
2017;12. Usera;124. Almendrales;2.310;4.131;90;273
2017;12. Usera;125. Moscardó;2.998;5.043;115;337
2017;12. Usera;126. Zofío;1.488;2.731;79;197
2017;12. Usera;127. Pradolongo;2.054;3.056;72;136
2017;13. Puente de Vallecas;13. Puente de Vallecas;;;;
2017;13. Puente de Vallecas;13. Puente de Vallecas;24.989;49.345;1.364;2.971
2017;13. Puente de Vallecas;131. Entrevías;3.588;6.654;209;288
2017;13. Puente de Vallecas;132. San Diego;4.877;8.203;160;348
2017;13. Puente de Vallecas;133. Palomeras Bajas;4.100;9.038;277;872
2017;13. Puente de Vallecas;134. Palomeras Sureste;4.558;9.871;287;620
2017;13. Puente de Vallecas;135. Portazgo;2.865;5.683;189;251
2017;13. Puente de Vallecas;136. Numancia;5.001;9.894;242;591
2017;14. Moratalaz;14. Moratalaz;;;;
2017;14. Moratalaz;14. Moratalaz;7.447;20.718;470;2.173
2017;14. Moratalaz;141. Pavones;657;1.947;59;233
2017;14. Moratalaz;142. Horcajo;454;1.692;32;251
2017;14. Moratalaz;143. Marroquina;1.992;6.220;120;756
2017;14. Moratalaz;144. Media Legua;1.375;3.652;72;394
2017;14. Moratalaz;145. Fontarrón;1.541;3.548;111;262
2017;14. Moratalaz;146. Vinateros;1.428;3.659;76;277
2017;15. Ciudad Lineal;15. Ciudad Lineal;;;;
2017;15. Ciudad Lineal;15. Ciudad Lineal;18.033;49.075;758;4.062
2017;15. Ciudad Lineal;151. Ventas;4.655;10.776;195;799
2017;15. Ciudad Lineal;152. Pueblo Nuevo;6.313;14.034;232;974
2017;15. Ciudad Lineal;153. Quintana;2.376;5.573;88;417
2017;15. Ciudad Lineal;154. Concepción;1.638;4.673;70;423
2017;15. Ciudad Lineal;155. San Pascual;1.249;4.218;70;398
2017;15. Ciudad Lineal;156. San Juan Bautista;551;2.999;41;308
2017;15. Ciudad Lineal;157. Colina;295;1.402;16;144
2017;15. Ciudad Lineal;158. Atalaya;62;317;2;32
2017;15. Ciudad Lineal;159. Costillares;894;5.083;44;567
2017;16. Hortaleza;16. Hortaleza;;;;
2017;16. Hortaleza;16. Hortaleza;11.695;45.959;728;3.654
2017;16. Hortaleza;161. Palomas;208;1.557;7;133
2017;16. Hortaleza;162. Piovera;570;3.375;16;325
2017;16. Hortaleza;163. Canillas;2.730;9.536;202;870
