AÑO;DISTRITO;BARRIO;Andalucía Hombre;Andalucía Mujer;Aragón Hombre;Aragón Mujer;Principado de Asturias Hombre;Principado de Asturias Mujer;Islas Baleares Hombre;Islas Baleares Mujer;Canarias Hombre;Canarias Mujer;Cantabria Hombre;Cantabria Mujer;Castilla y León Hombre;Castilla y León Mujer;Castilla-La Mancha Hombre;Castilla-La Mancha Mujer;Cataluña Hombre;Cataluña Mujer;Extremadura Hombre;Extremadura Mujer;Galicia Hombre;Galicia Mujer;Comunidad de Madrid Hombre;Comunidad de Madrid Mujer;Región de Murcia Hombre;Región de Murcia Mujer;Comunidad Foral de Navarra Hombre;Comunidad Foral de Navarra Mujer;Comunitat Valenciana Hombre;Comunitat Valenciana Mujer;País Vasco Hombre;País Vasco Mujer;La Rioja Hombre;La Rioja Mujer;Ciudad Autónoma de Ceuta Hombre;Ciudad Autónoma de Ceuta Mujer;Ciudad Autónoma de Melilla Hombre;Ciudad Autónoma de Melilla Mujer;Otro país Hombre;Otro país Mujer;No consta Hombre;No consta Mujer
2017;01. Centro;01. Centro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;01. Centro;01. Centro;3.458;2.995;584;627;953;1.014;101;102;295;241;438;446;3.944;4.970;2.690;3.172;960;837;1.162;1.442;1.572;1.798;24.600;25.192;496;398;249;317;1.101;1.043;1.144;1.085;180;229;53;48;42;54;6.420;6.759;5;2
2017;01. Centro;011. Palacio;543;496;85;120;155;176;14;24;54;39;88;74;693;847;445;601;171;143;190;253;237;298;4.905;5.073;72;60;35;56;179;176;180;190;33;40;13;7;5;6;905;978;1;0
2017;01. Centro;012. Embajadores;1.120;954;167;183;258;291;35;31;94;76;124;125;1.177;1.520;978;1.099;295;249;393;506;446;498;7.976;8.340;147;148;74;88;341;331;311;317;43;67;15;20;14;10;2.274;2.218;1;0
2017;01. Centro;013. Cortes;268;243;59;51;85;85;13;7;27;24;33;45;305;334;230;231;93;90;87;101;151;136;2.025;1.952;39;32;21;25;89;84;82;93;25;17;1;6;1;3;480;545;0;0
2017;01. Centro;014. Justicia;509;437;96;93;143;139;20;14;34;37;69;65;487;623;304;338;138;125;162;161;232;237;3.059;3.034;65;46;49;50;152;135;204;191;24;24;7;3;7;7;756;890;2;0
2017;01. Centro;015. Universidad;831;701;151;140;250;262;18;20;68;50;94;118;1.042;1.369;588;748;201;186;266;350;402;506;5.423;5.719;142;95;61;81;284;254;301;222;47;68;17;9;14;24;1.564;1.734;1;1
2017;01. Centro;016. Sol;187;164;26;40;62;61;1;6;18;15;30;19;240;277;145;155;62;44;64;71;104;123;1.212;1.074;31;17;9;17;56;63;66;72;8;13;0;3;1;4;441;394;0;1
2017;02. Arganzuela;02. Arganzuela;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;02. Arganzuela;02. Arganzuela;3.145;3.505;594;693;773;876;72;90;227;220;323;366;5.411;7.825;4.584;6.047;698;722;1.682;2.381;1.174;1.531;38.187;40.751;384;445;212;264;807;849;777;902;151;233;80;78;97;105;4.789;6.291;2;3
