AÑO;DISTRITO;Numero de hombres parados;Numero de mujeres paradas
2017;Ciudad de Madrid;81.320;98.437
2017;01. Centro;4.255;3.955
2017;02. Arganzuela;3.318;4.128
2017;03. Retiro;1.982;2.470
2017;04. Salamanca;2.238;3.022
2017;05. Chamartín;2.162;2.772
2017;06. Tetuán;4.020;4.814
2017;07. Chamberí;2.304;2.947
2017;08. Fuencarral-El Pardo;4.140;5.504
2017;09. Moncloa-Aravaca;1.948;2.403
2017;10. Latina;6.600;7.707
2017;11. Carabanchel;7.808;9.369
2017;12. Usera;4.578;5.308
2017;13. Puente de Vallecas;9.164;10.234
2017;14. Moratalaz;2.424;3.012
2017;15. Ciudad Lineal;5.116;6.441
2017;16. Hortaleza;3.630;4.749
2017;17. Villaverde;5.129;6.321
2017;18. Villa de Vallecas;3.232;4.261
2017;19. Vicálvaro;2.113;2.662
2017;20. San Blas-Canillejas;4.256;5.287
2017;21. Barajas;903;1.071
2018;Ciudad de Madrid;73.029;92.882
2018;01. Centro;3.865;3.706
2018;02. Arganzuela;2.902;3.825
2018;03. Retiro;1.753;2.321
2018;04. Salamanca;1.948;2.782
2018;05. Chamartín;1.995;2.547
2018;06. Tetuán;3.527;4.420
2018;07. Chamberí;2.068;2.710
2018;08. Fuencarral-El Pardo;3.707;5.144
2018;09. Moncloa-Aravaca;1.822;2.260
2018;10. Latina;5.919;7.235
2018;11. Carabanchel;7.053;8.817
2018;12. Usera;4.216;5.311
2018;13. Puente de Vallecas;8.250;9.851
2018;14. Moratalaz;2.174;2.829
2018;15. Ciudad Lineal;4.500;5.947
2018;16. Hortaleza;3.273;4.432
2018;17. Villaverde;4.673;6.034
2018;18. Villa de Vallecas;2.931;4.134
2018;19. Vicálvaro;1.872;2.565
2018;20. San Blas-Canillejas;3.805;4.934
2018;21. Barajas;776;1.078
2019;Ciudad de Madrid;73.570;92.767
2019;01. Centro;3.982;3.649
2019;02. Arganzuela;3.046;3.779
2019;03. Retiro;1.822;2.296
2019;04. Salamanca;1.944;2.773
2019;05. Chamartín;1.904;2.604
2019;06. Tetuán;3.608;4.536
2019;07. Chamberí;2.041;2.757
2019;08. Fuencarral-El Pardo;3.785;5.113
2019;09. Moncloa-Aravaca;1.849;2.296
2019;10. Latina;5.979;7.232
2019;11. Carabanchel;7.117;8.867
2019;12. Usera;4.196;5.265
2019;13. Puente de Vallecas;7.983;9.554
2019;14. Moratalaz;2.149;2.832
2019;15. Ciudad Lineal;4.599;5.913
2019;16. Hortaleza;3.314;4.520
2019;17. Villaverde;4.664;6.039
2019;18. Villa de Vallecas;3.058;4.273
2019;19. Vicálvaro;1.885;2.581
2019;20. San Blas-Canillejas;3.854;4.829
2019;21. Barajas;791;1.059
2020;Ciudad de Madrid;95.308;118.792
2020;01. Centro;5.448;4.947
2020;02. Arganzuela;3.916;4.683
2020;03. Retiro;2.200;2.811
2020;04. Salamanca;2.545;3.520
2020;05. Chamartín;2.548;3.317
2020;06. Tetuán;4.663;5.836
2020;07. Chamberí;2.617;3.405
2020;08. Fuencarral-El Pardo;4.802;6.322
2020;09. Moncloa-Aravaca;2.329;2.949
2020;10. Latina;7.713;9.280
2020;11. Carabanchel;9.257;11.595
2020;12. Usera;5.576;7.076
2020;13. Puente de Vallecas;10.367;12.201
2020;14. Moratalaz;2.752;3.496
2020;15. Ciudad Lineal;6.027;7.575
2020;16. Hortaleza;4.204;5.711
2020;17. Villaverde;6.235;8.091
2020;18. Villa de Vallecas;3.691;5.128
2020;19. Vicálvaro;2.364;3.203
2020;20. San Blas-Canillejas;4.959;6.276
2020;21. Barajas;1.095;1.370
