AÑO;DISTRITO;BARRIO;Numero de pensiones
2017;01. Centro;01. Centro;
2017;01. Centro;01. Centro;16.446
2017;01. Centro;011. Palacio;3.169
2017;01. Centro;012. Embajadores;5.276
2017;01. Centro;013. Cortes;1.319
2017;01. Centro;014. Justicia;1.919
2017;01. Centro;015. Universidad;3.897
2017;01. Centro;016. Sol;866
2017;02. Arganzuela;02. Arganzuela;
2017;02. Arganzuela;02. Arganzuela;23.605
2017;02. Arganzuela;021. Imperial;3.494
2017;02. Arganzuela;022. Acacias;6.629
2017;02. Arganzuela;023. Chopera;3.772
2017;02. Arganzuela;024. Legazpi;1.432
2017;02. Arganzuela;025. Delicias;3.825
2017;02. Arganzuela;026. Palos de Moguer;4.332
2017;02. Arganzuela;027. Atocha;121
2017;03. Retiro;03. Retiro;
2017;03. Retiro;03. Retiro;23.106
2017;03. Retiro;031. Pacífico;6.448
2017;03. Retiro;032. Adelfas;3.195
2017;03. Retiro;033. Estrella;5.573
2017;03. Retiro;034. Ibiza;4.065
2017;03. Retiro;035. Los Jerónimos;882
2017;03. Retiro;036. Niño Jesús;2.943
2017;04. Salamanca;04. Salamanca;
2017;04. Salamanca;04. Salamanca;24.418
2017;04. Salamanca;041. Recoletos;2.012
2017;04. Salamanca;042. Goya;4.998
2017;04. Salamanca;043. Fuente del Berro;3.953
2017;04. Salamanca;044. Guindalera;7.638
2017;04. Salamanca;045. Lista;3.478
2017;04. Salamanca;046. Castellana;2.339
2017;05. Chamartín;05. Chamartín;
2017;05. Chamartín;05. Chamartín;24.334
2017;05. Chamartín;051. El Viso;2.231
2017;05. Chamartín;052. Prosperidad;7.115
2017;05. Chamartín;053. Ciudad Jardín;3.383
2017;05. Chamartín;054. Hispanoamérica;5.325
2017;05. Chamartín;055. Nueva España;3.439
2017;05. Chamartín;056. Castilla;2.841
2017;06. Tetuán;06. Tetuán;
2017;06. Tetuán;06. Tetuán;24.163
2017;06. Tetuán;061. Bellas Vistas;4.342
2017;06. Tetuán;062. Cuatro Caminos;5.585
2017;06. Tetuán;063. Castillejos;3.409
2017;06. Tetuán;064. Almenara;3.944
2017;06. Tetuán;065. Valdeacederas;3.418
2017;06. Tetuán;066. Berruguete;3.465
2017;07. Chamberí;07. Chamberí;
2017;07. Chamberí;07. Chamberí;23.313
2017;07. Chamberí;071. Gaztambide;4.061
2017;07. Chamberí;072. Arapiles;4.246
2017;07. Chamberí;073. Trafalgar;3.916
2017;07. Chamberí;074. Almagro;3.031
2017;07. Chamberí;075. Ríos Rosas;4.484
2017;07. Chamberí;076. Vallehermoso;3.575
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;40.298
2017;08. Fuencarral-El Pardo;081. El Pardo;566
