AÑO;DISTRITO;BARRIO;Pension media
2017;01. Centro;01. Centro;
2017;01. Centro;01. Centro;1.162,55
2017;01. Centro;011. Palacio;1.219,25
2017;01. Centro;012. Embajadores;1.082,80
2017;01. Centro;013. Cortes;1.198,93
2017;01. Centro;014. Justicia;1.234,99
2017;01. Centro;015. Universidad;1.182,13
2017;01. Centro;016. Sol;1.136,81
2017;02. Arganzuela;02. Arganzuela;
2017;02. Arganzuela;02. Arganzuela;1.328,70
2017;02. Arganzuela;021. Imperial;1.321,72
2017;02. Arganzuela;022. Acacias;1.419,37
2017;02. Arganzuela;023. Chopera;1.237,18
2017;02. Arganzuela;024. Legazpi;1.389,43
2017;02. Arganzuela;025. Delicias;1.320
2017;02. Arganzuela;026. Palos de Moguer;1.265,99
2017;02. Arganzuela;027. Atocha;1.217,68
2017;03. Retiro;03. Retiro;
2017;03. Retiro;03. Retiro;1.494,43
2017;03. Retiro;031. Pacífico;1.424,41
2017;03. Retiro;032. Adelfas;1.435,69
2017;03. Retiro;033. Estrella;1.639,98
2017;03. Retiro;034. Ibiza;1.403,13
2017;03. Retiro;035. Los Jerónimos;1.405,01
2017;03. Retiro;036. Niño Jesús;1.588,87
2017;04. Salamanca;04. Salamanca;
2017;04. Salamanca;04. Salamanca;1.431,40
2017;04. Salamanca;041. Recoletos;1.447,76
2017;04. Salamanca;042. Goya;1.378,37
2017;04. Salamanca;043. Fuente del Berro;1.396,13
2017;04. Salamanca;044. Guindalera;1.474,25
2017;04. Salamanca;045. Lista;1.448,86
2017;04. Salamanca;046. Castellana;1.424,40
2017;05. Chamartín;05. Chamartín;
2017;05. Chamartín;05. Chamartín;1.490,69
2017;05. Chamartín;051. El Viso;1.478,06
2017;05. Chamartín;052. Prosperidad;1.482,10
2017;05. Chamartín;053. Ciudad Jardín;1.417,29
2017;05. Chamartín;054. Hispanoamérica;1.518,56
2017;05. Chamartín;055. Nueva España;1.536,10
2017;05. Chamartín;056. Castilla;1.502,30
