AÑO;DISTRITO;BARRIO;Total Españoles;Total Extranjeros
2017;01. Centro;01. Centro;;
2017;01. Centro;01. Centro;;
2017;01. Centro;011. Palacio;18.658;3.662
2017;01. Centro;012. Embajadores;33.596;10.812
2017;01. Centro;013. Cortes;8.338;2.186
2017;01. Centro;014. Justicia;13.253;3.187
2017;01. Centro;015. Universidad;24.558;6.235
2017;01. Centro;016. Sol;5.476;1.787
2017;02. Arganzuela;02. Arganzuela;;
2017;02. Arganzuela;02. Arganzuela;;
2017;02. Arganzuela;021. Imperial;21.226;1.472
2017;02. Arganzuela;022. Acacias;34.348;2.335
2017;02. Arganzuela;023. Chopera;17.233;2.541
2017;02. Arganzuela;024. Legazpi;17.667;1.286
2017;02. Arganzuela;025. Delicias;24.419;2.906
2017;02. Arganzuela;026. Palos de Moguer;22.131;3.476
2017;02. Arganzuela;027. Atocha;1.081;48
2017;03. Retiro;03. Retiro;;
2017;03. Retiro;03. Retiro;;
2017;03. Retiro;031. Pacífico;30.992;2.674
2017;03. Retiro;032. Adelfas;16.941;1.146
2017;03. Retiro;033. Estrella;22.401;828
2017;03. Retiro;034. Ibiza;19.376;1.948
2017;03. Retiro;035. Los Jerónimos;6.411;656
2017;03. Retiro;036. Niño Jesús;14.461;720
2017;04. Salamanca;04. Salamanca;;
2017;04. Salamanca;04. Salamanca;;
2017;04. Salamanca;041. Recoletos;13.271;2.269
2017;04. Salamanca;042. Goya;25.873;3.438
2017;04. Salamanca;043. Fuente del Berro;18.484;2.197
2017;04. Salamanca;044. Guindalera;36.974;3.824
2017;04. Salamanca;045. Lista;18.081;2.673
2017;04. Salamanca;046. Castellana;14.349;2.521
2017;05. Chamartín;05. Chamartín;;
2017;05. Chamartín;05. Chamartín;;
2017;05. Chamartín;051. El Viso;15.262;1.800
2017;05. Chamartín;052. Prosperidad;32.836;3.341
2017;05. Chamartín;053. Ciudad Jardín;16.335;2.016
2017;05. Chamartín;054. Hispanoamérica;29.290;2.075
2017;05. Chamartín;055. Nueva España;22.222;2.078
2017;05. Chamartín;056. Castilla;15.348;1.340
2017;06. Tetuán;06. Tetuán;;
2017;06. Tetuán;06. Tetuán;;
2017;06. Tetuán;061. Bellas Vistas;22.348;6.038
2017;06. Tetuán;062. Cuatro Caminos;29.358;4.731
2017;06. Tetuán;063. Castillejos;17.217;2.840
2017;06. Tetuán;064. Almenara;19.334;2.799
2017;06. Tetuán;065. Valdeacederas;20.274;5.112
2017;06. Tetuán;066. Berruguete;18.986;5.341
2017;07. Chamberí;07. Chamberí;;
2017;07. Chamberí;07. Chamberí;;
2017;07. Chamberí;071. Gaztambide;20.179;2.239
2017;07. Chamberí;072. Arapiles;21.763;2.489
2017;07. Chamberí;073. Trafalgar;21.561;2.876
2017;07. Chamberí;074. Almagro;17.270;2.441
2017;07. Chamberí;075. Ríos Rosas;24.168;2.762
2017;07. Chamberí;076. Vallehermoso;18.642;1.240
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2017;08. Fuencarral-El Pardo;081. El Pardo;3.349;109
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;2.961;240
2017;08. Fuencarral-El Pardo;083. Peñagrande;41.256;3.106
2017;08. Fuencarral-El Pardo;084. Pilar;41.327;4.531
2017;08. Fuencarral-El Pardo;085. La Paz;32.298;1.600
2017;08. Fuencarral-El Pardo;086. Valverde;54.447;6.068
2017;08. Fuencarral-El Pardo;087. Mirasierra;29.631;1.466
2017;08. Fuencarral-El Pardo;088. El Goloso;16.753;844
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2017;09. Moncloa-Aravaca;091. Casa de Campo;11.894;992
2017;09. Moncloa-Aravaca;092. Argüelles;21.084;2.759
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;14.558;1.434
2017;09. Moncloa-Aravaca;094. Valdezarza;26.307;2.950
2017;09. Moncloa-Aravaca;095. Valdemarín;5.841;615
2017;09. Moncloa-Aravaca;096. El Plantío;2.513;210
2017;09. Moncloa-Aravaca;097. Aravaca;23.467;2.348
2017;10. Latina;10. Latina;;
2017;10. Latina;10. Latina;;
2017;10. Latina;101. Los Cármenes;14.973;2.107
2017;10. Latina;102. Puerta del Ángel;34.042;6.939
2017;10. Latina;103. Lucero;30.172;5.258
2017;10. Latina;104. Aluche;56.332;9.287
2017;10. Latina;105. Campamento;15.801;3.110
2017;10. Latina;106. Cuatro Vientos;5.244;328
2017;10. Latina;107. Águilas;46.012;5.086
2017;11. Carabanchel;11. Carabanchel;;
2017;11. Carabanchel;11. Carabanchel;;
2017;11. Carabanchel;111. Comillas;18.539;3.587
2017;11. Carabanchel;112. Opañel;26.174;5.968
2017;11. Carabanchel;113. San Isidro;31.347;6.836
2017;11. Carabanchel;114. Vista Alegre;36.009;8.489
2017;11. Carabanchel;115. Puerta Bonita;26.943;6.292
2017;11. Carabanchel;116. Buenavista;40.369;5.226
2017;11. Carabanchel;117. Abrantes;24.583;4.845
2017;12. Usera;12. Usera;;
2017;12. Usera;12. Usera;;
2017;12. Usera;121. Orcasitas;20.960;1.570
2017;12. Usera;122. Orcasur;11.792;1.584
2017;12. Usera;123. San Fermín;19.186;3.787
2017;12. Usera;124. Almendrales;15.424;5.236
2017;12. Usera;125. Moscardó;19.160;6.255
2017;12. Usera;126. Zofío;10.723;2.826
2017;12. Usera;127. Pradolongo;11.830;5.117
2017;13. Puente de Vallecas;13. Puente de Vallecas;;
2017;13. Puente de Vallecas;13. Puente de Vallecas;;
2017;13. Puente de Vallecas;131. Entrevías;29.459;4.256
2017;13. Puente de Vallecas;132. San Diego;29.568;9.903
2017;13. Puente de Vallecas;133. Palomeras Bajas;34.779;4.609
2017;13. Puente de Vallecas;134. Palomeras Sureste;37.824;4.184
2017;13. Puente de Vallecas;135. Portazgo;24.311;3.364
2017;13. Puente de Vallecas;136. Numancia;37.604;8.384
2017;14. Moratalaz;14. Moratalaz;;
2017;14. Moratalaz;14. Moratalaz;;
2017;14. Moratalaz;141. Pavones;8.298;844
2017;14. Moratalaz;142. Horcajo;6.165;232
2017;14. Moratalaz;143. Marroquina;25.967;1.445
2017;14. Moratalaz;144. Media Legua;16.452;1.400
2017;14. Moratalaz;145. Fontarrón;14.842;1.977
2017;14. Moratalaz;146. Vinateros;15.130;1.661
2017;15. Ciudad Lineal;15. Ciudad Lineal;;
2017;15. Ciudad Lineal;15. Ciudad Lineal;;
2017;15. Ciudad Lineal;151. Ventas;40.564;6.874
2017;15. Ciudad Lineal;152. Pueblo Nuevo;51.554;9.016
2017;15. Ciudad Lineal;153. Quintana;20.271;4.052
2017;15. Ciudad Lineal;154. Concepción;18.062;2.563
2017;15. Ciudad Lineal;155. San Pascual;16.764;1.409
2017;15. Ciudad Lineal;156. San Juan Bautista;11.362;1.030
2017;15. Ciudad Lineal;157. Colina;5.583;602
2017;15. Ciudad Lineal;158. Atalaya;1.421;150
2017;15. Ciudad Lineal;159. Costillares;20.898;1.040
2017;16. Hortaleza;16. Hortaleza;;
2017;16. Hortaleza;16. Hortaleza;;
2017;16. Hortaleza;161. Palomas;6.075;586
2017;16. Hortaleza;162. Piovera;12.513;1.988
2017;16. Hortaleza;163. Canillas;37.357;3.238
2017;16. Hortaleza;164. Pinar del Rey;47.285;4.783
2017;16. Hortaleza;165. Apóstol Santiago;14.053;1.106
2017;16. Hortaleza;166. Valdefuentes;47.948;4.353
2017;17. Villaverde;17. Villaverde;;
2017;17. Villaverde;17. Villaverde;;
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;36.166;7.546
2017;17. Villaverde;172. San Cristóbal;10.817;4.393
2017;17. Villaverde;173. Butarque;15.323;2.127
2017;17. Villaverde;174. Los Rosales;30.512;6.165
2017;17. Villaverde;175. Ángeles;26.231;4.175
2017;18. Villa de Vallecas;18. Villa de Vallecas;;
2017;18. Villa de Vallecas;18. Villa de Vallecas;;
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;71.518;8.835
2017;18. Villa de Vallecas;182. Santa Eugenia;21.952;2.284
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;;
2017;19. Vicálvaro;19. Vicálvaro;;
2017;19. Vicálvaro;19. Vicálvaro;;
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;46.890;4.734
2017;19. Vicálvaro;192. Valdebernardo;15.543;2.976
2017;19. Vicálvaro;193. Valderribas;;
2017;19. Vicálvaro;194. El Cañaveral;;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2017;20. San Blas-Canillejas;201. Simancas;22.926;3.806
2017;20. San Blas-Canillejas;202. Hellín;8.060;849
2017;20. San Blas-Canillejas;203. Amposta;7.243;1.042
2017;20. San Blas-Canillejas;204. Arcos;21.866;2.000
2017;20. San Blas-Canillejas;205. Rosas;30.152;1.469
2017;20. San Blas-Canillejas;206. Rejas;13.654;2.315
2017;20. San Blas-Canillejas;207. Canillejas;24.691;3.830
2017;20. San Blas-Canillejas;208. El Salvador;10.543;795
2017;21. Barajas;21. Barajas;;
