AÑO;DISTRITO;BARRIO;A Agricultura, ganadería, silvicultura y pesca;B Industrias extractivas;C Industria manufacturera;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;F Construcción;"G Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";H Transporte y almacenamiento;I Hostelería;J Información y comunicaciones;K Actividades financieras y de seguros;L Actividades inmobiliarias;M Actividades profesionales, científicas y técnicas;N Actividades administrativas y servicios auxiliares;"O Administración Pública y defensa; Seguridad Social obligatoria";P Educación;Q Actividades sanitarias y de servicios sociales;R Actividades artísticas, recreativas y de entretenimiento;S Otros servicios;T Actividades empleos de personal doméstico y/o productora de servicios;U Actividades de organizaciones y organismos extraterritoriales;Z No consta
2017;01. Centro;01. Centro;;;;;;;;;;;;;;;;;;;;;;
2017;01. Centro;01. Centro;33;35;1.417;98;91;1.328;7.351;1.479;6.488;5.373;1.935;717;7.151;4.652;1.967;5.201;3.923;2.418;1.996;2.255;92;27
2017;01. Centro;011. Palacio;5;3;249;9;15;233;1.089;270;860;965;341;128;1.258;743;392;919;674;459;374;328;15;7
2017;01. Centro;012. Embajadores;6;6;457;26;41;470;2.682;561;2.441;1.695;461;166;1.965;1.761;651;1.920;1.421;841;645;722;25;8
2017;01. Centro;013. Cortes;4;5;117;9;6;116;551;103;517;442;185;75;628;311;170;391;306;196;157;145;12;3
2017;01. Centro;014. Justicia;2;8;175;22;7;145;987;155;685;674;378;124;1.085;503;206;496;437;254;247;320;14;2
2017;01. Centro;015. Universidad;13;10;336;27;21;294;1.648;330;1.519;1.341;474;173;1.884;1.111;463;1.185;906;504;488;624;21;6
2017;01. Centro;016. Sol;3;3;83;5;1;70;394;60;466;256;96;51;331;223;85;290;179;162;85;116;5;1
2017;02. Arganzuela;02. Arganzuela;;;;;;;;;;;;;;;;;;;;;;
2017;02. Arganzuela;02. Arganzuela;58;83;2.648;244;185;1.924;8.043;2.457;4.031;6.347;3.394;653;7.317;5.097;3.553;5.703;6.332;1.515;1.650;2.502;45;20
2017;02. Arganzuela;021. Imperial;6;3;368;37;30;249;1.124;332;529;990;540;95;1.103;684;623;872;891;263;219;229;11;1
2017;02. Arganzuela;022. Acacias;18;6;619;70;40;412;1.861;532;718;1.486;851;157;1.877;1.034;941;1.469;1.585;384;362;361;11;3
2017;02. Arganzuela;023. Chopera;4;3;286;21;21;309;988;346;707;635;262;88;724;804;341;632;734;212;235;574;3;3
2017;02. Arganzuela;024. Legazpi;5;22;461;46;38;286;1.240;344;399;1.093;679;76;1.115;624;518;679;956;150;199;148;5;2
2017;02. Arganzuela;025. Delicias;6;29;524;42;31;364;1.496;462;722;1.170;642;114;1.290;912;578;1.017;1.123;234;315;529;7;5
2017;02. Arganzuela;026. Palos de Moguer;19;19;370;27;25;290;1.276;415;934;935;403;118;1.161;992;472;995;1.003;263;304;650;7;5
2017;02. Arganzuela;027. Atocha;0;1;20;1;0;14;57;26;22;38;17;5;47;47;80;39;40;9;16;11;1;1
2017;03. Retiro;03. Retiro;;;;;;;;;;;;;;;;;;;;;;
2017;03. Retiro;03. Retiro;46;49;1.737;222;143;1.264;5.538;1.487;1.884;4.115;2.989;669;6.552;3.272;2.346;4.132;4.636;898;1.151;1.962;41;8
2017;03. Retiro;031. Pacífico;9;13;471;43;44;348;1.657;491;675;1.198;712;171;1.678;1.014;741;1.220;1.402;268;373;589;13;1
2017;03. Retiro;032. Adelfas;2;10;353;50;32;220;1.028;292;308;744;532;63;957;554;438;622;770;137;171;208;7;2
2017;03. Retiro;033. Estrella;10;8;368;44;19;250;957;242;231;789;650;103;1.267;588;433;843;919;151;190;279;7;0
2017;03. Retiro;034. Ibiza;8;9;273;40;27;217;971;256;448;713;504;143;1.221;560;362;721;792;170;230;449;10;2
2017;03. Retiro;035. Los Jerónimos;8;5;68;12;7;63;237;49;70;201;179;65;466;195;127;196;169;62;63;161;1;1
