AÑO;DISTRITO;BARRIO;General;Autónomos;Empleados de Hogar;Resto
2017;01. Centro;01. Centro;;;;
2017;01. Centro;01. Centro;45.264;10.756;0;7
2017;01. Centro;011. Palacio;7.399;1.934;0;3
2017;01. Centro;012. Embajadores;15.869;3.101;0;1
2017;01. Centro;013. Cortes;3.422;1.027;0;0
2017;01. Centro;014. Justicia;5.330;1.594;0;2
2017;01. Centro;015. Universidad;10.930;2.447;0;1
2017;01. Centro;016. Sol;2.313;652;0;0
2017;02. Arganzuela;02. Arganzuela;;;;
2017;02. Arganzuela;02. Arganzuela;55.340;8.448;1;12
2017;02. Arganzuela;021. Imperial;7.933;1.263;0;3
2017;02. Arganzuela;022. Acacias;12.697;2.097;0;3
2017;02. Arganzuela;023. Chopera;7.018;914;0;0
2017;02. Arganzuela;024. Legazpi;7.836;1.248;0;1
2017;02. Arganzuela;025. Delicias;10.126;1.483;0;3
2017;02. Arganzuela;026. Palos de Moguer;9.291;1.389;1;2
2017;02. Arganzuela;027. Atocha;438;54;0;0
2017;03. Retiro;03. Retiro;;;;
2017;03. Retiro;03. Retiro;37.752;7.369;0;20
2017;03. Retiro;031. Pacífico;11.261;1.865;0;5
2017;03. Retiro;032. Adelfas;6.520;978;0;2
2017;03. Retiro;033. Estrella;6.977;1.368;0;3
2017;03. Retiro;034. Ibiza;6.692;1.428;0;6
2017;03. Retiro;035. Los Jerónimos;1.875;530;0;0
2017;03. Retiro;036. Niño Jesús;4.427;1.200;0;4
2017;04. Salamanca;04. Salamanca;;;;
2017;04. Salamanca;04. Salamanca;44.818;9.899;2;22
2017;04. Salamanca;041. Recoletos;4.110;1.401;0;5
2017;04. Salamanca;042. Goya;9.154;2.032;0;5
2017;04. Salamanca;043. Fuente del Berro;7.003;1.252;1;2
2017;04. Salamanca;044. Guindalera;13.620;2.436;1;5
2017;04. Salamanca;045. Lista;6.313;1.349;0;3
2017;04. Salamanca;046. Castellana;4.618;1.429;0;2
2017;05. Chamartín;05. Chamartín;;;;
2017;05. Chamartín;05. Chamartín;45.034;10.270;0;25
2017;05. Chamartín;051. El Viso;4.792;1.699;0;11
2017;05. Chamartín;052. Prosperidad;12.316;2.006;0;5
2017;05. Chamartín;053. Ciudad Jardín;6.131;1.183;0;2
2017;05. Chamartín;054. Hispanoamérica;9.273;2.312;0;4
2017;05. Chamartín;055. Nueva España;7.157;2.026;0;3
2017;05. Chamartín;056. Castilla;5.365;1.043;0;0
2017;06. Tetuán;06. Tetuán;;;;
2017;06. Tetuán;06. Tetuán;55.111;7.198;0;10
2017;06. Tetuán;061. Bellas Vistas;10.260;1.195;0;0
2017;06. Tetuán;062. Cuatro Caminos;11.483;1.875;0;4
2017;06. Tetuán;063. Castillejos;6.650;1.169;0;4
2017;06. Tetuán;064. Almenara;7.640;864;0;1
2017;06. Tetuán;065. Valdeacederas;9.869;1.111;0;1
2017;06. Tetuán;066. Berruguete;9.209;984;0;0
2017;07. Chamberí;07. Chamberí;;;;
2017;07. Chamberí;07. Chamberí;44.137;9.117;0;21
2017;07. Chamberí;071. Gaztambide;6.976;1.440;0;6
2017;07. Chamberí;072. Arapiles;8.015;1.413;0;5
2017;07. Chamberí;073. Trafalgar;8.483;1.717;0;5
2017;07. Chamberí;074. Almagro;5.819;1.671;0;2
2017;07. Chamberí;075. Ríos Rosas;8.933;1.702;0;2
2017;07. Chamberí;076. Vallehermoso;5.910;1.174;0;1
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;81.096;12.240;0;40
2017;08. Fuencarral-El Pardo;081. El Pardo;1.029;119;0;0
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;771;276;0;0
2017;08. Fuencarral-El Pardo;083. Peñagrande;14.481;2.384;0;6
2017;08. Fuencarral-El Pardo;084. Pilar;15.570;1.829;0;4
2017;08. Fuencarral-El Pardo;085. La Paz;10.385;1.759;0;6
2017;08. Fuencarral-El Pardo;086. Valverde;22.713;2.753;0;8
2017;08. Fuencarral-El Pardo;087. Mirasierra;9.911;2.129;0;7
2017;08. Fuencarral-El Pardo;088. El Goloso;6.236;991;0;9
