AÑO;DISTRITO;BARRIO;Agricultura;Industria;Construcción;Servicios;Otros
2017;01. Centro;01. Centro;;;;;
2017;01. Centro;01. Centro;33;1.641;1.328;52.998;27
2017;01. Centro;011. Palacio;5;276;233;8.815;7
2017;01. Centro;012. Embajadores;6;530;470;17.957;8
2017;01. Centro;013. Cortes;4;137;116;4.189;3
2017;01. Centro;014. Justicia;2;212;145;6.565;2
2017;01. Centro;015. Universidad;13;394;294;12.671;6
2017;01. Centro;016. Sol;3;92;70;2.799;1
2017;02. Arganzuela;02. Arganzuela;;;;;
2017;02. Arganzuela;02. Arganzuela;58;3.160;1.924;58.639;20
2017;02. Arganzuela;021. Imperial;6;438;249;8.505;1
2017;02. Arganzuela;022. Acacias;18;735;412;13.629;3
2017;02. Arganzuela;023. Chopera;4;331;309;7.285;3
2017;02. Arganzuela;024. Legazpi;5;567;286;8.225;2
2017;02. Arganzuela;025. Delicias;6;626;364;10.611;5
2017;02. Arganzuela;026. Palos de Moguer;19;441;290;9.928;5
2017;02. Arganzuela;027. Atocha;0;22;14;455;1
2017;03. Retiro;03. Retiro;;;;;
2017;03. Retiro;03. Retiro;46;2.151;1.264;41.672;8
2017;03. Retiro;031. Pacífico;9;571;348;12.202;1
2017;03. Retiro;032. Adelfas;2;445;220;6.831;2
2017;03. Retiro;033. Estrella;10;439;250;7.649;0
2017;03. Retiro;034. Ibiza;8;349;217;7.550;2
2017;03. Retiro;035. Los Jerónimos;8;92;63;2.241;1
2017;03. Retiro;036. Niño Jesús;9;255;166;5.199;2
2017;04. Salamanca;04. Salamanca;;;;;
2017;04. Salamanca;04. Salamanca;87;2.266;1.446;50.926;16
2017;04. Salamanca;041. Recoletos;15;190;139;5.166;6
2017;04. Salamanca;042. Goya;14;490;265;10.420;2
2017;04. Salamanca;043. Fuente del Berro;7;362;242;7.644;3
2017;04. Salamanca;044. Guindalera;13;725;428;14.893;3
2017;04. Salamanca;045. Lista;8;328;195;7.132;2
2017;04. Salamanca;046. Castellana;30;171;177;5.671;0
2017;05. Chamartín;05. Chamartín;;;;;
2017;05. Chamartín;05. Chamartín;81;2.371;1.538;51.328;11
2017;05. Chamartín;051. El Viso;26;187;202;6.085;2
2017;05. Chamartín;052. Prosperidad;9;657;397;13.260;4
2017;05. Chamartín;053. Ciudad Jardín;7;305;207;6.794;3
2017;05. Chamartín;054. Hispanoamérica;14;512;316;10.746;1
2017;05. Chamartín;055. Nueva España;20;414;269;8.482;1
2017;05. Chamartín;056. Castilla;5;296;147;5.960;0
2017;06. Tetuán;06. Tetuán;;;;;
2017;06. Tetuán;06. Tetuán;44;2.384;2.182;57.677;32
2017;06. Tetuán;061. Bellas Vistas;7;344;390;10.709;5
2017;06. Tetuán;062. Cuatro Caminos;12;541;389;12.414;6
2017;06. Tetuán;063. Castillejos;6;318;217;7.281;1
2017;06. Tetuán;064. Almenara;8;330;332;7.828;7
2017;06. Tetuán;065. Valdeacederas;4;472;456;10.044;5
2017;06. Tetuán;066. Berruguete;7;379;398;9.401;8
2017;07. Chamberí;07. Chamberí;;;;;
2017;07. Chamberí;07. Chamberí;75;2.014;1.281;49.884;21
2017;07. Chamberí;071. Gaztambide;14;296;188;7.918;6
2017;07. Chamberí;072. Arapiles;7;329;235;8.860;2
2017;07. Chamberí;073. Trafalgar;8;399;237;9.557;4
2017;07. Chamberí;074. Almagro;23;244;195;7.026;4
2017;07. Chamberí;075. Ríos Rosas;8;441;266;9.919;3
2017;07. Chamberí;076. Vallehermoso;15;304;160;6.604;2
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;81;4.640;3.373;85.254;28
2017;08. Fuencarral-El Pardo;081. El Pardo;4;32;18;1.093;1
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;11;42;38;956;0
2017;08. Fuencarral-El Pardo;083. Peñagrande;10;820;619;15.415;7
2017;08. Fuencarral-El Pardo;084. Pilar;10;764;673;15.952;4
2017;08. Fuencarral-El Pardo;085. La Paz;13;627;328;11.180;2
2017;08. Fuencarral-El Pardo;086. Valverde;17;1.276;1.008;23.167;6
