AÑO;DISTRITO;BARRIO;Superficie (Ha);Densidad (Hab./Ha)
2017;01. Centro;01. Centro;;
2017;01. Centro;01. Centro;522,82;253,15
2017;01. Centro;011. Palacio;146,99;153,17
2017;01. Centro;012. Embajadores;103,37;431,74
2017;01. Centro;013. Cortes;59,19;177,93
2017;01. Centro;014. Justicia;73,94;224,20
2017;01. Centro;015. Universidad;94,80;325,91
2017;01. Centro;016. Sol;44,53;161,71
2017;02. Arganzuela;02. Arganzuela;;
2017;02. Arganzuela;02. Arganzuela;646,22;236,62
2017;02. Arganzuela;021. Imperial;96,77;234,78
2017;02. Arganzuela;022. Acacias;107,34;342,37
2017;02. Arganzuela;023. Chopera;56,78;348,70
2017;02. Arganzuela;024. Legazpi;141,45;136,11
2017;02. Arganzuela;025. Delicias;105,47;260,49
2017;02. Arganzuela;026. Palos de Moguer;64,84;397,07
2017;02. Arganzuela;027. Atocha;73,57;15,84
2017;03. Retiro;03. Retiro;;
2017;03. Retiro;03. Retiro;546,62;217,72
2017;03. Retiro;031. Pacífico;75,83;443,14
2017;03. Retiro;032. Adelfas;64,08;286,29
2017;03. Retiro;033. Estrella;102,55;226,60
2017;03. Retiro;034. Ibiza;49,20;436,45
2017;03. Retiro;035. Los Jerónimos;190,64;37,11
2017;03. Retiro;036. Niño Jesús;64,33;237,53
2017;04. Salamanca;04. Salamanca;;
2017;04. Salamanca;04. Salamanca;539,24;269,39
2017;04. Salamanca;041. Recoletos;87,31;180,45
2017;04. Salamanca;042. Goya;77,03;384,32
2017;04. Salamanca;043. Fuente del Berro;85,26;243,34
2017;04. Salamanca;044. Guindalera;160,28;257,42
2017;04. Salamanca;045. Lista;52,02;402,83
2017;04. Salamanca;046. Castellana;77,34;219,11
2017;05. Chamartín;05. Chamartín;;
2017;05. Chamartín;05. Chamartín;917,55;157,91
2017;05. Chamartín;051. El Viso;170,92;100,31
2017;05. Chamartín;052. Prosperidad;104,01;351,15
2017;05. Chamartín;053. Ciudad Jardín;76,23;242,51
2017;05. Chamartín;054. Hispanoamérica;171,25;183,20
2017;05. Chamartín;055. Nueva España;179,01;136,84
2017;05. Chamartín;056. Castilla;216,13;78,06
2017;06. Tetuán;06. Tetuán;;
2017;06. Tetuán;06. Tetuán;537,47;290,19
2017;06. Tetuán;061. Bellas Vistas;71,52;402
2017;06. Tetuán;062. Cuatro Caminos;118,50;289,05
2017;06. Tetuán;063. Castillejos;70,47;288,97
2017;06. Tetuán;064. Almenara;99,94;224,35
2017;06. Tetuán;065. Valdeacederas;116,34;219,79
2017;06. Tetuán;066. Berruguete;60,71;405,36
2017;07. Chamberí;07. Chamberí;;
2017;07. Chamberí;07. Chamberí;467,92;295,82
2017;07. Chamberí;071. Gaztambide;50,65;447,52
2017;07. Chamberí;072. Arapiles;57,82;420,85
2017;07. Chamberí;073. Trafalgar;61,19;400,78
2017;07. Chamberí;074. Almagro;93,79;211,09
2017;07. Chamberí;075. Ríos Rosas;97,54;277,31
2017;07. Chamberí;076. Vallehermoso;106,92;187,48
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;23.783,84;10,21
2017;08. Fuencarral-El Pardo;081. El Pardo;18.758,34;0,18
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;138,26;23,39
2017;08. Fuencarral-El Pardo;083. Peñagrande;288,73;153,82
2017;08. Fuencarral-El Pardo;084. Pilar;136,32;338,13
2017;08. Fuencarral-El Pardo;085. La Paz;215,48;156,78
2017;08. Fuencarral-El Pardo;086. Valverde;898,12;68,97
2017;08. Fuencarral-El Pardo;087. Mirasierra;699,28;45,84
2017;08. Fuencarral-El Pardo;088. El Goloso;2.649,31;6,78
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;4.653,11;25,32
2017;09. Moncloa-Aravaca;091. Casa de Campo;1.746,06;7,39
2017;09. Moncloa-Aravaca;092. Argüelles;75,75;316,71
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;1.425,09;11,30
2017;09. Moncloa-Aravaca;094. Valdezarza;139,75;210,51
2017;09. Moncloa-Aravaca;095. Valdemarín;330,25;19,86
2017;09. Moncloa-Aravaca;096. El Plantío;352,82;7,71
2017;09. Moncloa-Aravaca;097. Aravaca;583,40;44,82
2017;10. Latina;10. Latina;;
2017;10. Latina;10. Latina;2.542,72;92,73
2017;10. Latina;101. Los Cármenes;129,20;133,07
2017;10. Latina;102. Puerta del Ángel;137,53;301
2017;10. Latina;103. Lucero;167,90;211,36
2017;10. Latina;104. Aluche;284,98;231,46
2017;10. Latina;105. Campamento;919,14;20,65
2017;10. Latina;106. Cuatro Vientos;543,01;10,43
2017;10. Latina;107. Águilas;360,96;141,57
2017;11. Carabanchel;11. Carabanchel;;
2017;11. Carabanchel;11. Carabanchel;1.404,83;176,69
2017;11. Carabanchel;111. Comillas;66,61;334,01
2017;11. Carabanchel;112. Opañel;110,73;293,44
2017;11. Carabanchel;113. San Isidro;189,93;202,99
2017;11. Carabanchel;114. Vista Alegre;158,92;283,21
2017;11. Carabanchel;115. Puerta Bonita;160,86;210,94
2017;11. Carabanchel;116. Buenavista;561,32;82,33
2017;11. Carabanchel;117. Abrantes;156,46;190,27
2017;12. Usera;12. Usera;;
