AÑO;DISTRITO;BARRIO;Tamaño medio del hogar;Total Hogares
2017;01. Centro;01. Centro;;
2017;01. Centro;01. Centro;66.411;1,99
2017;01. Centro;011. Palacio;11.196;2,01
2017;01. Centro;012. Embajadores;21.888;2,04
2017;01. Centro;013. Cortes;5.425;1,94
2017;01. Centro;014. Justicia;8.371;1,98
2017;01. Centro;015. Universidad;15.803;1,96
2017;01. Centro;016. Sol;3.728;1,93
2017;02. Arganzuela;02. Arganzuela;;
2017;02. Arganzuela;02. Arganzuela;64.576;2,37
2017;02. Arganzuela;021. Imperial;9.615;2,36
2017;02. Arganzuela;022. Acacias;15.376;2,39
2017;02. Arganzuela;023. Chopera;8.497;2,33
2017;02. Arganzuela;024. Legazpi;7.488;2,57
2017;02. Arganzuela;025. Delicias;11.471;2,39
2017;02. Arganzuela;026. Palos de Moguer;11.708;2,20
2017;02. Arganzuela;027. Atocha;421;2,77
2017;03. Retiro;03. Retiro;;
2017;03. Retiro;03. Retiro;48.504;2,45
2017;03. Retiro;031. Pacífico;14.628;2,30
2017;03. Retiro;032. Adelfas;7.577;2,42
2017;03. Retiro;033. Estrella;8.622;2,70
2017;03. Retiro;034. Ibiza;9.238;2,32
2017;03. Retiro;035. Los Jerónimos;2.810;2,52
2017;03. Retiro;036. Niño Jesús;5.629;2,71
2017;04. Salamanca;04. Salamanca;;
2017;04. Salamanca;04. Salamanca;62.613;2,32
2017;04. Salamanca;041. Recoletos;6.674;2,36
2017;04. Salamanca;042. Goya;13.171;2,25
2017;04. Salamanca;043. Fuente del Berro;9.169;2,26
2017;04. Salamanca;044. Guindalera;17.513;2,36
2017;04. Salamanca;045. Lista;9.222;2,27
2017;04. Salamanca;046. Castellana;6.864;2,47
2017;05. Chamartín;05. Chamartín;;
2017;05. Chamartín;05. Chamartín;57.829;2,51
2017;05. Chamartín;051. El Viso;6.060;2,83
2017;05. Chamartín;052. Prosperidad;15.842;2,31
2017;05. Chamartín;053. Ciudad Jardín;7.899;2,34
2017;05. Chamartín;054. Hispanoamérica;12.281;2,55
2017;05. Chamartín;055. Nueva España;9.164;2,67
2017;05. Chamartín;056. Castilla;6.583;2,56
2017;06. Tetuán;06. Tetuán;;
2017;06. Tetuán;06. Tetuán;65.822;2,37
2017;06. Tetuán;061. Bellas Vistas;11.767;2,44
2017;06. Tetuán;062. Cuatro Caminos;14.866;2,30
2017;06. Tetuán;063. Castillejos;9.266;2,20
2017;06. Tetuán;064. Almenara;9.286;2,41
2017;06. Tetuán;065. Valdeacederas;10.494;2,44
2017;06. Tetuán;066. Berruguete;10.143;2,43
2017;07. Chamberí;07. Chamberí;;
2017;07. Chamberí;07. Chamberí;61.491;2,25
2017;07. Chamberí;071. Gaztambide;10.359;2,19
2017;07. Chamberí;072. Arapiles;11.137;2,19
2017;07. Chamberí;073. Trafalgar;11.622;2,11
2017;07. Chamberí;074. Almagro;8.033;2,46
2017;07. Chamberí;075. Ríos Rosas;12.014;2,25
2017;07. Chamberí;076. Vallehermoso;8.326;2,41
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;89.552;2,71
2017;08. Fuencarral-El Pardo;081. El Pardo;1.317;2,62
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;1.107;2,92
2017;08. Fuencarral-El Pardo;083. Peñagrande;16.860;2,63
2017;08. Fuencarral-El Pardo;084. Pilar;19.413;2,37
2017;08. Fuencarral-El Pardo;085. La Paz;12.541;2,69
2017;08. Fuencarral-El Pardo;086. Valverde;22.497;2,75
2017;08. Fuencarral-El Pardo;087. Mirasierra;10.333;3,10
2017;08. Fuencarral-El Pardo;088. El Goloso;5.484;3,27
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;45.219;2,61
2017;09. Moncloa-Aravaca;091. Casa de Campo;5.575;2,31
2017;09. Moncloa-Aravaca;092. Argüelles;10.373;2,31
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;6.103;2,64
2017;09. Moncloa-Aravaca;094. Valdezarza;12.093;2,43
2017;09. Moncloa-Aravaca;095. Valdemarín;1.868;3,51
2017;09. Moncloa-Aravaca;096. El Plantío;844;3,22
2017;09. Moncloa-Aravaca;097. Aravaca;8.363;3,13
2017;10. Latina;10. Latina;;
2017;10. Latina;10. Latina;94.600;2,49
2017;10. Latina;101. Los Cármenes;6.518;2,64
2017;10. Latina;102. Puerta del Ángel;17.385;2,38
2017;10. Latina;103. Lucero;13.969;2,54
2017;10. Latina;104. Aluche;26.505;2,49
2017;10. Latina;105. Campamento;7.340;2,59
2017;10. Latina;106. Cuatro Vientos;2.180;2,60
2017;10. Latina;107. Águilas;20.703;2,47
2017;11. Carabanchel;11. Carabanchel;;
2017;11. Carabanchel;11. Carabanchel;94.780;2,62
