AÑO;DISTRITO;BARRIO;Tasa migracion
2017;01. Centro;01. Centro;
2017;01. Centro;01. Centro;32,47
2017;01. Centro;011. Palacio;29,78
2017;01. Centro;012. Embajadores;31,73
2017;01. Centro;013. Cortes;32,97
2017;01. Centro;014. Justicia;39,69
2017;01. Centro;015. Universidad;33,24
2017;01. Centro;016. Sol;24,89
2017;02. Arganzuela;02. Arganzuela;
2017;02. Arganzuela;02. Arganzuela;17,41
2017;02. Arganzuela;021. Imperial;15,78
2017;02. Arganzuela;022. Acacias;10,76
2017;02. Arganzuela;023. Chopera;17,14
2017;02. Arganzuela;024. Legazpi;17,60
2017;02. Arganzuela;025. Delicias;19,37
2017;02. Arganzuela;026. Palos de Moguer;25,64
2017;02. Arganzuela;027. Atocha;33,42
2017;03. Retiro;03. Retiro;
2017;03. Retiro;03. Retiro;15,54
2017;03. Retiro;031. Pacífico;12,58
2017;03. Retiro;032. Adelfas;19,46
2017;03. Retiro;033. Estrella;10,73
2017;03. Retiro;034. Ibiza;23,49
2017;03. Retiro;035. Los Jerónimos;17,13
2017;03. Retiro;036. Niño Jesús;12,81
2017;04. Salamanca;04. Salamanca;
2017;04. Salamanca;04. Salamanca;33,37
2017;04. Salamanca;041. Recoletos;41,19
2017;04. Salamanca;042. Goya;32,44
2017;04. Salamanca;043. Fuente del Berro;25,94
2017;04. Salamanca;044. Guindalera;30,67
2017;04. Salamanca;045. Lista;37,64
2017;04. Salamanca;046. Castellana;38,10
2017;05. Chamartín;05. Chamartín;
2017;05. Chamartín;05. Chamartín;23,93
2017;05. Chamartín;051. El Viso;22,98
2017;05. Chamartín;052. Prosperidad;24,79
2017;05. Chamartín;053. Ciudad Jardín;25,54
2017;05. Chamartín;054. Hispanoamérica;16,96
2017;05. Chamartín;055. Nueva España;28,43
2017;05. Chamartín;056. Castilla;27,79
2017;06. Tetuán;06. Tetuán;
2017;06. Tetuán;06. Tetuán;31,08
2017;06. Tetuán;061. Bellas Vistas;33,37
2017;06. Tetuán;062. Cuatro Caminos;26,57
2017;06. Tetuán;063. Castillejos;35,39
2017;06. Tetuán;064. Almenara;35,40
2017;06. Tetuán;065. Valdeacederas;28,16
2017;06. Tetuán;066. Berruguete;30,25
2017;07. Chamberí;07. Chamberí;
2017;07. Chamberí;07. Chamberí;26,23
2017;07. Chamberí;071. Gaztambide;32,35
2017;07. Chamberí;072. Arapiles;26,84
2017;07. Chamberí;073. Trafalgar;23,90
2017;07. Chamberí;074. Almagro;20,96
2017;07. Chamberí;075. Ríos Rosas;23,46
2017;07. Chamberí;076. Vallehermoso;30,38
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;21,48
2017;08. Fuencarral-El Pardo;081. El Pardo;25,40
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;15,55
2017;08. Fuencarral-El Pardo;083. Peñagrande;10,31
2017;08. Fuencarral-El Pardo;084. Pilar;17,13
2017;08. Fuencarral-El Pardo;085. La Paz;5,83
2017;08. Fuencarral-El Pardo;086. Valverde;32,36
2017;08. Fuencarral-El Pardo;087. Mirasierra;35,76
2017;08. Fuencarral-El Pardo;088. El Goloso;28,11
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;22,05
2017;09. Moncloa-Aravaca;091. Casa de Campo;19,58
2017;09. Moncloa-Aravaca;092. Argüelles;27,46
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;22,58
2017;09. Moncloa-Aravaca;094. Valdezarza;17,59
2017;09. Moncloa-Aravaca;095. Valdemarín;28,37
2017;09. Moncloa-Aravaca;096. El Plantío;2,57
2017;09. Moncloa-Aravaca;097. Aravaca;23,45
2017;10. Latina;10. Latina;
2017;10. Latina;10. Latina;21,43
2017;10. Latina;101. Los Cármenes;21,09
2017;10. Latina;102. Puerta del Ángel;25,02
2017;10. Latina;103. Lucero;22,05
2017;10. Latina;104. Aluche;22,55
2017;10. Latina;105. Campamento;26,75
2017;10. Latina;106. Cuatro Vientos;31,63
2017;10. Latina;107. Águilas;13,70
2017;11. Carabanchel;11. Carabanchel;
2017;11. Carabanchel;11. Carabanchel;29,48
2017;11. Carabanchel;111. Comillas;20,07
2017;11. Carabanchel;112. Opañel;27,22
2017;11. Carabanchel;113. San Isidro;30,45
2017;11. Carabanchel;114. Vista Alegre;31,70
2017;11. Carabanchel;115. Puerta Bonita;43,33
2017;11. Carabanchel;116. Buenavista;23,62
2017;11. Carabanchel;117. Abrantes;27,80
2017;12. Usera;12. Usera;
2017;12. Usera;12. Usera;28,66
2017;12. Usera;121. Orcasitas;14,68
2017;12. Usera;122. Orcasur;24,38
2017;12. Usera;123. San Fermín;23,32
2017;12. Usera;124. Almendrales;38,59
2017;12. Usera;125. Moscardó;28,35
2017;12. Usera;126. Zofío;36,18
2017;12. Usera;127. Pradolongo;40,12
2017;13. Puente de Vallecas;13. Puente de Vallecas;
2017;13. Puente de Vallecas;13. Puente de Vallecas;24,24
2017;13. Puente de Vallecas;131. Entrevías;23,81
2017;13. Puente de Vallecas;132. San Diego;41,48
2017;13. Puente de Vallecas;133. Palomeras Bajas;16,63
2017;13. Puente de Vallecas;134. Palomeras Sureste;12,01
2017;13. Puente de Vallecas;135. Portazgo;22,78
2017;13. Puente de Vallecas;136. Numancia;28,26
2017;14. Moratalaz;14. Moratalaz;
2017;14. Moratalaz;14. Moratalaz;10,34
2017;14. Moratalaz;141. Pavones;14,95
2017;14. Moratalaz;142. Horcajo;-13,95
2017;14. Moratalaz;143. Marroquina;7,42
2017;14. Moratalaz;144. Media Legua;5,40
2017;14. Moratalaz;145. Fontarrón;22,97
2017;14. Moratalaz;146. Vinateros;14,41
2017;15. Ciudad Lineal;15. Ciudad Lineal;
2017;15. Ciudad Lineal;15. Ciudad Lineal;21,23
2017;15. Ciudad Lineal;151. Ventas;24,37
2017;15. Ciudad Lineal;152. Pueblo Nuevo;23,77
2017;15. Ciudad Lineal;153. Quintana;29,20
2017;15. Ciudad Lineal;154. Concepción;26,37
2017;15. Ciudad Lineal;155. San Pascual;7,96
2017;15. Ciudad Lineal;156. San Juan Bautista;10
2017;15. Ciudad Lineal;157. Colina;32,88
2017;15. Ciudad Lineal;158. Atalaya;10,20
2017;15. Ciudad Lineal;159. Costillares;8,51
2017;16. Hortaleza;16. Hortaleza;
2017;16. Hortaleza;16. Hortaleza;23,52
2017;16. Hortaleza;161. Palomas;15,80
2017;16. Hortaleza;162. Piovera;29,18
2017;16. Hortaleza;163. Canillas;11,86
2017;16. Hortaleza;164. Pinar del Rey;16,04
2017;16. Hortaleza;165. Apóstol Santiago;12,61
2017;16. Hortaleza;166. Valdefuentes;42,35
2017;17. Villaverde;17. Villaverde;
2017;17. Villaverde;17. Villaverde;29,33
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;26,30
