AÑO;DISTRITO;Apartamento turístico  Establecimientos;Apartamento turístico  Habitaciones;Apartamento turístico  Plazas;     Hotel-apartamento Establecimientos;     Hotel-apartamento Habitaciones;     Hotel-apartamento Plazas;     Vivienda de uso turístico Establecimientos;     Vivienda de uso turístico Habitaciones;     Vivienda de uso turístico Plazas
2017;Ciudad de Madrid;94;4.534;9.674;10;570;1.354;8.351;8.869;10.973
2017;01. Centro;41;718;1.689;1;33;66;5.385;5.706;7.213
2017;02. Arganzuela;4;20;36;0;0;0;338;361;406
2017;03. Retiro;1;19;51;0;0;0;262;275;307
2017;04. Salamanca;8;415;973;1;14;28;546;557;590
2017;05. Chamartín;7;382;990;2;71;175;195;206;232
2017;06. Tetuán;4;311;677;0;0;0;240;284;367
2017;07. Chamberí;4;167;437;0;0;0;431;484;624
2017;08. Fuencarral-El Pardo;0;0;0;0;0;0;31;33;36
2017;09. Moncloa-Aravaca;11;359;970;0;0;0;305;325;494
2017;10. Latina;1;10;52;0;0;0;69;71;76
2017;11. Carabanchel;0;0;0;0;0;0;78;86;121
2017;12. Usera;0;0;0;0;0;0;31;30;31
2017;13. Puente de Vallecas;1;13;26;0;0;0;63;64;66
2017;14. Moratalaz;0;0;0;0;0;0;8;8;8
2017;15. Ciudad Lineal;0;0;0;2;158;402;104;105;111
2017;16. Hortaleza;0;0;0;0;0;0;38;42;47
2017;17. Villaverde;1;1;1;2;111;222;17;18;20
2017;18. Villa de Vallecas;1;367;734;0;0;0;9;9;9
2017;19. Vicálvaro;0;0;0;1;88;176;1;1;1
2017;20. San Blas-Canillejas;10;1.752;3.038;0;0;0;183;184;186
2017;21. Barajas;0;0;0;1;95;285;17;20;28
2018;Ciudad de Madrid;96;4.418;9.487;11;594;1.400;10.279;10.946;13.450
2018;01. Centro;41;755;1.786;1;33;66;6.351;6.687;8.334
2018;02. Arganzuela;4;20;36;0;0;0;426;456;521
2018;03. Retiro;1;19;51;0;0;0;309;333;394
2018;04. Salamanca;8;415;973;2;38;74;765;795;894
2018;05. Chamartín;7;382;990;2;71;175;239;262;279
2018;06. Tetuán;4;120;278;0;0;0;426;478;612
2018;07. Chamberí;5;204;551;0;0;0;564;657;810
2018;08. Fuencarral-El Pardo;0;0;0;0;0;0;44;46;58
2018;09. Moncloa-Aravaca;12;360;971;0;0;0;347;367;529
2018;10. Latina;1;10;52;0;0;0;86;95;120
2018;11. Carabanchel;0;0;0;0;0;0;114;126;166
2018;12. Usera;0;0;0;0;0;0;40;40;40
2018;13. Puente de Vallecas;2;380;760;0;0;0;125;137;174
2018;14. Moratalaz;0;0;0;0;0;0;8;9;11
2018;15. Ciudad Lineal;0;0;0;2;158;402;125;130;146
2018;16. Hortaleza;0;0;0;0;0;0;53;59;65
2018;17. Villaverde;1;1;1;2;111;222;18;19;24
2018;18. Villa de Vallecas;0;0;0;0;0;0;17;18;20
2018;19. Vicálvaro;0;0;0;1;88;176;2;2;2
2018;20. San Blas-Canillejas;10;1.752;3.038;0;0;0;199;205;219
2018;21. Barajas;0;0;0;1;95;285;21;25;32
2019;Ciudad de Madrid;104;4.599;10.165;12;600;1.408;11.756;14.126;22.937
2019;01. Centro;46;777;2.086;1;33;66;7.177;8.453;13.923
2019;02. Arganzuela;4;20;36;0;0;0;520;627;985
2019;03. Retiro;1;19;51;0;0;0;364;467;730
2019;04. Salamanca;8;415;973;2;38;74;861;1.029;1.534
2019;05. Chamartín;7;426;1.087;2;71;175;312;393;642
2019;06. Tetuán;5;121;302;1;6;8;480;579;869
2019;07. Chamberí;5;264;671;0;0;0;719;927;1.577
2019;08. Fuencarral-El Pardo;0;0;0;0;0;0;49;60;99
2019;09. Moncloa-Aravaca;12;407;1.095;0;0;0;296;354;553
2019;10. Latina;1;10;52;0;0;0;122;148;262
2019;11. Carabanchel;1;6;12;0;0;0;133;166;274
2019;12. Usera;1;1;1;0;0;0;54;58;79
2019;13. Puente de Vallecas;2;380;760;0;0;0;176;259;518
2019;14. Moratalaz;0;0;0;0;0;0;12;19;34
2019;15. Ciudad Lineal;0;0;0;2;158;402;150;182;273
2019;16. Hortaleza;0;0;0;0;0;0;69;105;192
2019;17. Villaverde;1;1;1;2;111;222;18;24;38
2019;18. Villa de Vallecas;0;0;0;0;0;0;18;21;26
2019;19. Vicálvaro;0;0;0;1;88;176;5;9;19
2019;20. San Blas-Canillejas;10;1.752;3.038;0;0;0;195;210;249
2019;21. Barajas;0;0;0;1;95;285;26;36;61
2020;Ciudad de Madrid;105;-;10.674;13;-;1.497;11.537;-;22.574
2020;01. Centro;48;-;2.643;2;-;158;7.018;-;13.640
2020;02. Arganzuela;4;-;36;0;-;0;516;-;980
2020;03. Retiro;1;-;51;0;-;0;358;-;716
2020;04. Salamanca;8;-;887;2;-;74;850;-;1.526
2020;05. Chamartín;6;-;1.053;2;-;172;307;-;631
2020;06. Tetuán;4;-;301;1;-;8;472;-;865
2020;07. Chamberí;5;-;671;0;-;0;708;-;1.554
2020;08. Fuencarral-El Pardo;0;-;0;0;-;0;48;-;98
2020;09. Moncloa-Aravaca;12;-;1.095;0;-;0;291;-;536
2020;10. Latina;1;-;52;0;-;0;121;-;264
2020;11. Carabanchel;3;-;86;0;-;0;128;-;267
2020;12. Usera;0;-;0;0;-;0;57;-;85
2020;13. Puente de Vallecas;2;-;760;0;-;0;170;-;506
2020;14. Moratalaz;0;-;0;0;-;0;12;-;36
2020;15. Ciudad Lineal;0;-;0;2;-;402;152;-;279
2020;16. Hortaleza;0;-;0;0;-;0;67;-;185
2020;17. Villaverde;1;-;1;2;-;222;20;-;46
2020;18. Villa de Vallecas;0;-;0;0;-;0;18;-;26
2020;19. Vicálvaro;0;-;0;1;-;176;2;-;9
2020;20. San Blas-Canillejas;10;-;3.038;0;-;0;196;-;257
2020;21. Barajas;0;-;0;1;-;285;26;-;68
