AÑO;DISTRITO;BARRIO;Num personas viven solas
2017;01. Centro;01. Centro;
2017;01. Centro;01. Centro;32.234
2017;01. Centro;011. Palacio;5.280
2017;01. Centro;012. Embajadores;10.496
2017;01. Centro;013. Cortes;2.702
2017;01. Centro;014. Justicia;4.100
2017;01. Centro;015. Universidad;7.775
2017;01. Centro;016. Sol;1.881
2017;02. Arganzuela;02. Arganzuela;
2017;02. Arganzuela;02. Arganzuela;21.782
2017;02. Arganzuela;021. Imperial;3.169
2017;02. Arganzuela;022. Acacias;4.914
2017;02. Arganzuela;023. Chopera;2.959
2017;02. Arganzuela;024. Legazpi;2.045
2017;02. Arganzuela;025. Delicias;3.869
2017;02. Arganzuela;026. Palos de Moguer;4.722
2017;02. Arganzuela;027. Atocha;104
2017;03. Retiro;03. Retiro;
2017;03. Retiro;03. Retiro;15.187
2017;03. Retiro;031. Pacífico;5.086
2017;03. Retiro;032. Adelfas;2.371
2017;03. Retiro;033. Estrella;1.988
2017;03. Retiro;034. Ibiza;3.332
2017;03. Retiro;035. Los Jerónimos;933
2017;03. Retiro;036. Niño Jesús;1.477
2017;04. Salamanca;04. Salamanca;
2017;04. Salamanca;04. Salamanca;23.686
2017;04. Salamanca;041. Recoletos;2.662
2017;04. Salamanca;042. Goya;5.135
2017;04. Salamanca;043. Fuente del Berro;3.446
2017;04. Salamanca;044. Guindalera;6.217
2017;04. Salamanca;045. Lista;3.617
2017;04. Salamanca;046. Castellana;2.609
2017;05. Chamartín;05. Chamartín;
2017;05. Chamartín;05. Chamartín;19.259
2017;05. Chamartín;051. El Viso;1.736
2017;05. Chamartín;052. Prosperidad;5.713
2017;05. Chamartín;053. Ciudad Jardín;2.829
2017;05. Chamartín;054. Hispanoamérica;3.965
2017;05. Chamartín;055. Nueva España;2.943
2017;05. Chamartín;056. Castilla;2.073
2017;06. Tetuán;06. Tetuán;
2017;06. Tetuán;06. Tetuán;24.368
2017;06. Tetuán;061. Bellas Vistas;4.345
2017;06. Tetuán;062. Cuatro Caminos;5.699
2017;06. Tetuán;063. Castillejos;3.747
2017;06. Tetuán;064. Almenara;3.227
2017;06. Tetuán;065. Valdeacederas;3.663
2017;06. Tetuán;066. Berruguete;3.687
2017;07. Chamberí;07. Chamberí;
2017;07. Chamberí;07. Chamberí;24.524
2017;07. Chamberí;071. Gaztambide;4.247
2017;07. Chamberí;072. Arapiles;4.515
2017;07. Chamberí;073. Trafalgar;5.089
2017;07. Chamberí;074. Almagro;3.006
2017;07. Chamberí;075. Ríos Rosas;4.702
2017;07. Chamberí;076. Vallehermoso;2.965
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;21.954
2017;08. Fuencarral-El Pardo;081. El Pardo;398
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;257
2017;08. Fuencarral-El Pardo;083. Peñagrande;4.118
2017;08. Fuencarral-El Pardo;084. Pilar;5.910
2017;08. Fuencarral-El Pardo;085. La Paz;2.532
2017;08. Fuencarral-El Pardo;086. Valverde;5.622
2017;08. Fuencarral-El Pardo;087. Mirasierra;1.997
2017;08. Fuencarral-El Pardo;088. El Goloso;1.120
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;13.615
2017;09. Moncloa-Aravaca;091. Casa de Campo;1.983
2017;09. Moncloa-Aravaca;092. Argüelles;3.944
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;1.883
2017;09. Moncloa-Aravaca;094. Valdezarza;3.651
2017;09. Moncloa-Aravaca;095. Valdemarín;356
2017;09. Moncloa-Aravaca;096. El Plantío;155
2017;09. Moncloa-Aravaca;097. Aravaca;1.643
2017;10. Latina;10. Latina;
2017;10. Latina;10. Latina;27.506
2017;10. Latina;101. Los Cármenes;1.755
2017;10. Latina;102. Puerta del Ángel;6.062
2017;10. Latina;103. Lucero;4.078
2017;10. Latina;104. Aluche;7.245
2017;10. Latina;105. Campamento;2.029
2017;10. Latina;106. Cuatro Vientos;703
2017;10. Latina;107. Águilas;5.634
2017;11. Carabanchel;11. Carabanchel;
2017;11. Carabanchel;11. Carabanchel;27.249
2017;11. Carabanchel;111. Comillas;3.268
2017;11. Carabanchel;112. Opañel;4.200
2017;11. Carabanchel;113. San Isidro;4.568
2017;11. Carabanchel;114. Vista Alegre;4.833
2017;11. Carabanchel;115. Puerta Bonita;3.355
2017;11. Carabanchel;116. Buenavista;4.177
2017;11. Carabanchel;117. Abrantes;2.848
2017;12. Usera;12. Usera;
2017;12. Usera;12. Usera;12.962
2017;12. Usera;121. Orcasitas;2.022
2017;12. Usera;122. Orcasur;1.147
2017;12. Usera;123. San Fermín;1.933
2017;12. Usera;124. Almendrales;2.189
2017;12. Usera;125. Moscardó;2.873
2017;12. Usera;126. Zofío;1.253
2017;12. Usera;127. Pradolongo;1.545
2017;13. Puente de Vallecas;13. Puente de Vallecas;
2017;13. Puente de Vallecas;13. Puente de Vallecas;24.486
2017;13. Puente de Vallecas;131. Entrevías;3.255
2017;13. Puente de Vallecas;132. San Diego;5.083
2017;13. Puente de Vallecas;133. Palomeras Bajas;3.836
2017;13. Puente de Vallecas;134. Palomeras Sureste;3.976
2017;13. Puente de Vallecas;135. Portazgo;2.961
2017;13. Puente de Vallecas;136. Numancia;5.375
2017;14. Moratalaz;14. Moratalaz;
2017;14. Moratalaz;14. Moratalaz;10.325
2017;14. Moratalaz;141. Pavones;742
2017;14. Moratalaz;142. Horcajo;400
2017;14. Moratalaz;143. Marroquina;2.767
2017;14. Moratalaz;144. Media Legua;2.015
