AÑO;DISTRITO;Superficie en hectáreas de zonas verdes;Nº de árboles viarios                                                                              
2017;Ciudad de Madrid;4.027,19;851.703
2017;01. Centro;22,32;2.069
2017;02. Arganzuela;93,77;34.249
2017;03. Retiro;134,13;23.207
2017;04. Salamanca;24,06;4.653
2017;05. Chamartín;10,76;2.092
2017;06. Tetuán;32,83;3.237
2017;07. Chamberí;3,04;685
2017;08. Fuencarral-El Pardo;321,89;27.704
2017;09. Moncloa-Aravaca;1.775,84;90.366
2017;10. Latina;120,24;152.074
2017;11. Carabanchel;165,64;18.343
2017;12. Usera;128,71;17.309
2017;13. Puente de Vallecas;149,36;26.879
2017;14. Moratalaz;83,47;17.491
2017;15. Ciudad Lineal;40,91;12.803
2017;16. Hortaleza;469,59;327.616
2017;17. Villaverde;88,61;38.895
2017;18. Villa de Vallecas;26,05;2.264
2017;19. Vicálvaro;89,22;18.307
2017;20. San Blas-Canillejas;72,59;11.946
2017;21. Barajas;174,16;19.514
